"","out_train_lm","out_train_kknn","out_train_m5p"
abalone,4.82,2.22,4.25
ANACALT,0.17,0.0063,0.0059
autoMPG6,11.29,3.53,6.87
autoMPG8,10.79,3.55,6.6
baseball,448159,202088,392589
california,4826189710,1560868807,2558518379
concrete,107,28.7,30
dee,0.16188,0.07611,0.16201
delta_ail,2.96E-08,1.40E-08,2.51E-08
delta_elv,2.10E-06,1.05E-06,2.02E-06
forestFires,3945,2206,3980
friedman,7.23,1.42,4.36
house,2061567056,525986990,938429860
mortgage,0.013543,0.008827,0.011015
stock,5.35,0.18,0.59
treasury,0.055203,0.015998,0.040404
wankara,2.43,2.74,1.51
wizmir,1.565,2.538,1.358
