@relation treasury
@attribute 1Y-CMaturityRate real [77.055,142.645]
@attribute 30Y-CMortgageRate real [3.02,17.15]
@attribute 3M-Rate-AuctionAverage real [6.49,18.63]
@attribute 3M-Rate-SecondaryMarket real [2.67,16.75]
@attribute 3Y-CMaturityRate real [2.69,16.76]
@attribute 5Y-CMaturityRate real [4.09,16.47]
@attribute bankCredit real [4.17,16.13]
@attribute currency real [1130.9,4809.2]
@attribute demandDeposits real [105.6,533]
@attribute federalFunds real [225.8,412.1]
@attribute moneyStock real [2.86,20.06]
@attribute checkableDeposits real [381.1,1154.1]
@attribute loansLeases real [269.9,803.4]
@attribute savingsDeposits real [868.1,3550.3]
@attribute tradeCurrencies real [175.6,1758.1]
@attribute 1MonthCDRate real [3.02,20.76]
@inputs 1Y-CMaturityRate, 30Y-CMortgageRate, 3M-Rate-AuctionAverage, 3M-Rate-SecondaryMarket, 3Y-CMaturityRate, 5Y-CMaturityRate, bankCredit, currency, demandDeposits, federalFunds, moneyStock, checkableDeposits, loansLeases, savingsDeposits, tradeCurrencies
@outputs 1MonthCDRate
@data
92.092,8.41,10.41,7.71,7.76,8.8,8.79,2665.4,230.2,276.8,8.27,807,570.3,2056.2,912.3,8.3
86.435,5.23,8.53,4,4.04,6.3,6.76,3186.5,336.4,387,3.76,1143.8,799.6,2224.7,1222,4.02
97.542,5.92,9.06,5.58,5.62,6.53,6.74,2132,183.3,296.4,6.22,729.1,540.2,1621.2,952.9,5.99
102.557,12,16.9,10.4,10.39,13.06,13.03,1312.4,122.2,232.3,12.48,435.8,310,998.8,343.5,11.55
127.998,8.07,12.24,7.14,7.13,9.28,9.84,1839.1,164.3,257.6,7.88,597.9,426.6,1411.9,787,7.8
96.164,5.25,6.94,5.12,5.04,5.37,5.38,4151.9,426.5,392.5,5.74,1073,638.3,3041.3,1406.9,5.55
86.835,4.14,8.76,3.6,3.63,5.77,6.65,2903.6,273.6,313.1,3.65,945.3,664.7,2128.1,1115,3.9
92.715,11.12,13.08,10.06,10.09,11.18,11.31,1179.3,112.4,264.2,10.22,405.2,288.5,890.3,192.6,10.44
136.879,9.18,12.91,8.16,8.17,10.42,10.99,1758.6,157.8,246.6,8.59,560.9,398.7,1347.5,730.2,8.43
92.927,5.95,8.06,5.3,5.17,6.26,6.33,4798.1,533,359.6,5.01,1150.3,608.9,3520.2,1709.1,6.05
92.264,7.87,12.58,6.37,6.76,8.64,8.9,1149.2,109.7,255.5,8.99,390.5,276.6,873.9,182,8.31
132.563,9.09,13.18,7.97,7.81,10.32,10.9,1746.1,156.2,244.7,7.99,553.2,392.7,1339.6,705.3,8.21
91.784,6.87,10.79,5.8,5.62,7.96,8.32,2241.7,195,294.8,6.43,756,554.9,1714.1,940.5,6.75
102.139,5.82,9.95,5.3,5.29,6.66,6.92,2061,178.7,289.4,5.91,698.7,514,1564.2,924.6,5.79
85.859,7.93,10.29,7.55,7.54,8.38,8.62,2734.3,239.8,277.5,8.3,818.7,569.7,2105.8,922,8.08
90.13,7.02,10.55,5.7,5.72,8.05,8.41,2243.6,195.9,287.7,6.78,748.9,547.2,1711.7,938,6.77
87.865,4.9,8.49,3.76,3.73,6.09,6.6,3191.1,334.8,386.8,3.59,1138.7,796.2,2226.5,1221.5,3.79
107.143,16.13,18.27,14.41,14.35,15.97,15.7,1287.7,120.1,231.1,16.09,428.8,304.1,976.7,347.2,16.31
103.002,6.01,10.23,5.6,5.6,6.55,6.87,2027.2,175.8,284.9,6.31,680.3,496.8,1541.9,894.6,6.07
104.274,5.9,9.3,5.55,5.57,6.45,6.68,2091.4,180.4,304.1,6.3,725.6,539.9,1587.1,941.3,6.52
85.442,4.12,8.53,3.61,3.61,5.73,6.61,2888.2,275.6,314.5,3.89,953.1,670.1,2108,1127.6,3.76
82.431,5.21,7.11,4.91,4.89,5.29,5.44,3601,372.8,392.6,5.48,1126.6,745.3,2619.6,1139.2,5.64
88.867,3.85,7.21,3.24,3.25,4.81,5.36,3158.1,327.9,389.3,3.2,1135.7,800.3,2216.3,1227.2,3.32
82.49,5.59,7.6,5.34,5.31,5.84,5.96,3578,369.6,388.4,5.73,1144.1,764.7,2578.2,1109.8,5.73
90.577,8.22,10.33,7.74,7.71,8.58,8.64,2673.1,231.9,275.2,8.22,805.1,566.1,2059.5,911.9,8.2
83.926,3.48,8.23,2.94,2.95,4.89,5.83,2942,288.2,337.5,3.05,1011,714.4,2111.3,1177.5,3.18
82.475,5.35,7.18,5.29,5.32,5.38,5.49,3601.6,372.3,390.9,5.75,1130.8,750,2616.4,1129.6,5.81
96.133,15.18,14.43,14.65,14.98,13.77,13.4,1219.9,115.4,262.6,17.72,409.2,290.4,920.9,407,17.66
93.083,7.86,9.81,8.09,7.98,7.77,7.75,2540.7,218.6,277.9,9.14,779.7,552.3,1974.4,862.8,8.89
91.975,8.54,12.23,8.21,8.08,9.16,9.46,1155.1,110.4,258.3,9.26,395.1,280.1,875.1,186,8.58
84.199,5.8,8.23,5.2,5.15,6.34,6.52,3684.9,384.5,409.2,5.53,1109.4,714.9,2703.3,1219.1,5.35
86.878,5.29,8.53,4.23,4.18,6.3,6.73,3190.8,338.3,383.7,4.22,1142,795.6,2234.8,1222.5,4.28
119.808,10.94,13.67,9.8,9.76,11.99,12.38,1636.9,150.4,242,10.37,534.3,379.5,1226.4,703.6,10.28
119.44,10.85,13.48,9.65,9.76,11.77,12.17,1621.3,149.3,242,10.04,532.8,379.1,1210.9,709.1,10.11
84.356,5.56,8.48,4.61,4.56,6.45,6.83,3272.6,346.6,388.1,4.72,1153.8,798,2306.9,1193.8,4.75
132.304,9.63,13.2,8.52,8.44,10.8,11.21,1735.6,156.1,241.8,8.83,548.8,388.4,1330.1,700.1,8.79
98.551,5.37,6.97,4.92,4.95,5.48,5.51,4305,443.7,379.4,5.54,1080.6,627.6,3162.3,1512.5,5.57
84.154,5.41,7.59,5.02,5.03,5.81,5.97,3735.5,391.6,405.4,5.21,1083.1,683,2762.1,1261.8,5.29
94.685,12.11,12.89,12.19,12.17,10.96,10.87,1137.2,106.1,260.2,13.77,387.1,277.8,872,193.6,13.29
90.33,7.62,10.38,6.57,6.58,8.27,8.51,2365.5,205.9,290.7,7.81,782.8,568.6,1815.7,957.4,7.64
83.987,6.88,8.94,5.79,5.82,7.41,7.54,3355.4,358.2,384.3,5.63,1149.4,783.3,2419.7,1123.9,6.03
121.383,10.02,13.43,9.04,8.95,11.04,11.5,1585.2,147.2,240.6,10.06,524.7,373.4,1174.8,683.5,9.51
93.179,4.49,6.69,4.32,4.36,4.43,4.39,4566,458.7,378.9,4.68,1093,626,3334,1600.8,5.44
97.145,5.42,7.05,4.95,4.95,5.55,5.57,4255.7,437.5,385.2,5.63,1077.5,631.6,3125.8,1484.7,5.56
120.044,9.95,13.47,8.83,8.77,11.04,11.5,1554.3,145.1,238.9,9.36,518.8,369.4,1156.3,677.3,9.25
89.147,3.51,7.05,2.99,2.96,4.45,5.06,3149.8,326.2,387.7,3.13,1133.8,800.1,2203.2,1226.6,3.06
87.46,4.64,8.88,4.02,4.02,6.14,6.91,2881.7,271.7,309.6,3.95,937.7,658.8,2119,1101.9,4.24
87.992,3.76,8.29,3.27,3.24,5.24,6.12,2952.2,290.6,338.2,3.1,1017.6,719.4,2113.5,1182.3,3.33
88.272,3.41,7.86,2.98,2.92,4.78,5.66,2949.6,295.4,340.6,2.94,1031.5,728.6,2107,1188.2,3.08
97.012,10.94,15.9,10.79,10.47,10.49,10.63,1153.2,108.3,252.7,15.12,383.3,271.7,882.5,175.6,12.97
83.476,5.72,8.66,4.61,4.59,6.65,7.05,3272.6,347.6,387,4.7,1153.2,796.5,2305.6,1189.9,4.8
98.824,5.69,9.04,5.23,5.35,6.37,6.58,2133,182.7,295.6,6.01,727.1,539.1,1622.8,956.6,5.85
84.239,5.95,8.34,5.19,5.19,6.55,6.73,3686.2,387.1,411.3,5.39,1105.5,709,2714.5,1228.7,5.37
92.49,8.29,10.26,7.83,7.77,8.62,8.59,2651.5,229.4,277,8.33,805.5,569.5,2045.4,912,8.31
92.948,4.71,6.82,4.44,4.42,4.95,4.96,4521.1,468.1,373.5,4.75,1097.3,621.1,3318.7,1639.3,4.86
84.119,6.79,8.8,5.83,5.79,7.39,7.47,3353.6,357.9,383.6,5.95,1147.6,781.7,2417.9,1119.5,6.01
87.644,4.73,9.03,4.09,4.06,6.33,7.08,2878.5,272,309.8,4.04,938.1,658.9,2115.4,1104.9,4.28
87.322,3.41,7.16,3.04,3.02,4.34,5,3049.6,309.8,365.4,3.01,1086.7,767.9,2155.3,1207.6,3.09
84.071,5.6,7.88,5.08,5.03,6.12,6.28,3691,385.1,410.2,5.38,1107.6,712.6,2706.1,1221.1,5.32
88.94,3.6,7.17,3.06,3.06,4.54,5.16,3107.4,322.6,386.3,2.99,1131.5,801.4,2194.2,1218.9,3.18
87.533,7.23,10.69,6,5.9,8.17,8.5,2248.7,196.6,287,6.58,748.8,546.5,1715.5,936.3,8.16
93.835,9.35,12.25,8.88,8.58,9.9,10.12,1168.7,111.2,260.2,9.6,399,283.1,882.8,190.4,9.16
82.359,6.1,8.85,4.92,4.94,7.01,7.37,3289.2,350.7,385.4,4.72,1149.7,790.5,2331.8,1178.8,4.91
