@relation california
@attribute Longitude real[-124.35,-114.31]
@attribute Latitude real[32.54,41.95]
@attribute HousingMedianAge real[1,52]
@attribute TotalRooms real[2,39320]
@attribute TotalBedrooms real[1,6445]
@attribute Population real[3,35682]
@attribute Households real[1,6082]
@attribute MedianIncome real[0.4999,15.0001]
@attribute MedianHouseValue real[14999,500001] 
@inputs Longitude, Latitude, HousingMedianAge, TotalRooms, TotalBedrooms, Population, Households, MedianIncome
@outputs MedianHouseValue
@data
-122.41,37.8,30,1821,738,1648,684,0.8836,450000
-116.94,32.89,24,2541,381,1078,372,5.2542,227800
-117.14,32.72,42,1558,458,1227,407,2.2804,139100
-122.45,37.7,46,2193,499,1814,489,4.0125,230100
-117.22,33.66,12,1869,356,1007,323,3.125,117200
-120.66,35.47,18,2474,449,1269,431,3.9063,184800
-122.23,37.85,52,2800,411,1061,403,6.3434,373600
-118.07,34.16,35,3585,671,1401,623,4.125,330000
-117.49,34.04,4,6034,1170,3527,1098,4.1775,143700
-118.39,33.86,28,3619,764,1735,789,6.1404,368400
-119.19,34.19,35,2599,552,2726,543,3.2212,180500
-119.79,36.31,25,4984,1029,2414,961,2.2937,72300
-118.16,34.11,31,5715,1154,2639,1079,4.1661,364400
-121.67,37.13,19,3269,483,1383,452,5.6205,300800
-117.98,33.77,22,3236,673,2034,662,4.0955,174200
-118.04,34.13,22,3359,643,1227,588,4.645,276200
-122.41,37.77,52,849,276,582,222,3.4671,250000
-120.01,34.54,30,2992,609,1288,465,3.9375,292900
-118.21,34.64,16,2573,427,1273,426,5.9508,181100
-118.23,34.07,35,1335,440,1586,445,1.9722,156300
-118.35,33.94,38,1794,508,2188,454,2.6654,142200
-117.83,33.65,9,638,266,426,234,3.7875,187500
-117.9,33.88,34,1396,245,661,261,4.675,215400
-117.95,33.93,25,3445,801,2400,750,3.4702,161900
-122.09,37.65,27,2630,722,1414,634,2.8203,195200
-118.22,34.09,40,1081,282,970,263,1.875,150000
-118.35,34,46,3402,503,1389,504,5.3462,270400
-119.04,35.41,25,1577,310,844,309,3.0625,69400
-118.31,33.67,42,1297,246,611,242,5.3074,401900
-118.41,33.88,43,2492,449,1033,437,7.9614,500001
-118.14,34.09,20,3447,1007,2622,934,2.918,208700
-117.32,34.12,39,2210,498,1752,477,1.4066,66400
-119.69,36.83,28,1868,350,898,329,3.1814,78900
-118.35,34.21,42,1073,220,804,226,3.75,172600
-122.04,37.99,36,2765,495,1478,441,4.125,136200
-118.09,34.02,28,1984,313,1099,343,4.5526,250200
-120.91,38.98,13,7689,1415,3264,1198,3.653,146800
-117.99,33.77,29,1312,267,922,255,3.1902,202400
-121.25,38.03,29,2465,327,859,315,6.6605,220700
-118.31,33.97,48,1541,314,819,312,3.0917,136100
-122.14,37.45,48,2074,297,700,279,8.7051,500001
-118,33.97,30,6540,991,3124,953,6.0663,372600
-119.01,35.38,36,790,224,426,208,1.4427,50600
-117.76,34.04,34,1914,364,1564,328,2.8347,115800
-121.94,37.33,34,1809,317,863,302,4.3,330500
-119.21,34.31,22,7548,1038,2855,1008,6.729,409300
-121.22,37.72,34,2123,387,1310,368,2.6368,165600
