Provincia,latitud,longitud
Almería,37.142861,-2.777880
Almería,37.133053,-2.797039
Almería,36.749179,-3.017762
Almería,37.285989,-2.181647
Almería,37.033152,-2.621248
Almería,37.387634,-2.143157
Almería,36.972965,-2.961165
Almería,37.335803,-2.597822
Almería,37.235566,-2.266250
Almería,36.990704,-2.587033
Almería,36.957725,-2.568831
Almería,36.966039,-2.601864
Almería,36.842500,-2.450648
Almería,37.002786,-2.789914
Almería,37.002442,-2.594363
Almería,37.245302,-1.918144
Almería,37.351398,-2.073185
Almería,37.349896,-2.411723
Almería,37.260315,-2.453076
Almería,36.749038,-2.910503
Almería,37.030362,-2.995630
Almería,37.330568,-2.435990
Almería,37.190790,-1.981104
Almería,37.012063,-2.790766
Almería,36.926286,-2.461372
Almería,37.231567,-2.238813
Almería,37.211936,-2.241557
Almería,36.987005,-2.619650
Almería,36.846419,-2.945726
Almería,37.008715,-2.740169
Almería,37.352581,-2.190636
Almería,36.999136,-1.894861
Almería,37.184511,-2.440089
Almería,37.267256,-2.257362
Almería,37.596660,-2.270643
Almería,37.261777,-2.210726
Almería,37.296000,-1.878370
Almería,36.821092,-2.871283
Almería,36.770887,-2.811279
Almería,36.877157,-2.602137
Almería,36.868689,-2.657515
Almería,37.169744,-2.840665
Almería,37.360550,-2.263281
Almería,36.981427,-2.855964
Almería,36.952285,-2.491176
Almería,37.167903,-1.940104
Almería,37.182170,-1.823271
Almería,37.118547,-2.541734
Almería,36.967872,-2.609232
Almería,36.885022,-2.439443
Almería,37.394841,-1.945348
Almería,36.985986,-2.639457
Almería,36.992996,-2.660031
Almería,37.296294,-2.331369
Almería,36.994312,-2.894212
Almería,37.294995,-2.217887
Almería,37.215654,-2.066789
Almería,37.040721,-2.199926
Almería,37.400384,-2.425185
Almería,37.333222,-2.299640
Almería,37.710218,-2.164519
Almería,37.140079,-1.850648
Almería,36.752705,-2.683466
Almería,37.106156,-2.648428
Almería,36.961923,-2.205726
Almería,37.038522,-2.745508
Almería,37.174807,-2.475286
Almería,37.355971,-2.298075
Almería,37.485110,-2.291046
Almería,36.998770,-2.774424
Almería,37.406540,-2.225756
Almería,37.022234,-2.953233
Almería,36.916253,-2.438898
Almería,37.407939,-1.747590
Almería,37.346576,-2.360240
Almería,36.995198,-2.681338
Almería,36.946660,-2.464619
Almería,36.763271,-2.614892
Almería,37.017103,-2.603029
Almería,36.974362,-2.531534
Almería,37.204020,-2.346020
Almería,37.344620,-2.508159
Almería,37.321298,-2.399154
Almería,37.392258,-2.388633
Almería,37.099530,-2.127221
Almería,37.338857,-2.388756
Almería,37.052666,-2.390584
Almería,37.468123,-2.077000
Almería,37.228029,-2.285274
Almería,36.984557,-2.596905
Almería,37.346015,-2.434916
Almería,37.135289,-2.712179
Almería,37.151801,-1.896297
Almería,37.029374,-2.264633
Almería,37.185273,-2.204328
Almería,37.395964,-2.364364
Almería,37.193778,-2.402840
Almería,37.692669,-2.095743
Almería,37.649601,-2.076923
Almería,37.245528,-1.864874
Almería,36.888266,-2.423863
Almería,36.800876,-2.647693
Almería,37.341894,-2.040024
Cádiz,36.463053,-5.723601
Cádiz,36.904614,-5.171661
Cádiz,36.657207,-5.655691
Cádiz,36.131754,-5.453549
Cádiz,36.881020,-5.403798
Cádiz,36.751855,-5.811056
Cádiz,36.190283,-5.922250
Cádiz,36.182670,-5.489883
Cádiz,36.342792,-5.816942
Cádiz,36.700912,-5.421823
Cádiz,36.817243,-5.743448
Cádiz,36.757496,-5.506339
Cádiz,36.517695,-6.280350
Cádiz,36.284072,-5.420562
Cádiz,36.416382,-6.151660
Cádiz,36.733072,-6.431629
Cádiz,36.279723,-6.087685
Cádiz,36.872047,-5.804319
Cádiz,36.855509,-5.322656
Cádiz,36.759158,-5.368453
Cádiz,36.686124,-6.124035
Cádiz,36.432942,-5.450442
Cádiz,36.169874,-5.350009
Cádiz,36.464308,-5.934344
Cádiz,36.933516,-5.258779
Cádiz,36.523780,-5.865677
Cádiz,36.787266,-5.556857
Cádiz,36.598850,-6.229683
Cádiz,36.530811,-6.184280
Cádiz,36.921749,-5.542060
Cádiz,36.628011,-6.369533
Cádiz,36.463966,-6.202803
Cádiz,36.607150,-5.802412
Cádiz,36.211137,-5.389430
Cádiz,36.774648,-6.351765
Cádiz,36.862792,-5.177745
Cádiz,36.017530,-5.607217
Cádiz,36.915463,-5.234267
Cádiz,36.869322,-6.174723
Cádiz,36.672238,-5.447492
Cádiz,36.250516,-5.966933
Cádiz,36.696496,-5.385019
Cádiz,36.859811,-5.644898
Cádiz,36.841060,-5.392207
Córdoba,38.027266,-4.522231
Córdoba,37.512730,-4.657883
Córdoba,38.388653,-4.967709
Córdoba,37.440042,-4.093120
Córdoba,37.813911,-5.016929
Córdoba,38.410810,-4.898148
Córdoba,37.618585,-4.322598
Córdoba,38.575441,-5.167446
Córdoba,38.271455,-5.206751
Córdoba,37.269017,-4.539629
Córdoba,38.407155,-5.439176
Córdoba,37.893425,-4.379535
Córdoba,37.473057,-4.437665
Córdoba,37.867010,-4.318887
Córdoba,37.443670,-4.274855
Córdoba,38.271101,-4.323911
Córdoba,37.668477,-4.936018
Córdoba,37.941632,-4.493714
Córdoba,37.690531,-4.479437
Córdoba,38.408530,-4.500489
Córdoba,37.889413,-4.785011
Córdoba,37.553568,-4.357261
Córdoba,38.443494,-4.895024
Córdoba,37.274306,-4.488360
Córdoba,37.679070,-4.554170
Córdoba,38.188595,-5.020437
