Provincia, PoblacionTotal,Hombres,Mujeres,Mayores20,Mayores65,IncrPoblacion,Extranjeros,Nacimientos,Defunciones,MatrimoniosDistintoSexo,VehiculosParticulares
Almería,1294,0.51,0.49,14.14,26.43,-14.02,0.07,0.00,0.01,3,671
Almería,1208,0.51,0.49,13,25.75,-9.78,0.06,0.00,0.01,3,711
Almería,24713,0.51,0.49,22.55,13.34,4.96,0.12,0.01,0.01,79,10361
Almería,796,0.51,0.49,12.31,40.33,20.61,0.38,0.01,0.01,1,409
Almería,613,0.49,0.51,9.14,33.61,-15.68,0.01,0.00,0.02,0,288
Almería,11144,0.51,0.49,19.74,19.49,1.31,0.26,0.01,0.01,26,6028
Almería,815,0.53,0.47,12.39,25.03,-15.72,0.01,0.00,0.01,0,370
Almería,572,0.55,0.45,10.49,31.12,-7.29,0.07,0.00,0.00,1,352
Almería,158,0.47,0.53,6.96,28.48,11.27,0.01,0.00,0.00,0,92
Almería,677,0.52,0.48,15.95,20.24,-3.7,0.03,0.02,0.03,4,361
Almería,3687,0.50,0.50,20.99,18.52,4.69,0.08,0.01,0.01,18,1751
Almería,217,0.51,0.49,15.67,25.35,-15.89,0.00,0.01,0.01,0,102
Almería,194515,0.49,0.51,22.09,15.22,4.97,0.10,0.01,0.01,636,85741
Almería,172,0.48,0.52,9.88,30.23,10.26,0.05,0.01,0.02,1,74
Almería,134,0.56,0.44,6.72,30.6,2.29,0.03,0.00,0.01,0,53
Almería,3159,0.50,0.50,20.73,18.33,0.06,0.18,0.01,0.01,9,1955
Almería,4538,0.50,0.50,11.26,40.41,33.39,0.66,0.00,0.01,4,2343
Almería,326,0.49,0.51,14.42,26.07,1.56,0.04,0.01,0.03,3,166
Almería,272,0.51,0.49,9.56,35.29,-6.21,0.01,0.00,0.02,0,129
Almería,2678,0.52,0.48,22.96,11.2,-,0.20,0.00,0.00,0,-
Almería,323,0.55,0.45,9.91,24.46,16.61,0.05,0.00,0.02,0,154
Almería,220,0.51,0.49,12.27,32.27,-7.17,0.06,0.00,0.01,0,121
Almería,885,0.49,0.51,11.3,36.95,7.4,0.55,0.01,0.01,3,525
Almería,114,0.48,0.52,3.51,44.74,-10.94,0.00,0.00,0.01,0,70
Almería,4185,0.50,0.50,24.68,11.4,23.23,0.05,0.01,0.01,19,1946
Almería,69,0.58,0.42,0,46.38,4.55,0.00,0.00,0.01,0,25
Almería,280,0.53,0.47,9.29,29.29,-5.09,0.07,0.00,0.01,0,143
Almería,252,0.57,0.43,11.11,25.79,-11.27,0.02,0.01,0.01,0,128
Almería,12380,0.50,0.50,22.13,14.66,-14.33,0.11,0.01,0.01,35,6896
Almería,1279,0.52,0.48,12.28,31.04,-18.07,0.02,0.00,0.02,3,616
Almería,3371,0.51,0.49,14.83,29.07,-8.97,0.19,0.01,0.01,8,1912
Almería,7818,0.51,0.49,21.63,13.62,4.13,0.11,0.01,0.01,26,3635
Almería,139,0.47,0.53,5.76,32.37,-10.32,0.05,0.01,0.00,0,54
Almería,267,0.52,0.48,14.98,27.72,-11,0.04,0.01,0.01,2,150
Almería,1601,0.51,0.49,12.8,35.35,-13.22,0.08,0.00,0.02,4,1046
Almería,169,0.59,0.41,7.1,36.69,-11.98,0.04,0.01,0.01,0,79
Almería,13362,0.52,0.48,22.99,15.32,16.98,0.22,0.01,0.01,36,7128
Almería,3978,0.49,0.51,20.19,18.95,4.49,0.06,0.01,0.01,12,1790
Almería,88752,0.53,0.47,24.99,8.44,16.83,0.34,0.01,0.00,181,37578
Almería,433,0.55,0.45,9.93,24.02,29.25,0.19,0.00,0.01,1,210
Almería,658,0.57,0.43,12.46,22.49,28.27,0.07,0.01,0.01,0,337
Almería,2070,0.51,0.49,15.36,24.01,-14.53,0.03,0.00,0.01,5,1053
Almería,2079,0.52,0.48,19.29,14.77,-1.28,0.10,0.01,0.01,16,1155
Almería,1017,0.52,0.48,13.57,24.19,7.05,0.03,0.00,0.01,4,455
Almería,3030,0.52,0.48,21.95,16.07,2.4,0.08,0.01,0.01,8,1365
Almería,2867,0.51,0.49,16.43,28.88,-8.29,0.37,0.01,0.01,11,1639
Almería,8655,0.52,0.48,23.65,12.05,16.99,0.22,0.01,0.01,22,3510
Almería,1037,0.54,0.46,14.56,26.33,-0.48,0.12,0.01,0.02,7,500
Almería,513,0.48,0.52,16.37,24.95,-3.75,0.02,0.01,0.01,1,244
Almería,17068,0.51,0.49,28.56,6.07,44.45,0.03,0.01,0.00,68,8154
Almería,18589,0.50,0.50,21.91,17.64,14.96,0.17,0.01,0.01,45,9399
Almería,386,0.53,0.47,9.33,29.02,-5.85,0.02,0.00,0.02,0,203
Almería,444,0.49,0.51,13.96,30.18,-12.6,0.04,0.00,0.03,1,220
Almería,176,0.57,0.43,17.61,17.61,37.5,0.03,0.00,0.00,1,81
Almería,1551,0.50,0.50,16.7,23.98,-13.74,0.01,0.01,0.01,3,753
Almería,411,0.52,0.48,12.41,28.95,-17.47,0.05,0.00,0.01,0,255
Almería,1484,0.49,0.51,12.26,37.6,-14.37,0.19,0.01,0.02,1,772
Almería,569,0.53,0.47,11.6,29.35,-15.83,0.11,0.00,0.02,0,309
Almería,754,0.49,0.51,17.24,25.07,-6.45,0.05,0.01,0.02,2,427
Almería,5628,0.51,0.49,19.58,16.54,-7.05,0.04,0.01,0.01,20,3047
Almería,1294,0.51,0.49,13.29,29.37,-15.54,0.04,0.01,0.01,4,943
Almería,6490,0.50,0.50,14.1,27.4,1.31,0.49,0.01,0.01,20,4357
Almería,8740,0.55,0.45,26.08,7.91,11.38,0.38,0.01,0.01,19,4579
Almería,483,0.50,0.50,10.77,26.29,6.86,0.17,0.00,0.02,0,264
Almería,28579,0.54,0.46,25.07,9.71,9.62,0.40,0.02,0.01,92,14590
Almería,651,0.49,0.51,10.75,31.34,-14.9,0.02,0.01,0.02,3,267
Almería,194,0.54,0.46,4.64,34.54,1.57,0.04,0.00,0.01,0,91
Almería,6216,0.52,0.48,21.59,15.14,-2.95,0.07,0.01,0.01,20,3313
Almería,2330,0.52,0.48,11.67,30.9,-11.03,0.23,0.00,0.02,4,1423
Almería,449,0.51,0.49,10.02,35.19,-14.15,0.03,0.00,0.01,1,208
Almería,915,0.49,0.51,9.29,39.02,34.76,0.62,0.00,0.01,1,446
Almería,372,0.58,0.42,9.95,31.99,-8.37,0.03,0.00,0.01,1,193
Almería,3900,0.51,0.49,23.33,11.69,12.62,0.08,0.01,0.01,23,1758
Almería,8909,0.52,0.48,23.19,13.12,18.2,0.26,0.01,0.01,29,4826
Almería,1638,0.52,0.48,19.41,19.47,-0.91,0.06,0.01,0.01,6,799
Almería,316,0.53,0.47,8.54,33.86,-13.42,0.00,0.00,0.02,0,124
Almería,1356,0.50,0.50,19.84,14.75,-0.51,0.04,0.01,0.02,6,710
Almería,91965,0.51,0.49,24.78,8.29,28.19,0.27,0.01,0.00,305,38537
Almería,241,0.52,0.48,9.13,31.54,-1.63,0.04,0.00,0.01,0,128
Almería,431,0.50,0.50,12.99,25.75,-7.91,0.08,0.01,0.02,1,188
Almería,322,0.53,0.47,6.83,34.47,-2.72,0.04,0.00,0.01,2,198
Almería,2135,0.51,0.49,15.27,27.49,-11.85,0.04,0.01,0.02,2,1174
