separation, propensity, length, PredSS_r1_-1, PredSS_r1, PredSS_r1_1, PredSS_r2_-1, PredSS_r2, PrSS_fq_cn_H, PrSS_fq_cn_E, PrSS_fq_cn_C, PrCN_fq_cn_0, PrRCH_fq_cn0, PrRCH_fq_cn1, PrSA_fq_cn_0, PrSA_fq_cn_4, PrRCH_r1_-1, PrRCH_r1, PrRCH_r1_1, PrRCH_r2_-1, PrRCH_r2, PrRCH_r2_1, PrCN_r1_-1, PrCN_r1, PrCN_r1_1, PrCN_r2, PrSA_r1, PrSA_r2_-1, PrSA_r2, PrSA_r2_1, PrRCH_fq_gl0, PrRCH_fq_gl4, AA_fq_cn_A, AA_fq_cn_D, AA_fq_cn_E, AA_fq_cn_I, AA_fq_cn_F, PrSS_fq_gl_H, PrCN_fq_gl_0, PrSA_fq_gl_0, PSSM_r1_-4_A, PSSM_r1_-4_N, PSSM_r1_0_D, PSSM_r1_1_W, PSSM_r2_0_A, PSSM_cn_-2_A, PSSM_cn_-2_T, PSSM_cn_0_H, PSSM_cn_2_D, PSSM_cn_2_V, class
27,0.636381526324397,161,E,E,E,C,C,0.269,0.115,0.615,0.308,0.346,0.192,0.308,0.385,3,3,4,3,3,0,4,4,4,3,0,3,1,4,0.23,0.23,0.115,0.077,0.038,0.077,0.038,0.13,0.106,0.354,4,4,-6,-4,-5,2,-5,2,-5,-5,negative
63,0.702477190922726,187,H,H,C,H,H,0.694,0.0,0.306,0.161,0.194,0.161,0.29,0.161,3,0,1,3,3,3,3,1,1,1,4,3,3,0,0.209,0.128,0.177,0.081,0.097,0.081,0.016,0.775,0.209,0.278,2,-3,?,-7,4,7,-3,1,0,-10,negative
19,-0.892407793453551,185,C,H,H,C,C,0.333,0.0,0.667,0.056,0.222,0.056,0.278,0.167,3,1,3,0,3,0,3,3,4,3,3,4,1,3,0.346,0.038,0.222,0.0,0.0,0.056,0.0,0.416,0.205,0.151,-1,2,1,-2,-1,-1,-1,-2,5,-3,positive
36,0.161958287099179,495,C,H,H,E,E,0.229,0.086,0.686,0.229,0.343,0.086,0.2,0.286,3,3,3,3,3,3,3,3,1,4,1,0,0,0,0.285,0.115,0.057,0.029,0.057,0.029,0.029,0.168,0.186,0.182,0,1,-2,-2,-5,-3,-3,0,3,-1,positive
145,-0.0055895080301872,405,C,C,C,H,H,0.354,0.125,0.521,0.062,0.167,0.076,0.396,0.097,4,4,3,3,3,0,?,4,3,3,1,0,2,4,0.151,0.316,0.083,0.035,0.062,0.049,0.035,0.375,0.067,0.383,-5,-4,-5,-1,-4,5,0,-1,-5,6,negative
170,-0.278919205603454,412,H,H,H,C,C,0.249,0.047,0.704,0.077,0.101,0.107,0.456,0.095,2,0,1,4,4,4,2,0,1,4,3,1,0,0,0.126,0.413,0.16,0.03,0.041,0.077,0.018,0.376,0.073,0.398,3,-2,3,-4,-3,1,-3,0,-5,-4,negative
112,-0.806811662032717,244,C,C,C,E,E,0.18,0.459,0.36,0.171,0.324,0.189,0.189,0.261,0,0,3,2,3,0,1,0,3,4,4,3,0,3,0.299,0.02,0.045,0.063,0.117,0.126,0.063,0.168,0.123,0.238,-2,1,3,-2,3,3,-1,1,-5,-1,negative
25,0.339083541066577,134,C,C,C,C,C,0.0,0.5,0.5,0.0,0.167,0.042,0.458,0.125,4,4,3,4,4,4,4,4,4,4,1,0,1,0,0.216,0.239,0.042,0.042,0.042,0.083,0.083,0.306,0.142,0.328,6,-1,-6,-6,5,0,1,2,-2,-1,positive
12,0.145021228779734,148,C,C,C,C,C,0.0,0.182,0.818,0.545,0.455,0.0,0.0,0.818,0,0,3,3,3,3,1,0,3,3,4,3,0,4,0.372,0.02,0.091,0.091,0.0,0.0,0.0,0.101,0.25,0.081,0,-4,-1,2,-2,-1,-1,-9,-1,-3,positive
63,1.35659494835128,342,E,E,C,C,C,0.194,0.177,0.629,0.048,0.097,0.161,0.29,0.097,4,4,4,1,3,3,4,4,4,4,0,3,0,0,0.228,0.216,0.097,0.081,0.0,0.097,0.0,0.237,0.117,0.307,-2,-3,-4,-6,-3,4,-1,1,-4,1,positive
134,-0.498801547078728,492,C,C,C,C,H,0.263,0.173,0.564,0.188,0.316,0.128,0.211,0.278,1,3,3,0,1,3,1,3,3,0,1,4,4,3,0.323,0.128,0.053,0.06,0.045,0.06,0.09,0.417,0.244,0.177,-2,1,-3,1,0,-3,?,-8,-7,4,negative
416,-0.260871550588057,509,H,H,H,E,E,0.186,0.21,0.605,0.311,0.349,0.099,0.142,0.373,3,0,0,4,4,3,2,0,0,4,4,0,1,0,0.344,0.134,0.077,0.075,0.06,0.065,0.036,0.161,0.299,0.13,1,-1,3,-2,1,1,-1,-4,-4,0,positive
61,1.11178457528051,204,E,E,E,E,E,0.2,0.4,0.4,0.083,0.183,0.133,0.317,0.217,3,3,3,1,3,3,4,4,4,3,0,3,1,2,0.23,0.093,0.1,0.033,0.083,0.083,0.017,0.397,0.206,0.26,-2,1,-6,-6,-3,0,-1,-3,2,0,negative
168,-1.06035668417644,319,C,H,H,C,C,0.413,0.156,0.431,0.066,0.162,0.096,0.413,0.108,0,0,0,3,3,3,1,0,0,3,4,0,2,0,0.163,0.279,0.138,0.054,0.066,0.072,0.03,0.417,0.075,0.392,3,-2,?,-5,5,-2,-4,-7,-6,-2,negative
185,-0.082983637867,437,C,C,C,C,C,0.239,0.31,0.451,0.114,0.234,0.158,0.288,0.174,0,1,3,3,3,0,1,1,3,3,3,3,1,3,0.197,0.233,0.054,0.076,0.098,0.087,0.033,0.249,0.069,0.343,0,0,3,-5,-2,-1,4,0,-3,0,negative
69,-0.152034578344575,156,H,H,H,H,H,0.132,0.368,0.5,0.221,0.324,0.132,0.221,0.324,1,3,1,3,0,3,1,3,1,1,0,0,3,1,0.365,0.0,0.029,0.059,0.029,0.029,0.074,0.173,0.295,0.115,-2,0,-5,-6,-1,-1,-2,-1,-5,-6,positive
53,-0.278919205603454,134,E,E,E,C,C,0.0,0.404,0.596,0.385,0.442,0.154,0.135,0.519,3,3,3,0,1,0,4,3,4,3,3,4,4,4,0.396,0.0,0.038,0.058,0.096,0.038,0.019,0.067,0.351,0.164,-2,-4,-2,-3,1,-2,-2,-2,1,-3,negative
