learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.616560793,-2.871084925718606E-12,10000.0,80.61,70.88742893957723,70.8771402823671,70.45108198719903,10000.0,-18.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
20000.0,0.852442949,-4.396656987050342E-12,20000.0,81.395,72.09044648482622,72.16278895788135,71.75068326753718,20000.0,-25.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
30000.0,1.024718362,-5.510851300787181E-12,30000.0,81.72,72.58441555403088,72.55667317219637,72.32260018168972,30000.0,-25.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
40000.0,1.274489516,-8.030874371373406E-12,40000.0,81.5725,72.37289704514399,72.29155702578754,72.14180430099398,40000.0,-39.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
50000.0,1.472091568,-1.074022335647088E-11,50000.0,81.84,72.76545766066518,72.69829815382765,72.56466038191927,50000.0,-53.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
60000.0,1.633121491,-1.3239736731112417E-11,60000.0,81.95,72.9288502957835,72.87685642014577,72.77252614641995,60000.0,-60.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
70000.0,1.782163461,-1.5823073434488226E-11,70000.0,82.03571428571429,73.05859951314079,73.10505603558902,72.9179678246075,70000.0,-67.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
80000.0,1.934018643,-1.9005162013539424E-11,80000.0,82.0325,73.05485237704683,73.08995600486755,72.88384991227903,80000.0,-81.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0
90000.0,2.087580081,-2.2223004774035264E-11,90000.0,82.12333333333333,73.18996253793422,73.25720554502843,73.01318393773694,90000.0,-81.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0
100000.0,2.316412807,-2.7846927811753833E-11,100000.0,82.121,73.18494111617268,73.26024856796734,73.02830074825006,100000.0,-95.0,27.0,14.0,14.0,5.0,0.0,0.0,1.0
