learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.707904828,-5.860335528850555E-12,10000.0,79.80000000000001,69.68005493373651,69.61949165288013,69.19322861064514,10000.0,-32.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
20000.0,1.012256453,-8.379886986480819E-12,20000.0,79.205,68.77016113620688,68.7833070629738,68.39185286517709,20000.0,-32.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
30000.0,1.329730909,-1.2486430427266491E-11,30000.0,79.43333333333334,69.12040808706983,69.12375519191313,68.7895189438009,30000.0,-50.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
40000.0,1.666500202,-1.9194859612163983E-11,40000.0,80.135,70.18717441888178,70.1995199519952,69.98337866424903,40000.0,-77.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
50000.0,1.975834056,-2.607700008821363E-11,50000.0,80.50399999999999,70.74614861342555,70.7618476304739,70.59338139913723,50000.0,-86.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
60000.0,2.319799186,-3.613219492732444E-11,60000.0,80.71000000000001,71.0565217678182,71.02661025859264,70.95316970335793,60000.0,-113.0,25.0,13.0,13.0,4.0,0.0,0.0,1.0
70000.0,2.6113718,-4.533466026678474E-11,70000.0,81.03142857142858,71.54021226864926,71.52049417669392,71.42795661903943,70000.0,-122.0,27.0,14.0,14.0,5.0,0.0,0.0,1.0
80000.0,2.888337271,-5.4720962937507364E-11,80000.0,81.20625,71.8044707379262,71.7896277394176,71.69829079135607,80000.0,-131.0,29.0,15.0,15.0,5.0,0.0,0.0,1.0
90000.0,3.212694471,-6.948937630901734E-11,90000.0,81.34333333333333,72.00948882385225,72.01313420894726,71.90261044176708,90000.0,-176.0,39.0,20.0,20.0,6.0,0.0,0.0,1.0
100000.0,3.504382518,-8.277031982938449E-11,100000.0,81.452,72.17391835764907,72.17104276069017,72.07299445916647,100000.0,-176.0,39.0,20.0,20.0,6.0,0.0,0.0,1.0
110000.0,3.778444151,-9.588680881411873E-11,110000.0,81.61363636363636,72.41644501015956,72.37663384186733,72.33204284600336,110000.0,-185.0,41.0,21.0,21.0,6.0,0.0,0.0,1.0
120000.0,4.086725499,-1.1311337153763614E-10,120000.0,81.67666666666666,72.51204954075085,72.48370020898773,72.44853208365181,120000.0,-216.0,47.0,24.0,24.0,6.0,0.0,0.0,1.0
130000.0,4.432537141,-1.3404741380700014E-10,130000.0,81.83615384615385,72.75060458979675,72.70741348621097,72.69163158625157,130000.0,-234.0,51.0,26.0,26.0,6.0,0.0,0.0,1.0
140000.0,4.788043161,-1.5639604158104501E-10,140000.0,81.86928571428571,72.80069634356629,72.76794335371741,72.73547513936776,140000.0,-243.0,53.0,27.0,27.0,6.0,0.0,0.0,1.0
150000.0,5.090043488,-1.7678737143158084E-10,150000.0,82.05466666666666,73.07946771833622,73.05181803620053,73.0037107612075,150000.0,-261.0,57.0,29.0,29.0,6.0,0.0,0.0,1.0
160000.0,5.383024448,-1.9793400453507072E-10,160000.0,82.149375,73.22243013515704,73.19675669588395,73.15846850741501,160000.0,-279.0,61.0,31.0,31.0,6.0,0.0,0.0,1.0
170000.0,5.667880134,-2.1982063833261942E-10,170000.0,82.26882352941176,73.40169631304508,73.37120241702519,73.3306790533068,170000.0,-297.0,65.0,33.0,33.0,7.0,0.0,0.0,1.0
180000.0,5.937606573,-2.41451949360263E-10,180000.0,82.31166666666667,73.46619447534735,73.42253979648908,73.40589031255745,180000.0,-310.0,73.0,37.0,37.0,8.0,0.0,0.0,1.0
190000.0,6.209984263,-2.6590306257052963E-10,190000.0,82.39105263157894,73.5853947542738,73.5344138842086,73.52771294061795,190000.0,-347.0,81.0,41.0,41.0,8.0,0.0,0.0,1.0
200000.0,6.496822601,-2.936558384794948E-10,200000.0,82.4575,73.68560818540504,73.6335830822067,73.63457376457858,200000.0,-374.0,87.0,44.0,44.0,8.0,0.0,0.0,1.0
210000.0,6.784255783,-3.214661679649725E-10,210000.0,82.53809523809524,73.80632800764481,73.73322063521624,73.75089477451682,210000.0,-374.0,87.0,44.0,44.0,8.0,0.0,0.0,1.0
220000.0,7.073205707,-3.507687763440319E-10,220000.0,82.61545454545455,73.92262011815403,73.8555032231162,73.86336456389967,220000.0,-392.0,91.0,46.0,46.0,8.0,0.0,0.0,1.0
230000.0,7.361713591,-3.8002655714595067E-10,230000.0,82.66,73.98879180961944,73.92600534790824,73.92344810451021,230000.0,-392.0,91.0,46.0,46.0,8.0,0.0,0.0,1.0
240000.0,7.656965841,-4.113431641205938E-10,240000.0,82.72625000000001,74.0880513110441,74.04021365460842,74.0250870905491,240000.0,-410.0,95.0,48.0,48.0,8.0,0.0,0.0,1.0
250000.0,7.972374087,-4.4626639713171043E-10,250000.0,82.7264,74.08813338938633,74.04651721858285,74.03044134538477,250000.0,-428.0,99.0,50.0,50.0,8.0,0.0,0.0,1.0
260000.0,8.320170558,-4.872051112123558E-10,260000.0,82.77153846153847,74.15577275471578,74.12576102401775,74.10422134606713,260000.0,-455.0,105.0,53.0,53.0,8.0,0.0,0.0,1.0
270000.0,8.622889209,-5.235425898326664E-10,270000.0,82.80777777777779,74.2102297482261,74.17048293668238,74.15941125386894,270000.0,-464.0,107.0,54.0,54.0,8.0,0.0,0.0,1.0
