learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.37,0.0,10000.0,80.34,59.36495905244541,59.547325102880656,53.45643939393939,10000.0,0.0,55.0,43.0,43.0,3.0,0.0,0.0,1.0
20000.0,0.53,0.0,20000.0,84.08,67.16155394373287,67.44043358216587,62.43067846607669,20000.0,0.0,61.0,46.0,46.0,3.0,0.0,0.0,1.0
30000.0,0.65,0.0,30000.0,85.66,70.39862632745167,70.54433413214653,65.93824228028504,30000.0,0.0,71.0,51.0,51.0,4.0,0.0,0.0,1.0
40000.0,0.77,0.0,40000.0,86.495,72.12169420293596,72.34282203563383,67.82608695652173,40000.0,0.0,101.0,69.0,69.0,4.0,0.0,0.0,1.0
50000.0,0.86,0.0,50000.0,87.17,73.52267156021078,73.89411142310666,69.39992367868729,50000.0,0.0,107.0,72.0,72.0,4.0,0.0,0.0,1.0
60000.0,0.95,0.0,60000.0,87.67,74.57180076544631,74.84871149792617,70.62187276626162,60000.0,0.0,117.0,77.0,77.0,5.0,0.0,0.0,1.0
70000.0,1.03,0.0,70000.0,88.10857142857142,75.48575033256864,75.75086666472455,71.68033205184908,70000.0,0.0,127.0,85.0,85.0,5.0,0.0,0.0,1.0
80000.0,1.1,0.0,80000.0,88.45625,76.19049503575431,76.40822582705327,72.44352937665981,80000.0,0.0,129.0,86.0,86.0,5.0,0.0,0.0,1.0
90000.0,1.2,0.0,90000.0,88.70555555555556,76.71171925792528,76.9333756921122,73.05500331345263,90000.0,0.0,153.0,98.0,98.0,6.0,0.0,0.0,1.0
100000.0,1.28,0.0,100000.0,88.984,77.3019753771458,77.47930082796687,73.78703152885187,100000.0,0.0,169.0,106.0,106.0,6.0,0.0,0.0,1.0
110000.0,1.34,0.0,110000.0,89.2090909090909,77.78018810540233,77.95933525206571,74.39105952406635,110000.0,0.0,173.0,108.0,108.0,6.0,0.0,0.0,1.0
120000.0,1.4,0.0,120000.0,89.42,78.20876795160551,78.36474557786033,74.87284026362143,120000.0,0.0,183.0,113.0,113.0,6.0,0.0,0.0,1.0
130000.0,1.49,0.0,130000.0,89.61692307692307,78.60790567658802,78.7617024624341,75.30371779859483,130000.0,0.0,195.0,119.0,119.0,6.0,0.0,0.0,1.0
140000.0,1.6,0.0,140000.0,89.74499999999999,78.87863726762458,79.03873388521454,75.63223463118231,140000.0,0.0,212.0,129.0,129.0,6.0,0.0,0.0,1.0
150000.0,1.67,0.0,150000.0,89.93133333333333,79.2644216156808,79.41949989779927,76.0771082810619,150000.0,0.0,218.0,132.0,132.0,6.0,0.0,0.0,1.0
160000.0,1.75,0.0,160000.0,90.090625,79.59367080768833,79.74759538620717,76.45110503802282,160000.0,0.0,238.0,142.0,142.0,6.0,0.0,0.0,1.0
170000.0,1.83,0.0,170000.0,90.25764705882354,79.93997285852409,80.0980557091014,76.84640225916037,170000.0,0.0,252.0,152.0,152.0,6.0,0.0,0.0,1.0
180000.0,1.9,0.0,180000.0,90.42,80.26841451575713,80.41077838869451,77.1971119515485,180000.0,0.0,274.0,166.0,166.0,6.0,0.0,0.0,1.0
190000.0,1.97,0.0,190000.0,90.54684210526315,80.5428269608213,80.67026119523456,77.54145097156577,190000.0,0.0,291.0,179.0,179.0,6.0,0.0,0.0,1.0
200000.0,2.02,0.0,200000.0,90.6895,80.83843614974762,80.94629025161416,77.87560149705935,200000.0,0.0,297.0,182.0,182.0,6.0,0.0,0.0,1.0
210000.0,2.11,0.0,210000.0,90.8295238095238,81.1282882244038,81.24117240237284,78.20359010344748,210000.0,0.0,314.0,192.0,192.0,6.0,0.0,0.0,1.0
220000.0,2.17,0.0,220000.0,90.94681818181817,81.37252163063349,81.46290160455678,78.48787600583248,220000.0,0.0,314.0,192.0,192.0,6.0,0.0,0.0,1.0
230000.0,2.26,0.0,230000.0,91.06260869565217,81.61546135335688,81.70962833779707,78.77915079438817,230000.0,0.0,324.0,197.0,197.0,6.0,0.0,0.0,1.0
240000.0,2.39,0.0,240000.0,91.17583333333333,81.8506248682541,81.92741267931355,79.0486931402228,240000.0,0.0,343.0,211.0,211.0,6.0,0.0,0.0,1.0
250000.0,2.49,0.0,250000.0,91.2724,82.05046037364895,82.12685436241061,79.2734941246877,250000.0,0.0,353.0,219.0,219.0,6.0,0.0,0.0,1.0
260000.0,2.61,0.0,260000.0,91.3723076923077,82.2556098585403,82.32963362663159,79.50123822317259,260000.0,0.0,357.0,221.0,221.0,6.0,0.0,0.0,1.0
270000.0,2.67,0.0,270000.0,91.4762962962963,82.47594391022565,82.54584616318049,79.7712909492041,270000.0,0.0,368.0,228.0,228.0,6.0,0.0,0.0,1.0
280000.0,2.75,0.0,280000.0,91.55714285714286,82.64712303477515,82.71512864945491,79.97899657847488,280000.0,0.0,375.0,233.0,233.0,6.0,0.0,0.0,1.0
290000.0,2.81,0.0,290000.0,91.64689655172413,82.8338872362012,82.90014259293247,80.19474945017208,290000.0,0.0,382.0,238.0,238.0,6.0,0.0,0.0,1.0
300000.0,2.88,0.0,300000.0,91.73733333333334,83.02215279402843,83.08794432694276,80.41619921942896,300000.0,0.0,399.0,248.0,248.0,6.0,0.0,0.0,1.0
310000.0,2.95,0.0,310000.0,91.8225806451613,83.1965871754476,83.25848632941486,80.61170639928412,310000.0,0.0,405.0,251.0,251.0,6.0,0.0,0.0,1.0
320000.0,3.03,0.0,320000.0,91.9009375,83.35682854413601,83.41449991360719,80.79041188286132,320000.0,0.0,426.0,266.0,266.0,6.0,0.0,0.0,1.0
330000.0,3.1,0.0,330000.0,91.97727272727273,83.51583038534433,83.57711776090517,80.97486310524728,330000.0,0.0,447.0,281.0,281.0,6.0,0.0,0.0,1.0
340000.0,3.18,0.0,340000.0,92.05264705882354,83.66827384281304,83.72601452679508,81.13875277463669,340000.0,0.0,453.0,284.0,284.0,6.0,0.0,0.0,1.0
350000.0,3.27,0.0,350000.0,92.12685714285715,83.8198137220487,83.87132647745696,81.30808156177505,350000.0,0.0,459.0,287.0,287.0,6.0,0.0,0.0,1.0
360000.0,3.33,0.0,360000.0,92.1925,83.95402920423774,84.00621383089502,81.45866179390597,360000.0,0.0,473.0,297.0,297.0,6.0,0.0,0.0,1.0
370000.0,3.4,0.0,370000.0,92.24297297297296,84.05831414723187,84.10286803070754,81.57783255025802,370000.0,0.0,479.0,300.0,300.0,7.0,0.0,0.0,1.0
380000.0,3.47,0.0,380000.0,92.31421052631579,84.20414027693809,84.24873260705425,81.74305503463106,380000.0,0.0,481.0,301.0,301.0,7.0,0.0,0.0,1.0
390000.0,3.55,0.0,390000.0,92.38871794871795,84.3583500396457,84.4039300162875,81.92457816505605,390000.0,0.0,481.0,301.0,301.0,7.0,0.0,0.0,1.0
400000.0,3.61,0.0,400000.0,92.4615,84.51048945175036,84.56032196290872,82.10699959649664,400000.0,0.0,485.0,303.0,303.0,7.0,0.0,0.0,1.0
410000.0,3.69,0.0,410000.0,92.52390243902438,84.63896051730484,84.6859449629289,82.2547963921405,410000.0,0.0,500.0,312.0,312.0,7.0,0.0,0.0,1.0
420000.0,3.76,0.0,420000.0,92.58047619047619,84.754660649276,84.79791204234456,82.38290414676202,420000.0,0.0,508.0,316.0,316.0,7.0,0.0,0.0,1.0
