learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.1,0.0,10000.0,74.0,45.08742609770764,46.43592913061393,37.81392011480507,10000.0,0.0
20000.0,0.16,0.0,20000.0,73.91,44.90971522662003,46.52044685866557,37.606122204950374,20000.0,0.0
30000.0,0.23,0.0,30000.0,74.00999999999999,45.123071324992424,46.79994541484716,37.9762946464084,30000.0,0.0
40000.0,0.28,0.0,40000.0,73.94,44.92207181185396,46.425450994500686,37.774594078318984,40000.0,0.0
50000.0,0.35,0.0,50000.0,73.86399999999999,44.792846775190824,46.33264887063654,37.706168366860524,50000.0,0.0
60000.0,0.41,0.0,60000.0,73.795,44.69111508007318,46.20753361387663,37.725760456273754,60000.0,0.0
70000.0,0.46,0.0,70000.0,73.79,44.712509665118944,46.13961953968999,37.758252196627886,70000.0,0.0
80000.0,0.5,0.0,80000.0,73.78375,44.71936986323219,46.15957282949121,37.80617994187772,80000.0,0.0
90000.0,0.56,0.0,90000.0,73.75333333333333,44.61968591608078,46.01672836966955,37.626742712294046,90000.0,0.0
100000.0,0.6,0.0,100000.0,73.722,44.543645339679166,45.936715631815005,37.56711808030411,100000.0,0.0
110000.0,0.64,0.0,110000.0,73.72727272727273,44.58003913834691,45.99846777659437,37.64698267492287,110000.0,0.0
120000.0,0.7,0.0,120000.0,73.71333333333332,44.55393658239606,45.95205866730633,37.611993433674165,120000.0,0.0
130000.0,0.72,0.0,130000.0,73.73692307692308,44.62443477862671,46.04614412136536,37.71753803495203,130000.0,0.0
140000.0,0.78,0.0,140000.0,73.74428571428572,44.63997367573153,46.101849000718495,37.73735115266697,140000.0,0.0
150000.0,0.82,0.0,150000.0,73.746,44.66495603644879,46.10436710506508,37.779849272431385,150000.0,0.0
160000.0,0.86,0.0,160000.0,73.71,44.594847942032764,46.039280079021964,37.68665560559374,160000.0,0.0
170000.0,0.91,0.0,170000.0,73.70705882352941,44.61298708310578,46.02538248825668,37.738713766349555,170000.0,0.0
180000.0,0.95,0.0,180000.0,73.70722222222223,44.62014472786283,46.08637207659798,37.76038926880589,180000.0,0.0
190000.0,0.99,0.0,190000.0,73.68736842105264,44.57987361697027,46.03585807886188,37.71847865356107,190000.0,0.0
200000.0,1.04,0.0,200000.0,73.69449999999999,44.58615337413986,46.05217284305078,37.71044966967392,200000.0,0.0
210000.0,1.08,0.0,210000.0,73.71809523809524,44.645610734650575,46.068908909691416,37.77888008297351,210000.0,0.0
220000.0,1.13,0.0,220000.0,73.72727272727273,44.655398620495966,46.08963298045983,37.778543285895765,220000.0,0.0
230000.0,1.2,0.0,230000.0,73.73086956521739,44.66765996668428,46.08767812686828,37.8155844423174,230000.0,0.0
240000.0,1.25,0.0,240000.0,73.68958333333333,44.57653855543232,45.96756941770418,37.68626522193932,240000.0,0.0
250000.0,1.29,0.0,250000.0,73.688,44.577250092535266,45.99077130236301,37.694172918087446,250000.0,0.0
260000.0,1.34,0.0,260000.0,73.69615384615385,44.5875824903346,45.966658765900284,37.68962344087392,260000.0,0.0
270000.0,1.38,0.0,270000.0,73.6651851851852,44.52833778440714,45.90918427118439,37.61986226257842,270000.0,0.0
280000.0,1.41,0.0,280000.0,73.65142857142857,44.47901695614252,45.874325960162864,37.52032520325203,280000.0,0.0
290000.0,1.46,0.0,290000.0,73.61620689655173,44.41493536961224,45.79427996571096,37.460766363695825,290000.0,0.0
300000.0,1.51,0.0,300000.0,73.62133333333334,44.42183718488141,45.82842748007997,37.443380789388414,300000.0,0.0
310000.0,1.55,0.0,310000.0,73.60580645161289,44.37914338741689,45.82113864205214,37.3932604903131,310000.0,0.0
320000.0,1.6,0.0,320000.0,73.6040625,44.38393754674442,45.84650301005917,37.406814577682916,320000.0,0.0
330000.0,1.63,0.0,330000.0,73.61848484848484,44.41523775790683,45.90962466837733,37.43514193316563,330000.0,0.0
340000.0,1.68,0.0,340000.0,73.61235294117647,44.399965614656374,45.92597503571063,37.41812626865047,340000.0,0.0
350000.0,1.73,0.0,350000.0,73.61485714285713,44.396525145249335,45.93018490110893,37.40476642355556,350000.0,0.0
360000.0,1.77,0.0,360000.0,73.62305555555557,44.415373431025124,45.93380439671813,37.44186046511629,360000.0,0.0
370000.0,1.82,0.0,370000.0,73.60675675675675,44.385995818911574,45.91877987052183,37.41508369863363,370000.0,0.0
380000.0,1.85,0.0,380000.0,73.6078947368421,44.39526594750815,45.920441738699054,37.444252468485104,380000.0,0.0
390000.0,1.9,0.0,390000.0,73.62025641025642,44.41182351428658,45.91615192535156,37.455316975901574,390000.0,0.0
400000.0,1.94,0.0,400000.0,73.63,44.43307999755425,45.93708035631912,37.49222208394814,400000.0,0.0
410000.0,1.98,0.0,410000.0,73.61951219512196,44.406286441741706,45.90647661915479,37.45192947149887,410000.0,0.0
420000.0,2.02,0.0,420000.0,73.61238095238095,44.395931141405796,45.90800827769318,37.44433218375883,420000.0,0.0
430000.0,2.05,0.0,430000.0,73.60511627906978,44.382872821141426,45.89536408056251,37.43288387118114,430000.0,0.0
440000.0,2.1,0.0,440000.0,73.59477272727273,44.36399495858625,45.86748172410741,37.419945598017826,440000.0,0.0
450000.0,2.15,0.0,450000.0,73.59022222222222,44.35749681572521,45.85768759424701,37.421872120391974,450000.0,0.0
460000.0,2.18,0.0,460000.0,73.58804347826087,44.362825568253136,45.854706377820456,37.44529455983359,460000.0,0.0
470000.0,2.22,0.0,470000.0,73.59468085106383,44.379573150584775,45.868790536797704,37.46976903543069,470000.0,0.0
480000.0,2.25,0.0,480000.0,73.58,44.34922678008416,45.84747825418584,37.43784039782146,480000.0,0.0
490000.0,2.3,0.0,490000.0,73.57061224489796,44.33220692647149,45.82193328145787,37.415610336012215,490000.0,0.0
500000.0,2.35,0.0,500000.0,73.5608,44.31297137656872,45.79042979402202,37.40126905957003,500000.0,0.0
510000.0,2.4,0.0,510000.0,73.56627450980392,44.32742154574555,45.79528686135201,37.42044795172333,510000.0,0.0
520000.0,2.42,0.0,520000.0,73.56634615384615,44.319799064361106,45.78075632008899,37.3949598968842,520000.0,0.0
530000.0,2.47,0.0,530000.0,73.56849056603774,44.32863100590285,45.76787580813752,37.41282329656387,530000.0,0.0
540000.0,2.52,0.0,540000.0,73.5687037037037,44.33454465294949,45.77845482899181,37.434411533926294,540000.0,0.0
550000.0,2.55,0.0,550000.0,73.56963636363636,44.32911701245472,45.76242729060252,37.42030470401348,550000.0,0.0
560000.0,2.58,0.0,560000.0,73.57660714285714,44.34636329861816,45.78545886215083,37.44726362690972,560000.0,0.0
570000.0,2.63,0.0,570000.0,73.58175438596491,44.34886887003672,45.80092500944806,37.4349769822672,570000.0,0.0
580000.0,2.67,0.0,580000.0,73.59258620689656,44.36296303195965,45.80487873919905,37.43060349934025,580000.0,0.0
590000.0,2.71,0.0,590000.0,73.60169491525423,44.380594342573,45.827029095146166,37.44577964849146,590000.0,0.0
600000.0,2.74,0.0,600000.0,73.59400000000001,44.373057167106474,45.82773441106177,37.45395975697859,600000.0,0.0
610000.0,2.78,0.0,610000.0,73.58950819672131,44.36630836676533,45.816432919651554,37.45064314361923,610000.0,0.0
620000.0,2.84,0.0,620000.0,73.59161290322581,44.3705779577041,45.82321370666209,37.45506774695072,620000.0,0.0
630000.0,2.86,0.0,630000.0,73.58904761904762,44.361250716233194,45.83250590054529,37.4404535866962,630000.0,0.0
640000.0,2.92,0.0,640000.0,73.5915625,44.36311354036198,45.84238555745678,37.43790578706959,640000.0,0.0
650000.0,2.96,0.0,650000.0,73.59646153846154,44.38017449861425,45.859739997539414,37.4661137993354,650000.0,0.0
660000.0,2.99,0.0,660000.0,73.58878787878787,44.37052953534453,45.85311001217663,37.46807289424594,660000.0,0.0
670000.0,3.04,0.0,670000.0,73.59268656716418,44.37477530528151,45.85734264022302,37.461472118538616,670000.0,0.0
680000.0,3.08,0.0,680000.0,73.58176470588236,44.35268766344102,45.834727837929925,37.434611500017425,680000.0,0.0
690000.0,3.12,0.0,690000.0,73.58405797101449,44.3563621169622,45.83116632242151,37.43778789189338,690000.0,0.0
700000.0,3.16,0.0,700000.0,73.59542857142857,44.38000945363567,45.85930543187888,37.463585950690046,700000.0,0.0
710000.0,3.21,0.0,710000.0,73.59380281690142,44.378308315206446,45.86769223662025,37.46489396476388,710000.0,0.0
720000.0,3.24,0.0,720000.0,73.58763888888889,44.35871317242071,45.845175106362376,37.429176839098986,720000.0,0.0
730000.0,3.29,0.0,730000.0,73.59452054794521,44.36797878800713,45.85803885660357,37.42980491446749,730000.0,0.0
740000.0,3.34,0.0,740000.0,73.60378378378378,44.382719885955595,45.86156911981952,37.436101110783696,740000.0,0.0
750000.0,3.36,0.0,750000.0,73.60453333333334,44.382622030389555,45.875881376738484,37.43173198482932,750000.0,0.0
760000.0,3.41,0.0,760000.0,73.60552631578948,44.38242179357116,45.864941667948536,37.42966225405183,760000.0,0.0
770000.0,3.45,0.0,770000.0,73.60922077922078,44.390098964453664,45.86953857956451,37.44200866291293,770000.0,0.0
780000.0,3.49,0.0,780000.0,73.60679487179486,44.388086125588586,45.86877581768605,37.443176293271094,780000.0,0.0
790000.0,3.53,0.0,790000.0,73.6060759493671,44.38556290784221,45.867472506931676,37.434888019395565,790000.0,0.0
800000.0,3.56,0.0,800000.0,73.615875,44.40343275088916,45.883158304959586,37.44372623461455,800000.0,0.0
810000.0,3.62,0.0,810000.0,73.62654320987654,44.4259771228759,45.91703692451802,37.472559637055454,810000.0,0.0
820000.0,3.65,0.0,820000.0,73.6369512195122,44.44568457341705,45.92465667758962,37.49291588114872,820000.0,0.0
830000.0,3.69,0.0,830000.0,73.63614457831325,44.43894793176846,45.9125435341983,37.47839230151634,830000.0,0.0
840000.0,3.72,0.0,840000.0,73.64095238095238,44.45355317228549,45.92817807734106,37.50059982668539,840000.0,0.0
850000.0,3.77,0.0,850000.0,73.64282352941176,44.456010092547785,45.930865377421554,37.503382364837904,850000.0,0.0
860000.0,3.81,0.0,860000.0,73.64116279069768,44.45288036480401,45.91833569920436,37.494554217930556,860000.0,0.0
870000.0,3.87,0.0,870000.0,73.64735632183908,44.46458035986727,45.92289457856192,37.501397078266386,870000.0,0.0
880000.0,3.9,0.0,880000.0,73.64363636363636,44.46027434415933,45.93062290190228,37.50697178146194,880000.0,0.0
890000.0,3.95,0.0,890000.0,73.64269662921348,44.45305932153117,45.93249052124507,37.486675478616796,890000.0,0.0
900000.0,3.98,0.0,900000.0,73.64133333333334,44.446289576314975,45.92638011638589,37.47466467761873,900000.0,0.0
910000.0,4.02,0.0,910000.0,73.6345054945055,44.43354233743448,45.92010386542576,37.46357432922029,910000.0,0.0
920000.0,4.07,0.0,920000.0,73.63271739130435,44.43391670517565,45.92652861059718,37.47093667675399,920000.0,0.0
930000.0,4.1,0.0,930000.0,73.6378494623656,44.44605612393702,45.93202247686594,37.48760170427164,930000.0,0.0
940000.0,4.15,0.0,940000.0,73.63521276595745,44.44388688414645,45.92711706129289,37.49237032067353,940000.0,0.0
950000.0,4.19,0.0,950000.0,73.63757894736843,44.44545701297121,45.927091834751856,37.48879908745322,950000.0,0.0
960000.0,4.23,0.0,960000.0,73.6384375,44.448308714955104,45.92742633343375,37.49728325298347,960000.0,0.0
970000.0,4.27,0.0,970000.0,73.63835051546391,44.44868742310161,45.92710855475316,37.49896120021703,970000.0,0.0
980000.0,4.32,0.0,980000.0,73.63255102040817,44.434971221123625,45.905678625708106,37.4843348542839,980000.0,0.0
990000.0,4.35,0.0,990000.0,73.63565656565657,44.44056254815507,45.915933650369375,37.48649768514638,990000.0,0.0
1000000.0,4.39,0.0,1000000.0,73.6437,44.45575335091286,45.93346585186234,37.50032605886134,1000000.0,0.0
