"","x"
"1",21.956
"2",26.6175204961758
"3",29.9610203085816
"4",28.7806839225159
"5",28.1691931988387
"6",25.0649413399716
"7",18.8526654556805
"8",16.9403445134119
"9",16.2725094985004
"10",16.299778825282
"11",19.4893579087681
"12",20.7737420131285
"13",23.317262469184
"14",27.3536004743034
"15",28.6547296738441
"16",28.0313500952165
"17",26.1166969452091
"18",25.5127065098875
"19",20.8474523194502
"20",16.4704766920831
"21",16.1324424462931
"22",16.6303121889656
"23",21.1078760613751
"24",20.5223201613268
"25",24.93004012142
"26",28.7505297138387
"27",30.3919613587015
"28",29.8655144417719
"29",26.65
"30",23.2741935483871
"31",20.6233333333333
"32",18.2354838709677
"33",17.0387096774194
"34",18.2379310344828
"35",18.5677419354839
"36",20.9
"37",24.3806451612903
"38",28.9852193220465
"39",30.9024259825116
"40",31.9129032258065
"41",29.4586712639414
"42",23.9629244913418
"43",18.43
"44",16.4225806451613
"45",13.5774193548387
"46",16.8185185185185
"47",19.0677419354839
"48",20.2929270627952
"49",24.6645161290323
"50",29.9866666666667
"51",30.7967741935484
"52",30.9258064516129
"53",26.8988358874784
"54",24.5193548387097
"55",18.6033333333333
"56",15.1064516129032
"57",16.7322580645161
"58",14.0933618848674
