Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
1477V;2013-05-07;18.3;14:00;13.7;22:10;16;46;18:30;20;20:10;8.8;4.8;1;0.4;2.6
1477V;2013-05-08;17.7;17:10;13.0;07:50;15.4;32;01:50;16;00:20;2;1.2;0.8;0;0
1477V;2013-05-09;20.1;18:00;11.0;23:59;15.6;25;20:50;8;18:00;0;0;0;0;0
1477V;2013-05-10;21.7;17:30;7.2;07:40;14.5;27;19:50;10;11:40;0;0;0;0;0
1477V;2013-05-11;20.2;17:10;6.6;07:50;13.4;30;18:50;16;13:50;0;0;0;0;0
1477V;2013-05-12;24.0;16:20;9.2;05:00;16.6;37;08:30;19;18:40;0;0;0;0;0
1477V;2013-05-13;26.2;15:50;10.2;05:50;18.2;36;22:20;17;22:20;0;0;0;0;0
1477V;2013-05-14;18.7;15:40;10.2;05:50;14.5;37;16:40;24;16:30;3.4;0;0;0;3.4
1477V;2013-05-15;17.3;15:10;7.4;08:00;12.3;38;18:40;19;18:30;1.4;1.4;0;0;0
1477V;2013-05-16;12.6;18:10;7.2;07:20;9.9;28;16:50;15;17:40;17.6;0;3.8;4.8;9
1477V;2013-05-17;12.4;13:20;7.5;07:50;9.9;25;01:50;13;13:40;10.4;3;3;3;1.4
1477V;2013-05-18;15.8;17:00;7.4;02:30;11.6;36;17:20;25;17:10;0.2;0;0.2;0;0
1477V;2013-05-19;;;;;;;;;;;0;0.2;;
1477V;2013-05-20;19.2;14:20;5.0;07:40;12.1;32;20:40;19;20:50;0;0;0;0;0
1477V;2013-05-21;21.6;17:50;8.0;06:40;14.8;34;15:50;15;20:20;0;0;0;0;0
1477V;2013-05-22;22.8;17:10;12.5;05:10;17.6;35;11:30;18;23:30;0;0;0;0;0
1477V;2013-05-23;22.0;15:50;11.6;02:20;16.8;45;20:10;23;19:10;0;0;0;0;0
1477V;2013-05-24;21.9;17:50;9.1;08:00;15.5;41;10:10;20;10:10;;0;0;0;
1477V;2013-05-25;23.6;16:30;8.9;06:10;16.3;36;02:50;17;11:40;0;0;0;0;0
1477V;2013-05-26;20.8;16:20;9.4;07:40;15.1;35;01:00;13;01:00;0;0;0;0;0
1477V;2013-05-27;16.2;13:50;7.3;07:20;11.8;33;14:40;18;14:50;4.6;0;0;0;4.6
1477V;2013-05-28;16.3;19:30;8.0;07:30;12.1;39;15:20;24;17:30;0.2;0;0;0.2;0
1477V;2013-05-29;15.1;18:10;9.0;04:30;12.1;41;18:30;19;15:10;2;0.2;1;0.8;0
1477V;2013-05-30;21.4;17:30;9.9;02:00;15.6;31;16:30;15;19:20;0;0;0;0;0
1477V;2013-05-31;22.2;17:00;11.9;04:40;17.1;37;16:40;18;16:40;0;0;0;0;0
1477V;2013-06-01;23.2;16:20;13.7;07:20;18.5;44;23:00;22;22:30;0;0;0;0;0
1477V;2013-06-02;25.7;16:00;12.9;04:10;19.3;42;02:50;20;02:20;0;0;0;0;0
1477V;2013-06-03;28.3;15:50;11.8;06:50;20;29;00:20;14;17:40;0;0;0;0;0
1477V;2013-06-04;27.1;17:00;12.1;07:20;19.6;28;15:50;17;15:20;0;0;0;0;0
1477V;2013-06-05;19.4;14:10;12.1;07:10;15.8;29;15:20;17;15:20;0;0;0;0;0
1477V;2013-06-06;18.1;13:50;14.3;00:00;16.2;33;13:10;20;14:10;0;0;0;0;0
1477V;2013-06-07;19.2;17:30;12.1;07:00;15.7;27;15:50;17;16:20;0.2;0;0.2;0;0
1477V;2013-06-08;15.7;15:10;12.2;02:20;13.9;23;15:40;13;15:40;1.8;0;0.8;1;0
1477V;2013-06-09;16.5;16:50;14.0;02:30;15.3;23;16:10;14;16:00;0;0;0;0;0
1477V;2013-06-10;16.5;16:00;13.8;07:40;15.2;46;17:10;21;23:40;3.8;0.2;0.6;0;3
1477V;2013-06-11;17.3;16:30;14.0;00:00;15.6;42;02:40;22;02:40;4;2.2;1.8;0;0
1477V;2013-06-12;21.1;16:30;14.8;06:50;18;32;06:40;19;17:10;0;0;0;0;0
1477V;2013-06-13;24.4;17:40;14.0;09:30;19.2;30;21:10;13;20:50;2.4;1.6;0.8;0;0
1477V;2013-06-14;19.7;16:20;10.4;07:20;15.1;29;15:00;18;17:00;0;0;0;0;0
1477V;2013-06-15;22.0;18:20;14.8;07:20;18.4;26;15:50;15;17:20;0;0;0;0;0
1477V;2013-06-16;17.7;14:40;11.2;07:30;14.5;32;18:30;18;15:30;16;0;0;1.2;14.8
1477V;2013-06-17;15.3;12:40;9.9;07:10;12.6;41;13:40;22;16:00;19.6;4.4;0.2;5.8;9.2
1477V;2013-06-18;20.8;13:10;10.6;07:50;15.7;28;09:00;15;01:20;0.8;0.6;0;0;0.2
1477V;2013-06-19;18.4;17:40;13.8;23:50;16.1;30;14:40;15;16:30;0;0;0;0;0
1477V;2013-06-20;16.3;11:50;9.5;07:20;12.9;22;13:00;12;13:00;1;0;0;0.2;0.8
1477V;2013-06-21;22.7;18:20;14.0;00:00;18.4;30;19:30;18;19:30;0.6;0.2;0.4;0;0
1477V;2013-06-22;20.9;19:30;10.9;07:00;15.9;31;22:40;15;21:00;0;0;0;0;0
1477V;2013-06-23;23.6;15:50;13.4;02:00;18.5;45;13:10;22;13:20;0;0;0;0;0
1477V;2013-06-24;29.3;16:40;11.6;06:40;20.4;36;04:40;18;20:20;0;0;0;0;0
1477V;2013-06-25;31.1;16:50;13.5;07:30;22.3;40;13:00;18;12:50;0;0;0;0;0
1477V;2013-06-26;30.6;15:30;14.7;07:30;22.7;42;19:20;17;16:50;0;0;0;0;0
1477V;2013-06-27;30.5;17:00;14.4;07:20;22.4;49;23:59;21;23:59;0;0;0;0;0
1477V;2013-06-28;31.3;16:50;15.2;05:00;23.2;40;02:50;21;06:30;0;0;0;0;0
1477V;2013-06-29;33.7;17:20;14.8;07:30;24.3;35;00:50;17;00:50;0;0;0;0;0
1477V;2013-06-30;33.7;15:00;15.9;07:20;24.8;24;17:10;15;17:20;0;0;0;0;0
1477V;2013-07-01;26.8;17:50;16.1;07:40;21.4;32;09:10;17;10:00;0;0;0;0;0
1477V;2013-07-02;25.3;19:00;16.7;02:20;21;24;16:20;16;17:00;0;0;0;0;0
1477V;2013-07-03;31.0;17:10;17.7;01:50;24.4;26;21:10;13;18:20;0;0;0;0;0
1477V;2013-07-04;35.9;17:30;18.3;07:00;27.1;31;01:20;13;00:50;0;0;0;0;0
1477V;2013-07-05;39.7;19:00;18.0;07:50;28.9;23;15:30;11;19:30;0;0;0;0;0
1477V;2013-07-06;36.6;20:00;20.8;07:00;28.7;22;16:10;14;16:50;0;0;0;0;0
1477V;2013-07-07;37.8;16:30;21.7;07:30;29.8;17;18:00;11;18:20;0;0;0;0;0
1477V;2013-07-08;34.4;17:10;19.9;07:00;27.2;26;18:30;15;18:20;0;0;0;0;0
1477V;2013-07-09;29.8;14:40;19.8;06:50;24.8;26;16:20;15;16:20;0;0;0;0;0
1477V;2013-07-10;28.6;13:00;17.6;07:20;23.1;29;14:40;18;14:40;0;0;0;0;0
1477V;2013-07-11;24.4;13:50;16.3;06:00;20.3;24;15:00;17;14:40;0;0;0;0;0
1477V;2013-07-12;20.6;16:10;17.2;08:50;18.9;26;17:50;14;17:40;0;0;0;0;0
1477V;2013-07-13;26.8;15:20;18.0;01:30;22.4;31;16:00;20;15:50;0;0;0;0;0
1477V;2013-07-14;29.9;14:00;17.7;06:00;23.8;31;17:10;19;16:20;0;0;0;0;0
1477V;2013-07-15;24.2;13:30;16.9;08:00;20.6;31;16:10;16;16:10;0;0;0;0;0
1477V;2013-07-16;24.4;18:40;17.3;05:20;20.8;26;17:30;17;17:40;0;0;0;0;0
1477V;2013-07-17;35.2;18:00;15.4;07:20;25.3;35;19:40;15;19:40;0;0;0;0;0
1477V;2013-07-18;27.6;16:40;14.6;08:00;21.1;26;18:30;16;17:40;0;0;0;0;0
1477V;2013-07-19;20.5;18:00;17.6;23:50;19.1;23;16:40;14;18:10;0;0;0;0;0
1477V;2013-07-20;22.5;18:20;16.4;07:30;19.4;24;21:10;14;21:00;0.4;0.2;0;0.2;0
1477V;2013-07-21;21.9;17:00;16.1;00:30;19;31;15:40;22;15:40;0;0;0;0;0
1477V;2013-07-22;23.1;18:30;14.9;05:10;19;28;15:20;18;15:30;0;0;0;0;0
1477V;2013-07-23;23.8;17:00;14.6;06:10;19.2;26;17:20;18;13:20;0;0;0;0;0
1477V;2013-07-24;22.2;12:50;18.9;06:10;20.6;27;13:30;17;11:30;0.6;0;0;0;0.6
1477V;2013-07-25;23.0;16:50;17.6;23:59;20.3;26;16:20;16;15:00;0.4;0.2;0.2;0;0
1477V;2013-07-26;22.3;14:40;15.4;07:40;18.8;34;16:50;20;16:50;0;0;0;0;0
1477V;2013-07-27;21.5;15:30;15.8;08:40;18.7;49;19:30;23;15:40;8.6;0;8;0.2;0.4
1477V;2013-07-28;20.7;15:50;17.0;10:40;18.9;50;15:50;30;15:50;24;4.8;18.6;0.6;0
1477V;2013-07-29;21.9;17:00;17.0;23:59;19.4;35;13:40;21;13:30;0;0;0;0;0
1477V;2013-07-30;26.2;16:50;13.8;07:10;20;22;17:00;13;17:00;0;0;0;0;0
1477V;2013-07-31;24.4;18:20;15.7;07:50;20;25;19:00;17;14:20;0;0;0;0;0
1477V;2013-08-01;23.9;18:00;17.2;00:50;20.6;37;16:30;21;16:00;2.6;0;0;0;2.6
1477V;2013-08-02;22.0;19:10;17.2;08:00;19.6;42;18:50;24;17:40;10;9.8;0.2;0;0
1477V;2013-08-03;23.0;18:40;14.3;07:50;18.7;29;15:30;17;15:30;0.2;0.2;0;0;0
1477V;2013-08-04;24.0;17:50;13.0;08:00;18.5;27;19:00;17;18:50;0;0;0;0;0
1477V;2013-08-05;24.3;16:50;17.7;08:20;21;31;17:50;17;16:40;0;0;0;0;0
1477V;2013-08-06;25.3;16:30;17.1;23:59;21.2;26;17:40;17;14:50;0;0;0;0;0
1477V;2013-08-07;22.6;19:00;13.7;03:30;18.2;31;13:00;22;17:00;3.4;0;2.2;1.2;0
1477V;2013-08-08;27.5;17:40;14.0;06:50;20.8;28;23:00;14;23:10;0;0;0;0;0
1477V;2013-08-09;31.4;17:20;15.3;08:00;23.3;33;23:00;15;23:00;0;0;0;0;0
1477V;2013-08-10;33.8;17:10;17.9;07:30;25.8;32;04:00;14;02:10;0;0;0;0;0
1477V;2013-08-11;36.0;17:50;18.0;07:40;27;22;20:20;9;23:40;0;0;0;0;0
1477V;2013-08-12;30.1;14:20;19.1;07:00;24.6;39;17:20;20;20:20;0;0;0;0;0
1477V;2013-08-13;30.7;16:20;19.5;04:10;25.1;41;09:10;18;09:50;0;0;0;0;0
1477V;2013-08-14;33.2;18:20;18.7;07:10;26;33;03:10;13;04:00;0;0;0;0;0
1477V;2013-08-15;;;;;;;;;;;;;;
1477V;2013-08-16;30.3;17:20;17.6;07:40;23.9;33;01:00;21;20:20;0;0;0;0;0
1477V;2013-08-17;27.0;20:00;16.4;08:00;21.7;26;15:40;15;15:40;0;0;0;0;0
1477V;2013-08-18;27.9;18:20;16.3;06:50;22.1;24;17:10;17;17:10;0;0;0;0;0
1477V;2013-08-19;30.6;15:50;17.3;06:50;23.9;36;14:30;16;11:30;0;0;0;0;0
1477V;2013-08-20;35.1;18:00;16.3;08:10;25.7;34;01:20;14;02:20;0;0;0;0;0
1477V;2013-08-21;22.4;00:00;16.0;08:10;19.2;27;17:50;18;16:30;0;0;0;0;0
1477V;2013-08-22;22.7;16:00;17.6;23:00;20.2;27;17:20;19;16:40;0;0;0;0;0
1477V;2013-08-23;27.2;16:50;14.8;08:30;21;35;20:50;20;17:20;0;0;0;0;0
1477V;2013-08-24;26.3;16:10;16.2;08:00;21.3;39;14:50;19;17:30;0;0;0;0;0
1477V;2013-08-25;26.2;14:20;14.7;07:30;20.5;37;17:20;19;18:30;0;0;0;0;0
1477V;2013-08-26;28.7;17:00;16.1;07:40;22.4;47;14:40;26;14:40;0;0;0;0;0
1477V;2013-08-27;30.3;15:50;17.1;07:30;23.7;44;18:20;21;12:30;0;0;0;0;0
1477V;2013-08-28;29.8;16:00;17.9;08:10;23.8;43;21:00;19;18:20;0;0;0;0;0
1477V;2013-08-29;31.0;17:00;17.1;08:40;24.1;35;18:50;17;19:00;0;0;0;0;0
1477V;2013-08-30;32.2;17:30;14.9;08:40;23.6;27;19:00;13;14:30;0;0;0;0;0
1477V;2013-08-31;31.9;16:20;16.3;08:20;24.1;34;04:10;14;03:10;0;0;0;0;0
1477V;2013-09-01;34.3;18:20;16.8;08:30;25.5;22;01:40;10;00:40;0;0;0;0;0
1477V;2013-09-02;31.7;18:10;16.3;08:10;24;24;16:50;15;16:50;0;0;0;0;0
1477V;2013-09-03;30.1;16:10;15.6;08:40;22.9;31;16:30;17;16:30;0;0;0;0;0
1477V;2013-09-04;34.8;15:30;14.9;06:00;24.8;28;22:30;13;17:20;0;0;0;0;0
1477V;2013-09-05;23.8;13:30;18.6;08:20;21.2;38;06:20;16;06:20;0;0;0;0;0
1477V;2013-09-06;23.0;12:40;16.6;06:00;19.8;36;14:40;15;14:40;0;0;0;0;0
1477V;2013-09-07;24.6;16:00;14.0;08:40;19.3;39;14:50;18;12:20;0;0;0;0;0
1477V;2013-09-08;24.8;15:40;11.1;08:40;17.9;27;13:00;18;16:30;0;0;0;0;0
1477V;2013-09-09;28.3;15:30;10.4;07:40;19.3;30;20:40;16;16:40;0;0;0;0;0
1477V;2013-09-10;27.6;16:50;17.1;07:00;22.4;45;19:30;21;19:30;0;0;0;0;0
1477V;2013-09-11;28.5;15:50;15.7;07:50;22.1;46;10:00;22;10:50;0;0;0;0;0
1477V;2013-09-12;30.4;17:10;13.4;06:40;21.9;23;14:40;13;17:30;0;0;0;0;0
1477V;2013-09-13;31.1;16:50;14.3;07:30;22.7;24;15:20;15;15:50;0;0;0;0;0
1477V;2013-09-14;27.7;14:50;16.5;07:20;22.1;43;06:00;19;06:00;0;0;0;0;0
1477V;2013-09-15;27.8;16:40;17.1;06:20;22.4;33;21:10;17;21:20;0;0;0;0;0
1477V;2013-09-16;27.2;15:40;14.5;05:30;20.9;36;20:20;16;17:20;0;0;0;0;0
1477V;2013-09-17;26.1;16:50;13.5;08:10;19.8;39;13:30;18;13:10;;0;0;;0
1477V;2013-09-18;23.7;14:20;15.7;08:00;19.7;20;12:20;13;15:10;0;0;0;0;0
1477V;2013-09-19;28.5;16:40;17.0;07:00;22.8;35;20:30;16;17:10;0;0;0;0;0
1477V;2013-09-20;29.0;17:00;17.9;05:20;23.4;32;19:30;14;15:10;0;0;0;0;0
