Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
1535I;2014-07-07;;;;;;;;;;;0;;;
1535I;2014-07-08;;;;;;;;;;;;0;0;
1535I;2014-07-09;;;;;;;;;;;;0;;
1535I;2014-07-10;;;;;;;;;;;;0;;
1535I;2014-07-11;;;;;;;;;;;;0;;
1535I;2014-07-12;;;;;;;;;;;;0;;
1535I;2014-07-13;;;;;;;;;;;;;;
1535I;2014-07-14;;;;;;;;;;;;0;;
1535I;2014-07-15;;;;;;;;;;;;0;;
1535I;2014-07-16;;;;;;;;;;;;7;;
1535I;2014-07-17;;;;;;;;;;;;0;0;
1535I;2014-07-18;;;;;;;;;;;;0;0;
1535I;2014-07-19;;;;;;;;;;;;5;0.8;0
1535I;2014-07-20;;;;;;;;;;;;;;
1535I;2014-07-21;;;;;;;;;;;;0;0;0
1535I;2014-07-22;;;;;;;;;;;0;0;;
1535I;2014-07-23;;;;;;;;;;;;;;
1535I;2014-07-24;;;;;;;;;;;;;;
1535I;2014-07-25;;;;;;;;;;;;0;0;0
1535I;2014-07-26;;;;;;;;;;;;0;;
1535I;2014-07-27;;;;;;;;;;;;;;
1535I;2014-07-28;;;;;;;;;;;;0;;
1535I;2014-07-29;;;;;;;;;;;;0;0;
1535I;2014-07-30;;;;;;;;;;;;0;;
1535I;2014-11-04;;;;;;;;;;;;2;;
1535I;2014-11-05;;;;;;;;;;;;;0;0
1535I;2014-11-06;13.6;23:59;2.0;08:20;7.8;;;26;18:00;;0;0.2;0.2;
1535I;2014-11-07;13.9;15:10;7.9;23:59;10.9;;;26;02:10;2.4;2.4;0;0;0
1535I;2014-11-08;10.8;16:00;6.9;21:10;8.9;;;;;;;4;13.8;0
1535I;2014-11-09;;;;;;;;;;;;1.2;;0
1535I;2014-11-10;9.4;14:30;4.3;03:20;6.8;;;27;13:10;;0;0;0.8;
1535I;2014-11-11;11.6;13:50;7.5;23:59;9.6;;;26;14:40;;11.8;8.2;;0.4
1535I;2014-11-12;12.9;13:20;7.4;00:10;10.1;;;34;23:59;5.4;0.6;1.6;0;3.2
1535I;2014-11-13;16.1;15:30;8.6;23:00;12.4;;;40;16:30;18;12.6;0.2;0.2;5
1535I;2014-11-14;8.7;00:10;5.5;22:50;7.1;;;27;13:20;9.6;1.2;5.8;1.8;0.8
1535I;2014-11-15;;;;;;;;;;;1.6;9.2;;
1535I;2014-11-16;;;;;;;;;;;;;0.4;4.8
1535I;2014-11-17;11.3;13:50;5.2;23:40;8.3;;;9;01:00;1.6;1.4;0.2;0;0
1535I;2014-11-18;12.0;14:50;5.4;00:50;8.7;;;29;21:10;3.6;0;0;0;3.6
1535I;2014-11-19;12.1;14:30;8.9;09:10;10.5;;;27;20:40;4.4;2;0;0.2;2.2
1535I;2014-11-20;16.6;14:00;10.7;00:00;13.7;;;23;18:00;2;1.2;0.8;0;0
1535I;2014-11-21;18.8;13:30;10.4;05:20;14.6;;;10;18:20;0;0;0;0;0
1535I;2014-11-22;15.2;11:40;10.6;21:00;12.9;;;14;14:10;9;0.8;0;4;4.2
1535I;2014-11-23;;;;;;;;;;;;13.6;0.6;0
1535I;2014-11-24;12.0;11:00;9.6;06:10;10.8;;;20;14:00;0;0;0;0;0
1535I;2014-11-25;11.3;13:30;8.0;23:20;9.7;;;14;03:30;0;0;0;0;0
1535I;2014-11-26;13.4;16:30;5.0;23:40;9.2;;;2;15:50;0;0;0;0;0
1535I;2014-11-27;11.6;23:30;3.1;06:20;7.4;;;42;23:50;0;0;0;0;0
1535I;2014-11-28;11.5;00:00;3.4;23:50;7.5;;;47;04:40;6.8;0;6.4;0.4;0
1535I;2014-11-29;12.0;23:20;2.4;02:30;7.2;;;26;18:10;0;0;0;0;0
1535I;2014-11-30;;;;;;;;;;;;;0;0
1535I;2014-12-01;10.6;00:50;8.0;23:00;9.3;;;21;15:00;0;0;0;0;0
1535I;2014-12-02;;;;;;;;;;;0;;0;0
1535I;2014-12-03;9.0;13:50;5.0;23:50;7;;;28;23:20;0.2;0.2;0;0;0
1535I;2014-12-04;9.9;15:00;2.8;05:30;6.3;;;18;00:10;0.8;0;0;0.4;0.4
1535I;2014-12-05;8.1;15:30;1.8;08:10;5;;;14;14:10;0.2;0.2;0;0;0
1535I;2014-12-06;;;;;;;;;;;;0;0.8;
1535I;2014-12-07;;;;;;;;;;;;0.6;0;
1535I;2014-12-08;;;;;;;;;;;;0;0.2;0
1535I;2014-12-09;;;;;;;;;;;;0;0;
1535I;2014-12-10;;;;;;;;;;;;0;0;0
1535I;2014-12-11;;;;;;;;;;;;0.2;0;
1535I;2014-12-12;;;;;;;;;;;;0.2;0;1.6
1535I;2014-12-13;;;;;;;;;;;13.4;10.2;0.6;
1535I;2014-12-14;;;;;;;;;;;;0;0;0
1535I;2014-12-15;;;;;;;;;;;0;0;0;
1535I;2014-12-16;;;;;;;;;;;;;0.2;0.8
1535I;2014-12-17;10.2;14:10;7.8;09:30;9;;;4;05:00;0.8;0.8;0;0;0
1535I;2014-12-18;;;;;;;;;;;;0;0;0
1535I;2014-12-19;5.2;21:10;1.4;09:20;3.3;;;6;12:30;0;0;0;0;0
1535I;2014-12-20;9.8;16:50;3.6;05:50;6.7;;;2;05:40;0.4;0.2;0;0.2;0
1535I;2014-12-21;8.5;00:00;5.7;23:59;7.1;;;8;03:00;0;0;0;0;0
1535I;2014-12-22;12.0;16:30;2.1;08:20;7;;;12;06:50;0;0;0;0;0
1535I;2014-12-23;8.4;15:10;2.5;05:40;5.4;;;7;05:00;0;0;0;0;0
1535I;2014-12-24;10.2;14:50;5.6;07:40;7.9;;;2;09:10;0;0;0;0;0
1535I;2014-12-25;;;;;;;;;;;;0;0;0
1535I;2014-12-26;7.4;02:10;4.0;10:00;5.7;;;1;01:00;0;0;0;0;0
1535I;2014-12-27;9.9;17:00;4.1;07:20;7;;;21;22:10;0.6;0;0;0.2;0.4
1535I;2014-12-28;9.8;00:20;2.0;22:50;5.9;;;26;15:00;1.8;1;0.6;0.2;0
1535I;2014-12-29;8.6;16:50;-1.4;07:30;3.6;;;21;00:10;0;0;0;0;0
1535I;2014-12-30;11.2;17:40;-2.5;03:50;4.3;;;1;13:20;0;0;0;0;0
1535I;2014-12-31;11.7;15:10;0.0;07:00;5.8;;;3;01:10;0;0;0;0;0
1535I;2015-01-01;14.9;17:00;0.1;09:00;7.5;;;9;18:30;0;0;0;0;0
1535I;2015-01-02;11.3;15:20;1.3;06:30;6.3;;;3;16:00;0;0;0;0;0
1535I;2015-01-03;14.3;15:20;1.9;09:40;8.1;;;1;15:50;0;0;0;0;0
1535I;2015-01-04;10.9;15:50;1.7;04:30;6.3;;;9;17:30;0;0;0;0;0
1535I;2015-01-05;13.9;16:10;3.9;08:20;8.9;;;0;15:40;0;0;0;0;0
1535I;2015-01-06;12.5;16:20;4.7;23:59;8.6;;;5;12:50;0;0;0;0;0
1535I;2015-01-07;10.4;16:10;-1.2;08:00;4.6;;;0;12:40;0;0;0;0;0
1535I;2015-01-08;9.2;17:00;-0.8;10:10;4.2;;;7;13:20;;0;0.2;;0
