Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
2150H;2013-05-07;12.3;15:10;5.5;05:20;8.9;55;03:30;19;08:00;0.2;0.2;0;0;0
2150H;2013-05-08;13.4;14:10;7.6;00:50;10.5;67;13:30;24;09:50;0;0;0;0;0
2150H;2013-05-09;10.9;14:40;6.5;23:30;8.7;64;09:10;41;09:10;19.2;0;0;11.4;7.8
2150H;2013-05-10;12.3;18:50;4.7;07:40;8.5;30;02:00;17;19:40;2.8;2.4;0.4;0;0
2150H;2013-05-11;11.9;17:10;3.8;07:50;7.8;41;16:40;16;17:00;0;0;0;0;0
2150H;2013-05-12;13.5;16:40;3.0;05:40;8.3;30;17:40;16;16:50;0;0;0;0;0
2150H;2013-05-13;16.2;19:00;6.0;06:40;11.1;34;15:30;19;06:40;0;0;0;0;0
2150H;2013-05-14;13.3;18:00;6.0;23:10;9.7;64;22:50;34;06:20;8;0;0;1.2;6.8
2150H;2013-05-15;;;;;;;;;;;0;0.8;;
2150H;2013-05-16;;;;;;;;;;;;;;
2150H;2013-05-17;;;;;;;;;;;;;;
2150H;2013-05-18;;;;;;;;;;;;;;
2150H;2013-05-19;;;;;;;;;;;;;;
2150H;2013-05-20;;;;;;;;;;;;;;2
2150H;2013-05-21;3.5;14:20;-0.6;06:30;1.4;34;15:10;24;00:40;0;0;0;0;0
2150H;2013-05-22;8.9;16:40;1.0;04:40;4.9;56;18:30;33;19:20;0;0;0;0;0
2150H;2013-05-23;8.7;16:10;-0.9;07:40;3.9;44;16:30;24;18:40;0;0;0;0;0
2150H;2013-05-24;9.1;16:40;0.9;06:50;5;44;18:30;21;18:00;0;0;0;0;0
2150H;2013-05-25;11.3;16:40;2.3;04:40;6.8;35;00:20;16;17:20;0;0;0;0;0
2150H;2013-05-26;13.0;13:00;4.6;01:00;8.8;78;17:30;41;20:50;13.4;0;0;1.2;12.2
2150H;2013-05-27;;;;;;;;;;;0.8;0.6;20.2;
2150H;2013-05-28;;;;;;;;;;;;;;
2150H;2013-05-29;;;;;;;;;;;;;0;4.4
2150H;2013-05-30;5.1;20:50;-2.1;07:10;1.5;48;18:10;32;18:20;0.4;0.4;0;0;0
2150H;2013-05-31;5.1;16:40;-0.9;06:40;2.1;67;16:10;45;15:50;0;0;0;0;0
2150H;2013-06-01;11.3;17:20;-0.1;06:30;5.6;43;19:50;28;20:30;0;0;0;0;0
2150H;2013-06-02;13.5;16:40;1.6;05:30;7.6;42;17:00;24;18:10;0;0;0;0;0
2150H;2013-06-03;15.4;17:20;4.0;07:20;9.7;32;15:00;16;14:50;0;0;0;0;0
2150H;2013-06-04;17.5;17:00;7.5;02:00;12.5;44;14:50;18;16:10;0;0;0;0;0
2150H;2013-06-05;18.9;17:00;9.5;06:40;14.2;70;17:40;40;18:10;0;0;0;0;0
2150H;2013-06-06;14.9;13:20;7.8;07:10;11.3;82;16:10;45;05:50;0;0;0;0;0
2150H;2013-06-07;9.3;00:30;3.1;23:00;6.2;83;13:30;28;13:30;8;0;0;4.2;3.8
2150H;2013-06-08;5.9;18:20;1.4;07:40;3.7;51;23:59;18;23:59;7.6;1.2;1.2;5.2;0
2150H;2013-06-09;7.1;20:30;3.8;05:00;5.4;64;06:00;22;10:10;12.2;1;5;2;4.2
2150H;2013-06-10;13.3;19:00;6.0;08:10;9.7;41;02:50;16;02:50;2;1.4;0.4;0.2;0
2150H;2013-06-11;15.8;18:20;7.5;02:20;11.7;34;06:00;17;04:10;0;0;0;0;0
2150H;2013-06-12;21.8;18:10;9.8;04:40;15.8;32;17:10;17;06:40;0;0;0;0;0
2150H;2013-06-13;19.7;12:00;12.6;06:50;16.2;36;11:00;21;11:20;7.2;0;0;6.8;0.4
2150H;2013-06-14;21.4;17:20;12.7;00:10;17;47;03:40;27;04:50;0;0;0;0;0
2150H;2013-06-15;22.7;18:30;10.6;05:40;16.7;34;09:10;22;09:10;0;0;0;0;0
2150H;2013-06-16;22.6;17:10;13.6;04:20;18.1;66;11:00;40;11:50;0;0;0;0;0
2150H;2013-06-17;17.7;00:40;5.4;23:50;11.6;64;08:30;25;05:00;0;0;0;0;0
2150H;2013-06-18;11.3;16:20;2.0;05:20;6.7;42;15:50;18;14:00;14.4;0;0;0;14.4
2150H;2013-06-19;4.0;16:00;1.4;09:10;2.7;33;18:30;16;07:10;9;2;3.6;1.4;2
2150H;2013-06-20;14.1;19:10;3.3;00:10;8.7;39;18:40;16;15:30;0;0;0;0;0
2150H;2013-06-21;15.0;18:10;7.0;07:20;11;37;18:10;19;18:10;0.4;0.4;0;0;0
2150H;2013-06-22;18.8;17:50;7.8;05:20;13.3;38;14:10;19;19:10;0;0;0;0;0
2150H;2013-06-23;17.3;16:10;7.7;23:50;12.5;43;03:10;23;19:40;0;0;0;0;0
2150H;2013-06-24;19.6;16:20;6.4;01:10;13;26;15:50;15;18:00;0;0;0;0;0
2150H;2013-06-25;20.7;16:00;8.9;06:30;14.8;32;16:20;18;18:10;0;0;0;0;0
2150H;2013-06-26;20.1;17:10;9.5;05:50;14.8;40;21:20;29;21:40;0;0;0;0;0
2150H;2013-06-27;20.4;16:20;12.2;07:10;16.3;54;02:20;42;02:20;0;0;0;0;0
2150H;2013-06-28;19.9;15:20;9.9;04:40;14.9;42;15:40;28;06:40;0;0;0;0;0
2150H;2013-06-29;22.1;17:10;10.7;04:40;16.4;48;08:30;33;08:30;0;0;0;0;0
2150H;2013-06-30;23.1;18:00;11.9;06:30;17.5;35;17:50;25;00:10;0;0;0;0;0
2150H;2013-07-01;22.4;15:00;13.6;23:00;18;64;18:00;37;04:50;1.4;0;0;0.4;1
2150H;2013-07-02;22.2;19:00;12.2;06:00;17.2;62;05:40;45;02:00;0;0;0;0;0
2150H;2013-07-03;22.0;17:10;13.2;07:00;17.6;37;14:00;19;19:50;0;0;0;0;0
2150H;2013-07-04;24.6;18:20;13.4;05:50;19;48;23:00;39;23:50;0;0;0;0;0
2150H;2013-07-05;27.1;18:40;16.2;06:50;21.7;50;04:30;36;06:10;0;0;0;0;0
2150H;2013-07-06;26.2;16:40;17.1;04:30;21.7;57;01:30;42;03:30;0;0;0;0;0
2150H;2013-07-07;26.2;17:30;17.1;07:40;21.7;51;03:10;40;02:50;0;0;0;0;0
2150H;2013-07-08;25.7;16:50;17.2;22:50;21.5;39;14:10;28;05:20;0;0;0;0;0
2150H;2013-07-09;26.1;15:40;16.7;00:40;21.4;45;16:00;35;05:00;0;0;0;0;0
2150H;2013-07-10;24.1;15:20;14.3;19:10;19.2;67;01:20;49;01:20;8.2;0;0;0;8.2
2150H;2013-07-11;23.1;17:20;14.3;05:10;18.7;73;04:50;45;05:30;2.8;0;0;2.8;0
2150H;2013-07-12;24.6;16:30;15.3;04:00;20;57;03:30;41;03:50;0;0;0;0;0
2150H;2013-07-13;23.4;16:20;12.7;23:40;18;49;19:10;22;19:10;0;0;0;0;0
2150H;2013-07-14;22.7;18:40;11.4;00:50;17.1;53;02:50;33;21:30;0;0;0;0;0
2150H;2013-07-15;21.3;16:10;13.9;05:20;17.6;53;04:20;37;05:20;0;0;0;0;0
2150H;2013-07-16;22.7;17:20;12.6;07:10;17.7;39;14:10;29;14:20;0.2;0;0;0.2;0
2150H;2013-07-17;21.7;15:40;13.4;04:40;17.6;65;20:30;47;20:30;1.4;0;0;0;1.4
2150H;2013-07-18;22.1;16:20;12.8;07:10;17.5;35;23:59;23;23:50;0;0;0;0;0
2150H;2013-07-19;23.7;16:30;15.4;04:00;19.6;48;17:20;27;04:40;0;0;0;0;0
2150H;2013-07-20;22.4;10:30;15.0;23:59;18.7;64;23:50;35;23:50;0.4;0;0;0;0.4
2150H;2013-07-21;21.4;14:40;12.6;20:00;17;78;19:50;52;07:10;3.8;0.2;0.4;3.2;0
2150H;2013-07-22;23.2;16:10;13.8;04:50;18.5;50;04:50;38;05:00;0;0;0;0;0
2150H;2013-07-23;23.5;17:40;14.1;05:10;18.8;58;16:20;23;14:20;0;0;0;0;0
2150H;2013-07-24;24.1;15:30;12.8;03:50;18.5;33;22:30;21;23:20;0;0;0;0;0
2150H;2013-07-25;24.2;16:30;14.9;05:00;19.6;59;12:30;26;14:20;0;0;0;0;0
2150H;2013-07-26;22.9;18:10;15.5;02:00;19.2;76;14:20;25;15:10;0;0;0;0;0
2150H;2013-07-27;18.0;00:10;9.8;15:40;13.9;83;14:40;35;14:40;1.8;0;0.4;1.4;0
2150H;2013-07-28;14.2;14:20;7.3;06:30;10.8;52;20:50;19;08:50;0.4;0;0;0;0.4
2150H;2013-07-29;18.9;17:10;6.8;07:30;12.8;31;05:00;14;17:40;0;0;0;0;0
2150H;2013-07-30;24.1;16:50;11.0;01:30;17.6;36;23:20;22;23:40;0;0;0;0;0
2150H;2013-07-31;25.9;18:30;16.1;07:00;21;59;09:10;41;07:20;0;0;0;0;0
2150H;2013-08-01;26.4;18:30;17.7;05:20;22.1;71;02:50;38;04:40;0;0;0;0;0
2150H;2013-08-02;23.7;16:20;14.3;23:50;19;85;10:40;32;07:30;0;0;0;0;0
2150H;2013-08-03;24.5;17:10;10.2;05:00;17.3;58;08:30;32;08:30;0;0;0;0;0
2150H;2013-08-04;25.5;15:40;11.1;05:30;18.3;38;22:00;27;21:50;0;0;0;0;0
2150H;2013-08-05;24.7;18:10;16.4;23:20;20.6;53;06:20;27;07:00;0;0;0;0;0
2150H;2013-08-06;20.6;12:30;12.9;23:59;16.8;49;12:30;27;10:20;0;0;0;0;0
2150H;2013-08-07;17.5;17:10;8.7;07:50;13.1;59;17:30;20;19:10;0.4;0.4;0;0;0
2150H;2013-08-08;17.0;19:30;6.9;07:30;12;35;16:00;17;14:30;0;0;0;0;0
2150H;2013-08-09;22.7;18:00;9.8;04:10;16.3;24;12:00;12;11:40;0;0;0;0;0
2150H;2013-08-10;24.7;18:20;13.4;07:00;19.1;31;15:40;15;14:20;0;0;0;0;0
2150H;2013-08-11;27.1;15:40;16.8;03:40;21.9;36;14:40;26;06:50;0;0;0;0;0
2150H;2013-08-12;25.2;13:10;14.7;22:40;20;58;22:20;41;22:40;0.2;0;0;0;0.2
2150H;2013-08-13;23.2;19:20;15.7;07:20;19.5;45;01:20;36;01:20;0;0;0;0;0
2150H;2013-08-14;25.4;17:10;15.8;04:50;20.6;49;02:30;35;03:50;0;0;0;0;0
2150H;2013-08-15;;;;;;;;;;;;;;
2150H;2013-08-16;;;;;;;;;;;;;0;0
2150H;2013-08-17;22.8;16:40;13.8;06:40;18.3;33;17:20;26;00:10;0;0;0;0;0
2150H;2013-08-18;24.6;16:30;14.3;01:40;19.5;34;16:00;15;16:00;0;0;0;0;0
2150H;2013-08-19;25.3;16:10;15.2;22:50;20.2;39;15:40;18;15:50;0;0;0;0;0
2150H;2013-08-20;25.1;16:40;14.5;09:00;19.8;41;17:20;18;17:40;0;0;0;0;0
2150H;2013-08-21;27.7;16:30;17.3;07:00;22.5;45;15:10;17;14:30;0;0;0;0;0
2150H;2013-08-22;24.9;17:10;16.3;04:30;20.6;48;15:30;20;18:00;0;0;0;0;0
2150H;2013-08-23;24.9;15:30;13.6;04:00;19.3;25;17:20;15;05:50;0;0;0;0;0
2150H;2013-08-24;22.3;17:10;12.6;23:59;17.4;33;18:20;19;18:20;0;0;0;0;0
2150H;2013-08-25;19.6;16:10;9.7;07:10;14.7;36;17:40;15;17:40;0;0;0;0;0
2150H;2013-08-26;19.3;16:40;9.8;00:50;14.5;30;16:20;23;23:50;0;0;0;0;0
2150H;2013-08-27;19.2;16:40;10.3;07:20;14.8;44;17:40;31;01:30;0;0;0;0;0
2150H;2013-08-28;17.9;16:50;9.6;06:20;13.8;56;18:10;38;23:10;0;0;0;0;0
2150H;2013-08-29;16.9;16:30;8.4;05:40;12.6;47;23:20;28;02:40;0;0;0;0;0
2150H;2013-08-30;18.7;15:50;7.8;06:20;13.3;40;00:50;31;01:00;0;0;0;0;0
2150H;2013-08-31;19.8;17:20;8.6;07:30;14.2;31;16:40;16;15:00;0;0;0;0;0
2150H;2013-09-01;22.5;16:40;10.9;06:40;16.7;39;18:00;28;22:20;0;0;0;0;0
2150H;2013-09-02;22.2;18:00;11.5;07:30;16.9;33;16:20;21;03:50;0;0;0;0;0
2150H;2013-09-03;23.0;16:20;13.4;01:10;18.2;38;16:30;23;04:00;0;0;0;0;0
2150H;2013-09-04;23.8;16:30;13.6;08:00;18.7;56;04:10;40;04:10;0;0;0;0;0
2150H;2013-09-05;17.8;10:40;9.8;21:30;13.8;67;02:20;48;03:00;0.2;0;0;0.2;0
2150H;2013-09-06;;;;;;;;;;;;;;
2150H;2013-09-07;;;;;;;;;;;;;0.8;
2150H;2013-09-08;;;;;;;;;;;;;0;
2150H;2013-09-09;;;;;;;;;;;;;0;
2150H;2013-09-10;;;;;;;;;;;;;0.2;
2150H;2013-09-11;;;;;;;;;;;;;0;0
2150H;2013-09-12;17.7;17:00;5.7;04:20;11.7;25;15:40;12;02:20;0;0;0;0;0
2150H;2013-09-13;19.1;16:40;10.1;01:00;14.6;32;14:20;14;15:40;0;0;0;0;0
2150H;2013-09-14;20.2;17:10;10.6;05:50;15.4;36;18:00;17;15:10;0;0;0;0;0
2150H;2013-09-15;18.0;17:30;9.9;21:10;13.9;32;02:40;14;05:40;0;0;0;0;0
2150H;2013-09-16;18.4;17:40;8.4;07:30;13.4;41;16:10;18;13:20;0;0;0;0;0
2150H;2013-09-17;16.5;17:10;9.2;09:30;12.8;30;15:50;13;12:10;0;0;0;0;0
2150H;2013-09-18;17.1;17:00;8.7;07:40;12.9;37;16:40;21;19:40;0;0;0;0;0
2150H;2013-09-19;16.3;16:40;7.0;07:50;11.6;32;17:30;18;19:10;0;0;0;0;0
2150H;2013-09-20;18.3;17:30;8.9;08:00;13.6;28;15:10;14;14:40;0;0;0;0;0
2150H;2013-09-21;20.1;16:30;10.9;05:00;15.5;30;17:20;21;23:59;0;0;0;0;0
2150H;2013-09-22;21.5;15:50;12.1;06:50;16.8;29;16:10;23;00:50;0;0;0;0;0
