Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
2311Y;2013-05-07;18.3;15:30;10.0;05:00;14.1;38;17:10;19;06:00;0;0;0;0;0
2311Y;2013-05-08;16.8;19:20;11.5;23:59;14.1;28;00:20;19;00:20;0;0;0;0;0
2311Y;2013-05-09;13.7;13:20;8.8;02:50;11.3;36;16:50;23;17:00;7;0;3.2;3.8;0
2311Y;2013-05-10;15.4;17:40;6.3;07:30;10.8;30;10:10;19;10:20;0.2;0;0.2;0;0
2311Y;2013-05-11;15.1;16:30;5.5;04:40;10.3;42;15:50;23;15:50;0;0;0;0;0
2311Y;2013-05-12;16.3;17:10;4.9;06:40;10.6;39;00:10;26;18:10;0;0;0;0;0
2311Y;2013-05-13;21.5;18:00;2.6;07:30;12;27;00:10;18;00:20;0;0;0;0;0
2311Y;2013-05-14;21.8;15:30;5.9;07:20;13.8;37;17:00;21;19:40;0;0;0;0;0
2311Y;2013-05-15;10.8;17:10;2.9;07:40;6.9;47;05:40;32;06:40;7.8;0;7.2;0.6;0
2311Y;2013-05-16;11.0;16:30;0.3;05:30;5.7;38;17:30;23;20:30;2.2;0;0;0;2.2
2311Y;2013-05-17;9.4;15:50;2.9;05:40;6.1;40;14:30;27;14:30;10.4;4;3.6;1;1.8
2311Y;2013-05-18;11.5;14:50;4.0;00:00;7.8;41;16:10;23;16:10;4.2;0;0.2;0;4
2311Y;2013-05-19;;;;;;;;;;;3;2.6;;
2311Y;2013-05-20;12.2;16:30;3.7;07:10;7.9;35;18:20;21;10:40;0.4;0.4;0;0;0
2311Y;2013-05-21;12.2;18:20;2.2;07:20;7.2;33;20:30;22;20:30;0;0;0;0;0
2311Y;2013-05-22;15.0;16:00;6.4;01:50;10.7;47;19:10;34;19:40;0;0;0;0;0
2311Y;2013-05-23;14.1;16:50;5.9;01:10;10;47;15:10;30;19:00;0;0;0;0;0
2311Y;2013-05-24;14.9;18:30;3.8;07:00;9.3;50;09:00;31;09:00;0;0;0;0;0
2311Y;2013-05-25;14.4;17:40;3.2;04:50;8.8;44;09:50;27;09:50;0;0;0;0;0
2311Y;2013-05-26;21.1;16:00;1.8;05:40;11.5;48;17:20;34;17:10;0.2;0;0;0;0.2
2311Y;2013-05-27;17.0;19:30;9.0;09:30;13;32;00:20;17;00:20;3.2;2.8;0.2;0.2;0
2311Y;2013-05-28;13.3;14:30;5.2;23:50;9.3;43;15:40;28;15:40;0;0;0;0;0
2311Y;2013-05-29;13.9;19:00;1.1;07:00;7.5;44;22:00;30;22:00;0;0;0;0;0
2311Y;2013-05-30;15.5;14:40;0.7;05:50;8.1;45;20:30;29;18:30;0;0;0;0;0
2311Y;2013-05-31;13.8;13:30;3.9;04:50;8.9;52;12:30;34;15:20;0;0;0;0;0
2311Y;2013-06-01;;;;;;;;;;;0;0;;0
2311Y;2013-06-02;14.0;16:00;7.7;23:59;10.8;54;15:30;34;14:00;0;0;0;0;0
2311Y;2013-06-03;17.0;16:20;4.8;05:50;10.9;57;12:10;30;15:20;0;0;0;0;0
2311Y;2013-06-04;22.8;18:10;5.0;06:40;13.9;27;01:10;17;01:10;0;0;0;0;0
2311Y;2013-06-05;25.8;18:30;6.4;05:10;16.1;28;23:59;13;23:59;0;0;0;0;0
2311Y;2013-06-06;21.9;13:30;13.1;23:59;17.5;42;16:10;30;16:00;2.4;0;0;2;0.4
2311Y;2013-06-07;15.5;15:40;7.8;23:59;11.7;37;16:00;22;15:30;17.6;0;0;8;9.6
2311Y;2013-06-08;14.3;16:30;7.5;00:40;10.9;32;16:40;16;17:00;5;0.4;1;1.4;2.2
2311Y;2013-06-09;17.5;17:00;9.2;05:40;13.3;25;08:30;14;04:30;;;3;0.2;0
2311Y;2013-06-10;18.4;18:40;7.8;06:30;13.1;24;09:30;17;09:30;0;0;0;0;0
2311Y;2013-06-11;21.8;17:50;12.0;07:20;16.9;29;16:00;17;15:40;0;0;0;0;0
2311Y;2013-06-12;27.0;19:00;11.4;05:30;19.2;28;14:00;13;13:50;0;0;0;0;0
2311Y;2013-06-13;21.7;10:50;12.1;23:59;16.9;49;17:40;32;17:00;0;0;0;0;0
2311Y;2013-06-14;26.7;18:20;9.8;07:10;18.3;26;14:40;16;16:40;0;0;0;0;0
2311Y;2013-06-15;27.7;18:30;9.8;07:00;18.8;21;17:50;10;17:00;0;0;0;0;0
2311Y;2013-06-16;30.1;19:30;12.1;05:50;21.1;34;15:00;21;16:00;0;0;0;0;0
2311Y;2013-06-17;19.7;00:00;11.5;23:59;15.6;37;15:50;23;13:10;1;0;0;1;0
2311Y;2013-06-18;16.2;12:10;6.5;06:50;11.4;66;15:10;35;18:30;1.6;0;0;0;1.6
2311Y;2013-06-19;11.4;18:30;6.7;06:50;9;34;00:10;21;00:30;15.6;7.4;3.2;4.8;0.2
2311Y;2013-06-20;19.7;19:10;9.3;08:10;14.5;27;17:40;14;16:30;1;0.2;0;0;0.8
2311Y;2013-06-21;20.0;16:30;10.9;23:59;15.4;36;21:00;22;20:40;0.2;0.2;0;0;0
2311Y;2013-06-22;24.5;19:20;7.6;07:00;16;19;17:20;11;01:10;0;0;0;0;0
2311Y;2013-06-23;18.1;17:20;9.0;23:59;13.6;50;09:20;31;09:20;0;0;0;0;0
2311Y;2013-06-24;20.5;16:40;6.2;06:30;13.3;47;20:20;27;17:40;0;0;0;0;0
2311Y;2013-06-25;21.2;15:30;6.7;04:50;14;52;19:00;32;20:00;0;0;0;0;0
2311Y;2013-06-26;21.8;16:30;6.9;06:40;14.3;47;20:50;31;20:50;0;0;0;0;0
2311Y;2013-06-27;20.1;16:40;8.7;05:30;14.4;57;18:50;37;18:50;0;0;0;0;0
2311Y;2013-06-28;22.2;16:10;7.7;06:50;15;50;17:00;31;18:20;0;0;0;0;0
2311Y;2013-06-29;24.8;16:00;9.3;06:00;17;50;19:40;32;20:00;0;0;0;0;0
2311Y;2013-06-30;27.2;16:00;10.5;07:20;18.9;41;20:30;24;20:00;0;0;0;0;0
2311Y;2013-07-01;27.4;16:00;12.3;06:20;19.8;33;17:10;22;17:20;0;0;0;0;0
2311Y;2013-07-02;28.7;18:00;14.0;03:40;21.4;36;11:10;17;11:20;0;0;0;0;0
2311Y;2013-07-03;27.3;16:40;14.0;07:40;20.6;35;22:30;21;20:30;0;0;0;0;0
2311Y;2013-07-04;27.7;16:20;14.7;07:20;21.2;49;16:40;30;16:40;0;0;0;0;0
2311Y;2013-07-05;30.3;16:40;13.1;07:20;21.7;39;20:40;24;18:50;0;0;0;0;0
2311Y;2013-07-06;30.9;17:00;16.0;07:20;23.4;40;18:10;24;19:40;0;0;0;0;0
2311Y;2013-07-07;30.1;17:00;15.7;07:20;22.9;39;19:10;25;18:00;0;0;0;0;0
2311Y;2013-07-08;30.3;17:10;13.7;06:10;22;34;19:10;19;19:40;0;0;0;0;0
2311Y;2013-07-09;31.7;16:40;16.0;07:10;23.9;33;18:30;23;19:10;0;0;0;0;0
2311Y;2013-07-10;30.3;16:30;17.1;07:20;23.7;37;21:10;23;20:20;0;0;0;0;0
2311Y;2013-07-11;29.9;17:30;16.3;06:50;23.1;45;21:10;27;21:40;0;0;0;0;0
2311Y;2013-07-12;32.3;16:20;16.9;06:30;24.6;71;19:10;44;18:40;1.4;0;0;0;1.4
2311Y;2013-07-13;29.6;15:10;16.0;23:40;22.8;54;21:00;29;22:10;3.6;3.6;0;0;0
2311Y;2013-07-14;27.3;16:50;15.7;05:30;21.5;48;15:50;28;15:50;0;0;0;0;0
2311Y;2013-07-15;27.2;16:20;13.6;06:30;20.4;53;17:00;35;17:00;1.8;0;0;0;1.8
2311Y;2013-07-16;28.2;16:40;15.4;05:50;21.8;74;17:50;44;17:50;0;0;0;0;0
2311Y;2013-07-17;26.5;16:50;15.3;06:00;20.9;40;20:40;25;20:30;0;0;0;0;0
2311Y;2013-07-18;28.1;18:30;12.4;07:30;20.3;32;19:40;17;20:50;0;0;0;0;0
2311Y;2013-07-19;30.9;15:30;14.3;07:40;22.6;33;21:20;19;21:20;0;0;0;0;0
2311Y;2013-07-20;32.5;16:50;17.5;03:00;25;57;21:00;38;20:50;0.2;0;0;0;0.2
2311Y;2013-07-21;29.9;18:00;18.6;22:30;24.3;52;19:20;31;19:20;0.8;0;0;0;0.8
2311Y;2013-07-22;31.7;16:50;15.5;07:20;23.6;39;19:50;23;19:50;0.2;0;0;0;0.2
2311Y;2013-07-23;30.3;17:20;14.7;06:40;22.5;38;21:20;22;21:30;0;0;0;0;0
2311Y;2013-07-24;31.5;18:10;13.0;07:00;22.3;37;16:40;21;16:40;0;0;0;0;0
2311Y;2013-07-25;32.2;17:30;14.6;05:20;23.4;48;15:10;21;13:20;0;0;0;0;0
2311Y;2013-07-26;;;;;;;;;;;0;0;0;
2311Y;2013-07-27;21.6;19:50;15.3;10:40;18.5;36;16:30;21;16:50;0.6;0;0.4;0.2;0
2311Y;2013-07-28;23.1;17:50;10.9;06:40;17;68;19:40;39;19:50;3.2;0;0;0;3.2
2311Y;2013-07-29;25.3;18:00;9.2;07:10;17.2;30;15:40;15;15:20;0.2;0.2;0;0;0
2311Y;2013-07-30;31.1;16:40;9.6;07:10;20.4;23;15:00;14;23:30;0;0;0;0;0
2311Y;2013-07-31;35.1;17:20;19.9;02:50;27.5;33;13:20;20;11:10;0;0;0;0;0
2311Y;2013-08-01;35.1;17:30;19.5;05:40;27.3;42;18:50;26;18:30;0;0;0;0;0
2311Y;2013-08-02;29.3;16:00;17.2;07:20;23.3;42;15:10;23;15:30;0;0;0;0;0
2311Y;2013-08-03;29.0;18:10;8.1;07:20;18.6;41;20:10;26;20:10;0;0;0;0;0
2311Y;2013-08-04;31.2;17:50;12.6;07:30;21.9;31;02:00;19;01:50;0;0;0;0;0
2311Y;2013-08-05;30.7;16:50;12.7;07:00;21.7;41;21:40;24;21:30;0;0;0;0;0
2311Y;2013-08-06;25.1;14:40;13.8;06:50;19.5;29;01:10;18;00:30;0;0;0;0;0
2311Y;2013-08-07;22.5;14:10;11.4;07:50;16.9;51;18:50;23;19:00;6;0;0;0;6
2311Y;2013-08-08;22.4;17:20;7.9;07:30;15.1;38;15:30;23;17:30;0;0;0;0;0
2311Y;2013-08-09;27.5;16:40;7.4;07:40;17.5;37;17:10;21;17:10;0;0;0;0;0
2311Y;2013-08-10;;;;;;;;;;;0;;;
2311Y;2013-08-11;34.1;16:40;10.7;07:50;22.4;32;19:50;20;19:50;0;0;0;0;0
2311Y;2013-08-12;28.9;15:50;16.4;06:50;22.6;55;14:30;28;14:30;0.8;0;0.6;0;0.2
