Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
2766E;2013-05-07;15.6;15:10;9.8;03:50;12.7;;;;;1.8;0.4;0.6;0.8;0
2766E;2013-05-08;20.0;19:00;8.8;07:20;14.4;;;;;2;0.4;1.4;0.2;0
2766E;2013-05-09;15.8;18:10;6.5;23:59;11.2;;;;;6.8;0;6.6;0.2;0
2766E;2013-05-10;19.7;17:30;-0.3;06:10;9.7;;;;;0;0;0;0;0
2766E;2013-05-11;20.4;18:40;-2.4;07:50;9;;;;;0;0;0;0;0
2766E;2013-05-12;20.9;18:10;-1.0;07:50;9.9;;;;;0;0;0;0;0
2766E;2013-05-13;22.6;16:50;0.0;07:30;11.3;;;;;0;0;0;0;0
2766E;2013-05-14;20.9;15:30;2.3;07:40;11.6;;;;;0;0;0;0;0
2766E;2013-05-15;14.5;17:50;2.3;23:40;8.4;;;;;0.2;0;0;0;0.2
2766E;2013-05-16;10.4;13:40;-0.2;05:50;5.1;;;;;0.4;0;0;0;0.4
2766E;2013-05-17;9.5;19:10;1.1;07:00;5.3;;;;;1;0.2;0;0.8;0
2766E;2013-05-18;9.3;17:30;-0.6;03:00;4.4;;;;;0;0;0;0;0
2766E;2013-05-19;;;;;;;;;;;0;0;;
2766E;2013-05-20;13.7;18:00;0.0;01:00;6.8;;;;;0;0;0;0;0
2766E;2013-05-21;17.3;15:10;-1.6;07:10;7.8;;;;;0;0;0;0;0
2766E;2013-05-22;23.5;18:00;-0.3;07:40;11.6;;;;;0;0;0;0;0
2766E;2013-05-23;22.7;18:20;-0.3;06:50;11.2;;;;;0;0;0;0;0
2766E;2013-05-24;22.3;17:10;-1.4;07:40;10.4;;;;;0;0;0;0;0
2766E;2013-05-25;22.8;18:00;-1.5;07:10;10.6;;;;;0;0;0;0;0
2766E;2013-05-26;19.5;14:40;0.0;07:40;9.8;;;;;0;0;0;0;0
2766E;2013-05-27;18.0;16:00;-0.4;04:30;8.8;;;;;0;0;0;0;0
2766E;2013-05-28;12.6;16:50;3.8;07:20;8.2;;;;;0.4;0.4;0;0;0
2766E;2013-05-29;12.7;16:40;4.6;02:40;8.6;;;;;1;0;0;0.2;0.8
2766E;2013-05-30;17.8;15:50;-0.8;06:40;8.5;;;;;0;0;0;0;0
2766E;2013-05-31;21.0;17:10;1.8;04:20;11.4;;;;;0;0;0;0;0
2766E;2013-06-01;22.7;18:20;-1.6;07:00;10.6;;;;;0;0;0;0;0
2766E;2013-06-02;22.5;18:40;1.3;07:40;11.9;;;;;0;0;0;0;0
2766E;2013-06-03;22.6;17:30;0.7;07:30;11.7;;;;;0;0;0;0;0
2766E;2013-06-04;24.7;17:00;0.0;07:30;12.4;;;;;0;0;0;0;0
2766E;2013-06-05;25.8;17:30;2.8;07:30;14.3;;;;;0;0;0;0;0
2766E;2013-06-06;21.6;16:50;6.5;06:10;14.1;;;;;0.6;0;0.6;0;0
2766E;2013-06-07;18.1;17:10;3.7;07:40;10.9;;;;;0;0;0;0;0
2766E;2013-06-08;14.6;15:50;0.9;06:10;7.8;;;;;0;0;0;0;0
2766E;2013-06-09;23.4;17:20;7.1;07:10;15.2;;;;;0;0;0;0;0
2766E;2013-06-10;20.4;15:00;4.1;04:30;12.2;;;;;0;0;0;0;0
2766E;2013-06-11;23.5;16:10;10.3;05:40;16.9;;;;;0;0;0;0;0
2766E;2013-06-12;27.5;16:40;5.8;07:20;16.7;;;;;0;0;0;0;0
2766E;2013-06-13;25.3;19:00;7.7;04:30;16.5;;;;;0;0;0;0;0
2766E;2013-06-14;26.9;16:30;4.2;07:40;15.5;;;;;0;0;0;0;0
2766E;2013-06-15;28.0;18:10;2.3;07:30;15.1;;;;;0;0;0;0;0
2766E;2013-06-16;25.9;16:20;3.6;07:40;14.7;;;;;0;0;0;0;0
2766E;2013-06-17;15.1;01:10;8.2;22:50;11.7;;;;;3.2;2.8;0.4;0;0
2766E;2013-06-18;17.4;13:40;4.1;06:00;10.7;;;;;0.4;0;0;0;0.4
2766E;2013-06-19;19.7;17:40;2.5;07:30;11.1;;;;;0;0;0;0;0
2766E;2013-06-20;22.4;16:10;0.0;07:30;11.2;;;;;0;0;0;0;0
2766E;2013-06-21;24.1;18:00;5.4;07:40;14.8;;;;;0;0;0;0;0
2766E;2013-06-22;26.2;17:50;2.6;07:20;14.4;;;;;0;0;0;0;0
2766E;2013-06-23;27.7;19:20;2.1;07:40;14.9;;;;;0;0;0;0;0
2766E;2013-06-24;26.6;17:50;1.4;06:20;14;;;;;0;0;0;0;0
2766E;2013-06-25;27.7;18:20;1.9;07:10;14.8;;;;;0;0;0;0;0
2766E;2013-06-26;26.7;18:40;4.4;07:30;15.6;;;;;0;0;0;0;0
2766E;2013-06-27;27.4;18:30;2.3;07:40;14.8;;;;;0;0;0;0;0
2766E;2013-06-28;27.7;18:20;1.7;07:20;14.7;;;;;0;0;0;0;0
2766E;2013-06-29;29.5;18:40;4.6;07:40;17;;;;;0;0;0;0;0
2766E;2013-06-30;30.8;19:20;4.1;07:40;17.4;;;;;0;0;0;0;0
2766E;2013-07-01;29.0;15:10;8.1;07:30;18.6;;;;;0;0;0;0;0
