Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
2882D;2014-07-07;;;;;;;;;;;;0;0;0
2882D;2014-07-08;;;;;;;;;;;;0;0;0
2882D;2014-07-09;21.6;16:50;9.7;07:10;15.7;;;8;09:10;0;0;0;0;0
2882D;2014-07-10;22.6;17:20;7.8;07:10;15.2;;;9;09:30;0;0;0;0;0
2882D;2014-07-11;25.4;19:10;7.6;07:10;16.5;;;7;10:10;0;0;0;0;0
2882D;2014-07-12;;;;;;;;;;;;0;0;0
2882D;2014-07-13;;;;;;;;;;;0;0;;
2882D;2014-07-14;;;;;;;;;;;;;;
2882D;2014-07-15;;;;;;;;;;;;;0;0
2882D;2014-07-16;;;;;;;;;;;0;0;;
2882D;2014-07-17;;;;;;;;;;;;0;0;0
2882D;2014-07-18;;;;;;;;;;;;0;0;
2882D;2014-07-19;;;;;;;;;;;;0;2.6;0
2882D;2014-07-20;;;;;;;;;;;;;;
2882D;2014-07-21;;;;;;;;;;;;0;0;0
2882D;2014-07-22;;;;;;;;;;;;0;;
2882D;2014-07-23;;;;;;;;;;;;0;;
2882D;2014-07-24;;;;;;;;;;;0;;0;0
2882D;2014-07-25;;;;;;;;;;;0;0;;
2882D;2014-07-26;;;;;;;;;;;;0;;
2882D;2014-07-27;;;;;;;;;;;0;0;0;
2882D;2014-07-28;;;;;;;;;;;;;;
2882D;2014-07-29;;;;;;;;;;;;0;0;
2882D;2014-07-30;;;;;;;;;;;;;;0
2882D;2014-11-04;;;;;;;;;;;;0;;
2882D;2014-11-05;;;;;;;;;;;;0;0;
2882D;2014-11-06;;;;;;;;;;;;0;0;0.2
2882D;2014-11-07;;;;;;;;;;;0.6;0.8;;
2882D;2014-11-08;;;;;;;;;;;;;4.4;0
2882D;2014-11-09;;;;;;;;;;;;0.2;;
2882D;2014-11-10;;;;;;;;;;;;0;0.2;
2882D;2014-11-11;;;;;;;;;;;;2.2;;0.2
2882D;2014-11-12;11.4;15:30;6.4;00:00;8.9;;;11;09:40;2.2;2;0;0.2;0
2882D;2014-11-13;14.5;14:10;7.8;00:40;11.2;;;17;16:00;4;0.2;0;0.6;3.2
2882D;2014-11-14;11.4;00:00;3.9;20:40;7.6;;;13;00:10;2;1;0.2;0.6;0.2
2882D;2014-11-15;6.6;12:30;3.4;04:50;5;;;15;11:40;3.4;0;0.2;3;0.2
2882D;2014-11-16;8.2;14:30;4.4;00:40;6.3;;;13;18:30;0.4;0.2;0;0;0.2
2882D;2014-11-17;;;;;;;;;;;;0.6;0;0
2882D;2014-11-18;;;;;;;;;;;0;0;0;
2882D;2014-11-19;;;;;;;;;;;;2.8;8;0.2
2882D;2014-11-20;;;;;;;;;;;;0;0;
2882D;2014-11-21;;;;;;;;;;;;;;
2882D;2014-11-22;;;;;;;;;;;;;;
2882D;2014-11-23;;;;;;;;;;;;;;
2882D;2014-11-24;;;;;;;;;;;;;;
2882D;2014-11-25;;;;;;;;;;;;;;
2882D;2014-11-26;;;;;;;;;;;;0;0;
2882D;2014-11-27;;;;;;;;;;;;0;;
2882D;2014-11-28;;;;;;;;;;;;0.4;;
2882D;2014-11-29;;;;;;;;;;;;0;3.2;1.2
2882D;2014-11-30;;;;;;;;;;;2.4;13.4;;
2882D;2014-12-01;;;;;;;;;;;;0;0;0
2882D;2015-01-13;;;;;;;;;;;0;0;0;
2882D;2015-01-14;;;;;;;;;;;;0;0;0
2882D;2015-01-15;4.8;15:20;-0.9;23:59;2;;;19;16:20;;0;;1.8;2.8
2882D;2015-01-16;0.6;16:10;-4.0;09:10;-1.7;;;11;04:40;0.4;0.4;0;0;0
2882D;2015-01-17;;;;;;;;;;;0;0;0;
2882D;2015-01-18;1.7;16:20;-2.8;00:00;-0.5;;;11;02:00;6.2;0;1;1.4;3.8
2882D;2015-01-19;2.6;14:40;-5.2;08:50;-1.3;;;6;00:50;0.2;0;0.2;0;0
2882D;2015-01-20;;;;;;;;;;;0;;;0
