Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
2885K;2013-05-07;19.6;15:50;10.2;03:10;14.9;42;17:10;31;17:00;0;0;0;0;0
2885K;2013-05-08;17.1;18:40;9.8;23:59;13.5;28;16:10;19;12:20;0.6;0;0.4;0.2;0
2885K;2013-05-09;14.6;17:10;9.6;00:50;12.1;29;11:40;21;10:10;5.4;0;5;0.4;0
2885K;2013-05-10;19.8;17:00;6.5;03:10;13.1;22;19:10;15;20:20;0;0;0;0;0
2885K;2013-05-11;18.9;18:30;2.2;06:40;10.5;28;09:20;21;09:20;0;0;0;0;0
2885K;2013-05-12;19.2;17:40;3.4;07:20;11.3;39;12:10;26;09:30;0;0;0;0;0
2885K;2013-05-13;23.6;18:10;4.0;07:30;13.8;32;06:30;24;06:20;0;0;0;0;0
2885K;2013-05-14;22.1;17:40;5.3;04:40;13.7;55;20:10;36;18:30;0;0;0;0;0
2885K;2013-05-15;15.1;19:00;5.5;23:50;10.3;56;21:00;30;21:00;5.6;2.4;2.8;0;0.4
2885K;2013-05-16;11.0;15:30;1.0;06:50;6;51;18:00;33;18:00;0.6;0;0;0.2;0.4
2885K;2013-05-17;10.0;15:50;3.1;23:40;6.5;50;16:10;31;16:10;6.4;3.6;1.2;0.8;0.8
2885K;2013-05-18;11.4;16:50;2.2;07:10;6.8;54;17:50;40;18:00;0.4;0;0;0;0.4
2885K;2013-05-19;;;;;;;;;;;0;0;;
2885K;2013-05-20;14.8;18:00;2.0;04:50;8.4;32;12:50;20;14:30;0.2;0;0.2;0;0
2885K;2013-05-21;17.0;17:30;2.5;06:40;9.8;22;08:40;18;08:40;0;0;0;0;0
2885K;2013-05-22;23.1;20:30;1.8;05:30;12.5;28;23:59;18;23:59;0;0;0;0;0
2885K;2013-05-23;22.5;19:40;3.1;07:10;12.8;40;23:30;27;00:30;0;0;0;0;0
2885K;2013-05-24;22.0;18:50;3.5;06:20;12.8;34;04:10;25;00:20;0;0;0;0;0
2885K;2013-05-25;23.7;20:40;3.6;07:30;13.7;32;12:00;19;02:40;0;0;0;0;0
2885K;2013-05-26;19.4;18:30;3.9;07:00;11.6;38;17:30;27;18:50;0;0;0;0;0
2885K;2013-05-27;17.0;18:10;1.5;06:30;9.3;41;16:40;27;17:00;0;0;0;0;0
2885K;2013-05-28;15.5;16:00;5.8;23:59;10.7;45;16:30;28;02:40;0;0;0;0;0
2885K;2013-05-29;12.9;15:10;3.3;06:40;8.1;58;16:10;39;14:00;2.4;0;0;0.2;2.2
2885K;2013-05-30;20.0;19:20;0.2;06:00;10.1;39;19:50;17;19:50;0;0;0;0;0
2885K;2013-05-31;19.9;16:20;1.1;06:40;10.5;50;15:10;31;18:50;0;0;0;0;0
2885K;2013-06-01;20.5;19:30;0.7;05:40;10.6;36;16:10;22;17:30;0;0;0;0;0
2885K;2013-06-02;19.9;17:40;3.8;06:40;11.8;44;12:50;28;10:00;0;0;0;0;0
2885K;2013-06-03;23.5;18:50;3.8;06:40;13.6;39;00:10;26;00:10;0;0;0;0;0
2885K;2013-06-04;25.8;18:20;4.3;06:40;15;31;08:30;23;08:30;0;0;0;0;0
2885K;2013-06-05;27.5;17:20;6.7;06:50;17.1;43;19:40;27;19:40;0;0;0;0;0
2885K;2013-06-06;21.6;16:30;9.7;06:40;15.7;51;17:20;35;18:10;0.8;0;0.8;0;0
2885K;2013-06-07;16.7;17:40;8.4;07:20;12.6;58;20:10;33;20:10;2.8;0;1.2;0.4;1.2
2885K;2013-06-08;16.0;15:10;5.6;02:40;10.8;43;15:50;28;16:30;1.6;0;0;1.4;0.2
