Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
3272M;2016-12-13;11.4;16:30;1.5;08:10;6.4;19;12:10;11;12:20;0;0;0;0;0
3272M;2016-12-14;8.0;14:30;5.5;10:00;6.8;17;22:20;9;10:00;5.6;0;0;0.8;4.8
3272M;2016-12-15;7.7;13:40;6.1;01:10;6.9;19;01:00;9;03:20;2.7;0.8;1.5;0.3;0.1
3272M;2016-12-16;7.7;22:50;5.1;08:20;6.4;39;22:40;19;18:00;7.8;3;2.2;2.6;0
3272M;2016-12-17;11.2;13:30;6.8;00:10;9;59;10:20;24;12:20;0;0;0;0;0
3272M;2016-12-18;9.9;14:40;4.2;08:20;7;49;04:40;21;00:50;0;0;0;0;0
3272M;2016-12-19;12.3;16:00;0.8;06:00;6.6;36;00:10;15;00:10;0;0;0;0;0
3272M;2016-12-20;10.1;15:40;0.2;07:40;5.2;27;16:40;13;01:40;0;0;0;0;0
3272M;2016-12-21;14.1;15:20;1.8;00:10;8;26;10:50;13;10:10;0;0;0;0;0
3272M;2016-12-22;12.7;16:10;2.4;06:50;7.5;14;12:00;10;00:50;0;0;0;0;0
3272M;2016-12-23;13.1;15:10;2.3;09:00;7.7;15;14:10;7;15:20;0;0;0;0;0
3272M;2016-12-24;13.3;16:00;2.3;09:00;7.8;24;11:50;13;13:40;0;0;0;0;0
3272M;2016-12-25;14.3;16:30;1.2;08:30;7.8;13;12:50;8;19:20;0;0;0;0;0
3272M;2016-12-26;17.6;14:40;1.7;07:10;9.7;10;15:30;8;08:00;0;0;0;0;0
3272M;2016-12-27;16.0;15:40;3.6;07:30;9.8;18;15:00;10;12:20;0;0;0;0;0
3272M;2016-12-28;15.9;16:20;3.5;23:00;9.7;15;13:00;9;13:00;0;0;0;0;0
3272M;2016-12-29;14.9;17:00;0.0;07:50;7.4;14;14:00;9;20:00;0;0;0;0;0
3272M;2016-12-30;14.4;15:00;-1.6;08:10;6.4;12;15:50;7;06:40;0;0;0;0;0
3272M;2016-12-31;6.4;15:20;-3.4;09:00;1.5;16;14:40;9;15:30;0;0;0;0;0
3272M;2017-01-01;5.3;16:30;-2.8;08:50;1.3;15;15:20;7;15:20;0;0;0;0;0
3272M;2017-01-04;14.2;16:10;2.7;06:20;8.4;34;15:50;18;15:50;0;0;0;0;0
3272M;2017-01-05;13.6;16:50;0.7;09:10;7.2;16;11:50;12;22:10;0;0;0;0;0
3272M;2017-01-06;11.7;15:10;0.2;05:40;5.9;19;14:00;11;13:50;0;0;0;0;0
3272M;2017-01-07;12.3;15:30;-2.0;08:20;5.2;15;14:40;7;16:10;0;0;0;0;0
3272M;2017-01-08;14.0;15:50;-1.1;06:50;6.4;19;19:30;11;19:30;0;0;0;0;0
3272M;2017-01-09;12.9;15:30;0.1;08:40;6.5;26;21:30;14;03:50;0;0;0;0;0
3272M;2017-01-10;10.5;13:10;5.8;08:30;8.2;56;19:30;25;19:40;0;0;0;0;0
3272M;2017-01-11;17.2;15:30;4.7;08:00;11;47;01:30;19;01:30;0;0;0;0;0
3272M;2017-01-12;11.9;13:00;2.4;08:30;7.1;49;22:10;27;21:50;0;0;0;0;0
3272M;2017-01-13;8.9;00:40;2.9;23:00;5.9;54;06:50;24;08:20;0;0;0;0;0
3272M;2017-01-14;7.6;16:10;-1.2;04:20;3.2;33;14:10;18;16:50;0;0;0;0;0
3272M;2017-01-15;;;;;;;;;;;;;;0
3272M;2017-01-16;13.1;16:10;3.1;03:10;8.1;46;04:00;23;04:10;0;0;0;0;0
3272M;2017-01-17;10.6;12:00;-2.8;23:59;3.9;49;12:40;25;12:20;0;0;0;0;0
3272M;2017-01-18;5.4;15:30;-8.3;08:10;-1.5;31;00:10;16;03:50;0;0;0;0;0
3272M;2017-01-19;;;;;;;;;;;0;;0;
3272M;2017-01-20;6.5;16:00;0.6;08:20;3.6;65;04:00;25;03:50;0.2;0;0.2;0;0
3272M;2017-01-21;10.5;16:20;2.7;20:50;6.6;44;08:50;21;01:10;0;0;0;0;0
3272M;2017-01-22;9.8;14:50;-1.1;23:59;4.4;30;17:10;14;05:40;0;0;0;0;0
3272M;2017-01-23;11.1;13:40;-2.0;00:20;4.6;32;18:10;17;16:50;0;0;0;0;0
3272M;2017-01-24;13.6;16:00;0.9;02:30;7.3;30;18:00;17;17:50;0;0;0;0;0
3272M;2017-01-25;10.9;15:40;-1.6;09:00;4.6;20;17:10;11;21:10;0;0;0;0;0
3272M;2017-01-26;6.3;16:20;-3.0;06:30;1.7;24;21:10;12;21:10;1.9;0;0;0;1.9
3272M;2017-01-27;5.7;16:40;0.3;04:30;3;42;23:59;21;23:59;19;15.4;1.7;1.8;0.1
3272M;2017-01-28;9.0;15:30;2.2;07:40;5.6;55;00:40;23;00:20;0;0;0;0;0
3272M;2017-01-29;7.0;14:10;1.4;04:00;4.2;15;00:40;9;00:40;3;0;0.1;0.8;2.1
3272M;2017-01-30;9.4;15:20;5.0;07:50;7.2;13;11:00;8;11:10;0;0;0;0;0
3272M;2017-01-31;12.7;15:50;5.9;22:00;9.3;19;11:20;12;12:40;0;0;0;0;0
3272M;2017-02-01;8.5;16:50;4.6;03:50;6.5;32;23:00;15;23:00;1.4;0;1;0.2;0.2
3272M;2017-02-02;11.0;16:50;4.2;23:59;7.6;45;15:20;24;15:20;9.5;5;2.3;2.2;0
3272M;2017-02-03;10.4;13:00;4.0;01:50;7.2;53;20:20;28;08:10;1.5;0.1;0.1;0.3;1
3272M;2017-02-04;12.6;13:10;8.1;00:00;10.4;64;02:20;32;13:20;2.3;0;0.1;0.6;1.6
3272M;2017-02-05;9.3;02:20;1.8;07:30;5.6;82;08:40;37;08:40;3;1.7;1.3;0;0
3272M;2017-02-06;12.9;16:40;4.7;01:30;8.8;70;16:30;34;15:50;0;0;0;0;0
3272M;2017-02-07;11.1;16:30;4.9;03:20;8;55;16:50;24;17:10;3.3;0;0;3.3;0
3272M;2017-02-08;9.5;16:30;0.0;22:10;4.8;50;01:20;25;07:30;0;0;0;0;0
3272M;2017-02-09;11.1;15:30;-1.7;05:40;4.7;24;23:59;9;00:30;0;0;0;0;0
3272M;2017-02-10;5.4;15:30;1.2;10:20;3.3;27;21:40;11;15:40;3;0;0.1;0;2.9
3272M;2017-02-11;6.2;15:00;2.2;11:30;4.2;39;23:59;17;19:20;4.9;1.5;2;0.6;0.8
3272M;2017-02-12;8.7;19:20;4.8;07:30;6.8;42;21:00;24;21:00;17.9;0.3;5.1;4.7;7.8
3272M;2017-02-13;11.3;15:20;3.1;23:59;7.2;52;03:10;26;03:00;11.9;8;3.9;0;0
3272M;2017-02-14;9.9;14:40;0.4;06:20;5.1;24;14:40;9;11:00;0;0;0;0;0
3272M;2017-02-16;;;;;;;;;;;0;0;;0
3272M;2017-02-17;15.2;16:40;0.6;04:40;7.9;18;15:30;9;15:40;0;0;0;0;0
3272M;2017-02-18;14.8;16:30;2.1;08:10;8.5;16;12:30;10;02:00;0;0;0;0;0
3272M;2017-02-19;13.4;16:10;5.2;02:30;9.3;36;10:30;16;21:20;0;0;0;0;0
3272M;2017-02-20;14.0;16:50;2.4;07:50;8.2;27;12:10;14;11:30;0;0;0;0;0
3272M;2017-02-21;17.3;16:30;0.8;07:00;9;;;;;;0;0;0;
3272M;2017-02-22;;;;;;;;;;;0;;0;0
3272M;2017-02-23;14.7;12:40;8.2;04:10;11.4;25;22:30;10;13:10;0.5;0;0;0;0.5
3272M;2017-02-24;16.3;14:40;4.3;23:10;10.3;38;15:50;21;15:50;0.1;0.1;0;0;0
3272M;2017-02-25;17.4;16:40;1.9;08:10;9.6;19;16:30;10;20:40;0;0;0;0;0
3272M;2017-02-26;14.8;15:10;2.6;07:20;8.7;23;14:20;11;17:30;0;0;0;0;0
3272M;2017-02-27;13.3;17:20;5.0;01:20;9.2;44;10:50;21;10:50;0;0;0;0;0
3272M;2017-02-28;13.4;13:50;5.3;09:40;9.3;41;18:10;21;18:10;0;0;0;0;0
3272M;2017-03-01;16.0;16:50;5.3;07:40;10.7;42;03:30;23;03:30;0;0;0;0;0
3272M;2017-03-02;15.6;16:20;3.3;08:20;9.5;24;15:30;12;11:20;0;0;0;0;0
3272M;2017-03-03;9.7;12:00;2.2;21:20;5.9;46;21:50;21;22:00;2.7;0;0;2.7;0
