Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
4386B;2013-05-07;27.3;16:20;13.1;08:00;20.2;34;04:10;26;03:30;0;0;0;0;0
4386B;2013-05-08;23.8;17:30;15.5;07:40;19.6;30;07:40;18;11:40;0;0;0;0;0
4386B;2013-05-09;26.6;16:10;13.6;07:40;20.1;38;17:30;25;13:40;0;0;0;0;0
4386B;2013-05-10;26.4;17:10;11.9;07:20;19.1;39;16:40;22;16:40;0;0;0;0;0
4386B;2013-05-11;25.5;15:40;11.5;06:50;18.5;36;14:40;17;02:50;0;0;0;0;0
4386B;2013-05-12;28.1;17:10;11.5;07:00;19.8;31;14:00;17;00:40;0;0;0;0;0
4386B;2013-05-13;26.6;16:20;12.9;07:40;19.8;33;16:10;17;21:00;0;0;0;0;0
4386B;2013-05-14;24.9;13:00;9.1;15:20;17;64;15:00;35;17:10;43.6;0;0;43.6;0
4386B;2013-05-15;15.4;19:10;6.9;05:20;11.1;50;19:30;36;19:40;2.6;0;1;1.6;0
4386B;2013-05-16;15.2;15:20;5.3;07:20;10.3;54;18:40;33;18:40;0.4;0;0;0;0.4
4386B;2013-05-17;12.4;16:00;5.4;23:30;8.9;60;16:30;35;19:00;9.8;1.8;3;2.8;2.2
4386B;2013-05-18;13.5;14:20;5.2;01:30;9.3;57;15:00;36;18:00;4.4;0;0;1.4;3
4386B;2013-05-19;15.4;16:10;4.2;06:40;9.8;45;17:40;29;17:40;1.4;0.8;0.2;0.2;0.2
4386B;2013-05-20;15.8;15:40;4.3;06:50;10.1;33;14:20;15;14:20;6.8;0;0;5;1.8
4386B;2013-05-21;19.0;17:30;5.7;06:50;12.3;38;12:00;22;18:50;0;0;0;0;0
4386B;2013-05-22;23.0;18:00;8.7;07:20;15.8;35;16:20;22;16:20;0;0;0;0;0
4386B;2013-05-23;25.9;17:10;12.0;07:10;18.9;35;14:50;19;18:20;0;0;0;0;0
4386B;2013-05-24;25.4;16:20;13.6;07:00;19.5;33;20:40;20;17:40;0;0;0;0;0
4386B;2013-05-25;24.6;16:50;12.8;07:20;18.7;35;19:00;24;19:00;0;0;0;0;0
4386B;2013-05-26;22.3;19:10;13.6;07:20;17.9;41;12:10;23;12:20;0;0;0;0;0
4386B;2013-05-27;19.8;16:50;5.8;07:20;12.8;40;16:40;22;20:10;0;0;0;0;0
