Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
5000C;2013-05-07;23.1;19:40;17.2;01:40;20.2;17;16:10;11;16:20;0;0;0;0;0
5000C;2013-05-08;27.8;19:20;15.4;07:20;21.6;14;12:30;10;12:30;0;0;0;0;0
5000C;2013-05-09;29.3;13:20;19.4;07:30;24.3;36;16:30;16;04:00;0;0;0;0;0
5000C;2013-05-10;28.8;13:40;18.7;07:00;23.8;32;16:50;19;16:50;0;0;0;0;0
5000C;2013-05-11;23.6;00:00;16.5;10:30;20.1;26;10:10;13;10:20;0;0;0;0;0
5000C;2013-05-12;22.0;15:50;17.0;02:40;19.5;36;21:30;18;19:10;0;0;0;0;0
5000C;2013-05-13;20.6;16:20;17.6;22:40;19.1;31;14:50;19;14:30;0;0;0;0;0
5000C;2013-05-14;20.9;20:20;16.9;03:20;18.9;45;21:30;14;06:40;0;0;0;0;0
5000C;2013-05-15;19.2;14:30;14.4;22:30;16.8;51;05:30;19;05:40;1.9;0;0;0;1.9
5000C;2013-05-16;18.8;14:30;13.9;22:50;16.3;54;16:30;18;11:50;0.7;0;0;0;0.7
5000C;2013-05-17;18.8;17:10;12.5;21:10;15.6;55;19:00;23;20:40;23.6;5.3;7.6;1.2;9.5
5000C;2013-05-18;17.5;13:40;12.7;09:20;15.1;51;00:40;19;12:50;5;0.1;4.9;0;0
5000C;2013-05-19;18.4;14:30;13.0;07:20;15.7;35;19:00;14;11:30;0;0;0;0;0
5000C;2013-05-20;17.2;10:40;12.4;23:10;14.8;25;02:30;15;15:20;;0;;1.7;1.6
5000C;2013-05-21;19.8;18:00;12.0;05:20;15.9;27;16:10;11;05:00;3.9;0.8;3.1;0;0
5000C;2013-05-22;22.4;11:30;13.4;06:40;17.9;41;22:30;21;22:30;0;0;0;0;0
5000C;2013-05-23;23.7;14:20;17.9;06:30;20.8;41;15:40;21;15:40;0;0;0;0;0
5000C;2013-05-24;22.4;10:50;15.4;06:30;18.9;61;20:30;22;20:50;0;0;0;0;0
5000C;2013-05-25;22.2;13:10;16.2;06:30;19.2;55;06:20;23;07:00;0;0;0;0;0
5000C;2013-05-26;22.2;16:00;15.7;02:40;19;31;04:40;14;10:50;0;0;0;0;0
5000C;2013-05-27;20.5;11:30;15.7;03:40;18.1;46;20:00;19;16:00;0;0;0;0;0
5000C;2013-05-28;20.1;13:50;15.7;06:30;17.9;43;18:10;15;17:10;0;0;0;0;0
5000C;2013-05-29;18.5;19:10;15.4;06:30;16.9;62;17:50;34;23:50;0;0;0;0;0
5000C;2013-05-30;21.9;15:40;15.2;07:00;18.5;53;00:30;29;00:20;0;0;0;0;0
5000C;2013-05-31;24.4;14:50;15.6;07:10;20;37;17:10;19;20:00;0;0;0;0;0
5000C;2013-06-01;23.3;08:30;16.9;23:50;20.1;26;02:30;10;14:20;0;0;0;0;0
5000C;2013-06-02;21.0;16:10;16.0;05:10;18.5;24;12:00;15;10:00;0;0;0;0;0
5000C;2013-06-03;;;;;;;;;;;;;0;0
5000C;2013-06-04;21.2;10:40;17.0;06:30;19.1;23;11:50;13;00:30;0;0;0;0;0
5000C;2013-06-05;24.1;13:10;16.0;06:00;20.1;37;15:00;15;16:30;0;0;0;0;0
5000C;2013-06-06;;;;;;;;;;;0;;;
5000C;2013-06-07;;;;;;;;;;;;0;0.3;0
5000C;2013-06-08;21.6;13:40;15.8;07:20;18.7;35;17:00;14;16:40;0;0;0;0;0
5000C;2013-06-09;21.4;15:00;16.2;04:50;18.8;36;14:40;14;10:40;0;0;0;0;0
5000C;2013-06-10;24.5;16:50;16.2;00:50;20.4;;;;;;;0;0;0
5000C;2013-06-11;29.2;13:30;19.3;00:40;24.3;37;05:00;18;05:10;0;0;0;0;0
5000C;2013-06-12;28.9;14:40;20.6;06:30;24.8;18;09:40;10;19:30;0;0;0;0;0
5000C;2013-06-13;25.4;12:30;18.8;08:20;22.1;21;17:20;13;17:20;0;0;0;0;0
5000C;2013-06-14;;;;;;;;;;;0;;;
5000C;2013-06-15;27.2;12:30;18.7;07:40;23;23;18:00;15;17:10;0;0;0;0;0
5000C;2013-06-16;25.1;13:40;19.2;03:50;22.2;19;16:20;13;18:40;0;0;0;0;0
5000C;2013-06-17;22.8;13:30;17.5;23:40;20.1;53;12:40;16;13:10;0;0;0;0;0
5000C;2013-06-18;21.0;14:30;16.3;07:40;18.6;45;17:20;17;09:10;0;0;0;0;0
5000C;2013-06-19;21.6;18:20;16.6;06:30;19.1;45;01:50;17;00:50;0;0;0;0;0
5000C;2013-06-20;26.9;13:20;18.2;02:30;22.6;23;00:10;11;23:20;0;0;0;0;0
5000C;2013-06-21;24.6;14:20;17.3;07:00;20.9;21;13:40;12;13:10;0;0;0;0;0
5000C;2013-06-22;23.0;13:50;18.0;06:50;20.5;29;16:10;17;14:00;0;0;0;0;0
5000C;2013-06-23;23.3;12:10;18.9;04:40;21.1;36;14:10;18;14:10;0;0;0;0;0
5000C;2013-06-24;23.6;13:20;19.0;05:30;21.3;42;15:20;22;11:50;0;0;0;0;0
5000C;2013-06-25;23.3;13:00;19.1;23:30;21.2;46;14:00;25;15:20;0;0;0;0;0
5000C;2013-06-26;22.9;13:50;18.5;07:10;20.7;37;13:00;23;12:50;0;0;0;0;0
5000C;2013-06-27;23.1;13:10;18.5;07:30;20.8;42;14:30;23;13:50;0;0;0;0;0
5000C;2013-06-28;23.4;14:00;18.2;05:10;20.8;37;12:30;22;12:40;0;0;0;0;0
5000C;2013-06-29;22.6;15:50;18.6;06:30;20.6;32;08:00;18;12:50;0;0;0;0;0
5000C;2013-06-30;23.3;15:00;18.7;07:30;21;26;16:40;15;17:20;0;0;0;0;0
5000C;2013-07-01;24.6;13:30;18.3;06:50;21.4;23;15:00;14;16:20;0;0;0;0;0
5000C;2013-07-02;24.0;15:50;19.2;05:50;21.6;24;14:40;15;16:30;0;0;0;0;0
5000C;2013-07-03;24.7;18:40;19.3;07:00;22;22;19:10;14;12:30;0;0;0;0;0
5000C;2013-07-04;24.0;14:50;20.4;06:50;22.2;31;13:30;17;14:00;0;0;0;0;0
5000C;2013-07-05;23.4;14:20;20.0;07:10;21.7;31;16:40;18;01:50;0;0;0;0;0
5000C;2013-07-06;24.6;14:40;19.9;06:50;22.3;34;03:30;20;16:10;0;0;0;0;0
5000C;2013-07-07;24.1;13:00;19.4;07:50;21.8;30;11:40;17;12:50;0;0;0;0;0
5000C;2013-07-08;22.9;16:30;19.5;04:40;21.2;27;11:00;17;11:00;0;0;0;0;0
5000C;2013-07-09;25.1;15:40;19.8;05:50;22.4;27;15:30;13;15:30;0;0;0;0;0
5000C;2013-07-10;27.0;17:10;20.0;07:30;23.5;22;19:10;14;19:00;0;0;0;0;0
5000C;2013-07-11;25.4;14:50;18.6;07:30;22;21;09:50;13;20:10;0;0;0;0;0
5000C;2013-07-12;25.7;13:20;19.0;05:50;22.4;15;18:20;9;04:20;0;0;0;0;0
5000C;2013-07-13;28.6;15:20;17.5;06:00;23.1;24;14:20;10;19:20;0;0;0;0;0
5000C;2013-07-14;27.6;18:30;19.3;05:10;23.4;39;13:10;14;15:30;0;0;0;0;0
5000C;2013-07-15;25.3;11:00;18.6;02:30;21.9;24;16:40;15;16:50;0;0;0;0;0
5000C;2013-07-16;25.0;14:30;19.0;06:20;22;20;17:50;12;17:10;0;0;0;0;0
5000C;2013-07-17;25.8;16:00;21.6;07:00;23.7;22;10:40;13;11:40;0;0;0;0;0
5000C;2013-07-18;26.3;16:40;21.6;06:20;23.9;22;16:10;13;16:30;0;0;0;0;0
5000C;2013-07-19;26.9;16:40;21.7;03:20;24.3;23;10:50;14;11:30;0;0;0;0;0
5000C;2013-07-20;27.8;15:50;20.8;06:10;24.3;22;05:20;10;08:00;0;0;0;0;0
5000C;2013-07-21;27.1;15:20;19.8;07:10;23.4;21;15:20;9;13:20;0;0;0;0;0
5000C;2013-07-22;27.4;16:00;21.0;02:40;24.2;24;17:10;14;16:20;0;0;0;0;0
5000C;2013-07-23;28.1;16:10;20.8;07:40;24.4;16;17:40;10;17:00;0;0;0;0;0
5000C;2013-07-24;28.9;12:40;20.9;07:40;24.9;18;12:50;12;12:50;0;0;0;0;0
5000C;2013-07-25;29.1;15:50;20.2;07:30;24.7;21;17:50;14;17:50;0;0;0;0;0
5000C;2013-07-26;28.5;18:10;20.3;06:40;24.4;42;23:30;17;21:00;0;0;0;0;0
5000C;2013-07-27;25.2;16:40;19.9;07:30;22.6;53;18:10;26;18:20;0;0;0;0;0
5000C;2013-07-28;27.8;14:00;19.7;06:20;23.8;42;15:40;23;15:40;0;0;0;0;0
5000C;2013-07-29;29.0;11:30;21.3;23:59;25.1;33;05:00;19;04:10;0;0;0;0;0
5000C;2013-07-30;27.4;15:40;20.3;02:20;23.8;29;15:30;18;14:50;0;0;0;0;0
5000C;2013-07-31;26.8;14:40;22.0;09:20;24.4;34;13:20;21;13:20;0;0;0;0;0
5000C;2013-08-01;27.0;11:50;22.3;08:10;24.6;28;11:20;18;15:10;0;0;0;0;0
5000C;2013-08-02;27.0;17:00;21.5;03:20;24.3;24;16:40;15;16:40;0;0;0;0;0
5000C;2013-08-03;;;;;;;;;;;0;;;0
5000C;2013-08-04;;;;;;;;;;;;;;
5000C;2013-08-05;28.2;12:50;22.1;03:50;25.2;;;;;;0;0;0;
5000C;2013-08-06;33.4;18:20;20.5;07:50;27;35;23:40;14;21:50;0;0;0;0;0
5000C;2013-08-07;29.2;15:20;21.7;07:30;25.5;48;03:20;24;03:20;0;0;0;0;0
5000C;2013-08-08;34.2;16:10;20.8;23:10;27.5;42;01:50;17;13:00;0;0;0;0;0
5000C;2013-08-09;26.8;13:30;20.9;00:00;23.8;32;10:10;19;10:20;0;0;0;0;0
5000C;2013-08-10;27.1;12:40;21.8;06:40;24.4;30;13:00;18;15:40;0;0;0;0;0
5000C;2013-08-11;27.3;14:20;22.0;03:10;24.6;28;15:20;18;15:20;0;0;0;0;0
5000C;2013-08-12;27.1;15:00;22.4;08:00;24.8;26;11:40;17;12:00;0;0;0;0;0
5000C;2013-08-13;26.2;16:00;20.6;09:10;23.4;20;15:30;13;15:30;0;0;0;0;0
5000C;2013-08-14;28.2;13:30;22.3;06:30;25.3;31;11:40;19;13:00;0;0;0;0;0
5000C;2013-08-15;28.1;14:30;20.9;06:50;24.5;29;14:30;16;14:30;0;0;0;0;0
5000C;2013-08-16;28.1;14:50;21.9;03:00;25;21;12:30;15;12:30;0;0;0;0;0
5000C;2013-08-17;26.4;14:40;22.2;05:00;24.3;20;18:50;12;18:50;0;0;0;0;0
5000C;2013-08-18;27.8;16:30;22.3;00:00;25;31;15:30;18;16:40;0;0;0;0;0
5000C;2013-08-19;27.5;14:30;22.5;07:40;25;27;17:40;17;17:40;0;0;0;0;0
5000C;2013-08-20;28.5;15:10;22.7;06:00;25.6;28;14:10;17;14:10;0;0;0;0;0
5000C;2013-08-21;27.9;13:00;22.1;06:50;25;29;12:40;18;13:20;0;0;0;0;0
5000C;2013-08-22;;;;;;;;;;;0;0;;
5000C;2013-08-23;;;;;;;;;;;;;0;0
5000C;2013-08-24;27.6;17:20;22.3;08:10;24.9;19;16:20;11;16:30;0;0;0;0;0
5000C;2013-08-25;27.1;16:00;20.3;03:40;23.7;16;14:10;11;14:30;0;0;0;0;0
5000C;2013-08-26;26.4;12:50;20.5;08:00;23.4;49;15:20;27;15:20;0;0;0;0;0
5000C;2013-08-27;27.3;16:20;20.3;05:40;23.8;23;13:20;10;14:10;0;0;0;0;0
5000C;2013-08-28;28.0;14:20;22.0;02:20;25;22;15:00;13;15:00;0;0;0;0;0
5000C;2013-08-29;26.9;14:00;22.5;06:50;24.7;30;16:30;17;16:30;0.1;0;0.1;0;0
5000C;2013-08-30;27.2;13:30;22.1;07:50;24.7;37;14:40;19;15:00;0;0;0;0;0
5000C;2013-08-31;26.7;16:10;22.2;06:50;24.5;36;14:50;22;15:50;0;0;0;0;0
5000C;2013-09-01;26.9;14:30;21.9;06:40;24.4;41;15:40;25;15:30;0;0;0;0;0
5000C;2013-09-02;26.2;13:00;21.8;01:30;24;39;08:20;21;12:40;0;0;0;0;0
5000C;2013-09-03;26.2;13:20;21.7;00:20;24;37;13:20;21;13:10;0;0;0;0;0
5000C;2013-09-04;26.3;14:10;21.7;06:40;24;37;16:20;22;14:50;0;0;0;0;0
5000C;2013-09-05;26.6;12:20;21.2;23:10;23.9;23;12:00;14;12:00;0;0;0;0;0
5000C;2013-09-06;26.8;14:10;19.6;05:10;23.2;22;14:20;;;;0;0;;0
5000C;2013-09-07;22.1;00:00;19.6;08:40;20.9;19;05:50;9;03:30;1.9;0.6;0.2;1.1;0
5000C;2013-09-08;25.3;16:10;20.1;06:40;22.7;18;17:10;11;17:20;0.2;0.2;0;0;0
5000C;2013-09-09;26.5;14:20;20.2;01:40;23.4;;;;;;;0;0;0
5000C;2013-09-10;25.9;13:00;20.5;08:00;23.2;24;14:50;16;13:20;0;0;0;0;0
5000C;2013-09-11;26.6;15:00;21.1;07:30;23.9;31;12:30;18;12:00;0;0;0;0;0
5000C;2013-09-12;26.6;12:40;21.7;01:20;24.2;39;14:10;22;13:50;0;0;0;0;0
5000C;2013-09-13;26.6;11:40;21.7;04:10;24.2;56;16:30;21;16:10;0.1;0;0;0;0.1
5000C;2013-09-14;25.1;14:30;21.1;21:00;23.1;32;14:50;19;13:20;0.1;0.1;0;0;0
5000C;2013-09-15;26.5;14:30;20.4;08:20;23.4;21;18:00;12;18:00;0;0;0;0;0
5000C;2013-09-16;28.6;11:40;22.3;08:20;25.4;43;19:10;15;19:10;0;0;0;0;0
