Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
6364X;2013-05-07;29.5;14:30;17.3;06:00;23.4;33;16:30;21;16:50;0;0;0;0;0
6364X;2013-05-08;32.0;14:20;16.9;07:00;24.4;28;14:30;18;15:10;0;0;0;0;0
6364X;2013-05-09;31.6;12:40;17.4;07:00;24.5;33;13:30;22;14:20;0;0;0;0;0
6364X;2013-05-10;28.8;12:40;17.8;23:59;23.3;34;05:50;27;06:00;0;0;0;0;0
6364X;2013-05-11;26.6;15:10;13.7;07:20;20.2;35;16:30;23;16:40;;;0;0;0
6364X;2013-05-12;22.8;18:00;15.3;07:50;19;27;17:00;18;17:00;0;0;0;0;0
6364X;2013-05-13;25.5;15:00;13.7;05:50;19.6;31;13:00;17;16:10;0;0;0;0;0
6364X;2013-05-14;23.7;16:50;13.6;04:10;18.7;39;11:30;22;13:20;1.2;0;0;0.4;0.8
6364X;2013-05-15;23.8;13:20;12.5;05:00;18.1;73;19:10;55;19:00;0;0;0;0;0
6364X;2013-05-16;21.9;16:50;10.9;07:10;16.4;62;19:30;44;19:20;0;0;0;0;0
6364X;2013-05-17;22.5;18:10;10.8;23:59;16.7;71;21:30;51;21:20;0.2;0;0;0;0.2
6364X;2013-05-18;19.1;16:10;8.8;04:50;14;79;16:10;51;16:30;0;0;0;0;0
6364X;2013-05-19;;;;;;;;;;;0;0;;
6364X;2013-05-20;20.8;13:10;10.1;07:00;15.4;29;13:20;21;02:10;0;0;0;0;0
6364X;2013-05-21;13.4;17:20;9.4;08:40;11.4;36;17:30;25;15:10;10.6;8.2;0.8;1.2;0.4
6364X;2013-05-22;23.2;14:40;10.2;00:50;16.7;49;10:20;33;10:40;0;0;0;0;0
6364X;2013-05-23;28.5;18:30;15.8;01:20;22.2;49;04:10;36;08:20;0;0;0;0;0
6364X;2013-05-24;25.4;14:50;14.6;23:40;20;38;16:50;26;16:30;0;0;0;0;0
6364X;2013-05-25;26.5;15:40;12.6;07:10;19.6;35;17:00;24;17:00;0;0;0;0;0
6364X;2013-05-26;22.7;17:50;14.6;23:59;18.7;28;14:20;18;19:00;0;0;0;0;0
6364X;2013-05-27;25.4;16:10;13.7;07:50;19.5;42;20:50;28;20:30;0.8;0;0;0.8;0
