Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
8203O;2014-07-07;25.3;19:00;15.8;23:40;20.5;;;44;12:50;0;0;0;0;0
8203O;2014-07-08;29.7;18:10;14.6;06:10;22.2;;;28;23:20;0;0;0;0;0
8203O;2014-07-09;24.7;15:00;15.7;02:20;20.2;;;27;17:50;0;0;0;0;0
8203O;2014-07-10;28.0;19:40;13.0;07:00;20.5;;;30;16:50;0;0;0;0;0
8203O;2014-07-11;28.9;18:00;15.5;07:00;22.2;;;24;16:30;0;0;0;0;0
8203O;2014-07-12;29.5;17:00;16.4;06:20;22.9;;;29;14:50;0;0;0;0;0
8203O;2014-07-13;30.8;19:20;15.5;04:50;23.1;;;37;16:40;0;0;0;0;0
8203O;2014-07-14;31.4;15:10;17.1;04:20;24.3;;;30;17:00;0;0;0;0;0
8203O;2014-07-15;30.6;16:50;16.4;04:10;23.5;;;29;12:10;0;0;0;0;0
8203O;2014-07-16;;;;;;;;;;;0;0;;
8203O;2014-07-17;;;;;;;;;;;;;;
8203O;2014-07-18;;;;;;;;;;;;;;
8203O;2014-07-19;;;;;;;;;;;;;;
8203O;2014-07-20;;;;;;;;;;;;;;
8203O;2014-07-21;;;;;;;;;;;;0;;
8203O;2014-07-22;;;;;;;;;;;;;;
8203O;2014-07-23;;;;;;;;;;;;;;
8203O;2014-07-24;;;;;;;;;;;;;0;
8203O;2014-07-25;;;;;;;;;;;;0;0;0
8203O;2014-07-26;;;;;;;;;;;;;;
8203O;2014-07-27;33.6;16:20;17.5;05:20;25.5;;;35;15:50;0;0;0;0;0
8203O;2014-07-28;;;;;;;;;;;;0;0;0
8203O;2014-07-29;;;;;;;;;;;;0;0;0
8203O;2014-07-30;;;;;;;;;;;;;;0
8203O;2014-07-31;;;;;;;;;;;;0;0;0
8203O;2014-08-01;;;;;;;;;;;;;0;0
8203O;2014-08-02;26.2;19:20;17.1;07:20;21.7;;;40;20:30;0;0;0;0;0
8203O;2014-08-03;30.5;18:00;17.1;07:50;23.8;;;32;01:50;0;0;0;0;0
8203O;2014-08-04;;;;;;;;;;;;0;0;0
8203O;2014-08-05;;;;;;;;;;;0;0;0;
8203O;2014-08-06;32.7;19:30;17.8;07:20;25.3;;;34;20:40;0;0;0;0;0
8203O;2014-08-07;;;;;;;;;;;0;;0;0
8203O;2014-08-08;33.2;16:30;18.9;06:50;26.1;;;43;19:30;0;0;0;0;0
8203O;2014-08-09;;;;;;;;;;;0;0;;
8203O;2014-08-10;;;;;;;;;;;;;;
8203O;2014-08-11;;;;;;;;;;;;;0;0
8203O;2014-08-12;31.5;17:00;18.4;08:00;24.9;;;30;21:10;0;0;0;0;0
8203O;2014-08-13;28.7;17:10;18.3;23:20;23.5;;;44;07:40;0;0;0;0;0
8203O;2014-08-14;23.9;16:10;16.3;08:10;20.1;;;29;09:00;0;0;0;0;0
8203O;2014-08-15;26.9;15:20;17.6;06:30;22.3;;;32;15:50;0;0;0;0;0
8203O;2014-08-16;20.2;17:20;14.2;08:20;17.2;;;31;06:40;0;0;0;0;0
8203O;2014-08-17;27.3;18:00;14.7;06:30;21;;;29;21:30;0;0;0;0;0
8203O;2014-08-18;29.4;17:30;14.8;05:40;22.1;;;35;05:30;0;0;0;0;0
8203O;2014-08-19;28.6;14:30;18.5;05:30;23.6;;;32;01:50;0;0;0;0;0
8203O;2014-08-20;;;;;;;;;;;0;0;;
8203O;2014-08-21;;;;;;;;;;;;0;0;0.6
8203O;2014-08-22;29.9;15:50;17.0;07:10;23.4;;;37;18:40;;0;0;0;
8203O;2014-08-23;;;;;;;;;;;0;0;;0
8203O;2014-08-24;27.6;18:50;17.5;05:20;22.6;;;34;19:00;0;0;0;0;0
8203O;2014-08-25;;;;;;;;;;;0;0;;
8203O;2014-08-26;;;;;;;;;;;;;0;0
8203O;2014-08-27;33.4;18:50;21.1;23:30;27.3;;;33;17:00;0;0;0;0;0
8203O;2014-08-28;32.6;17:00;19.0;07:40;25.8;;;36;20:50;0;0;0;0;0
8203O;2014-08-29;31.2;15:30;19.0;23:30;25.1;;;32;16:50;0;0;0;0;0
8203O;2014-08-30;26.2;16:20;17.5;05:50;21.9;;;30;18:50;0;0;0;0;0
8203O;2014-08-31;29.3;16:00;17.2;03:00;23.3;;;32;16:40;0.4;0;0;0.4;0
8203O;2014-09-01;;;;;;;;;;;;0;0;0
8203O;2014-09-02;35.4;18:00;20.8;08:00;28.1;;;34;14:30;0;0;0;0;0
8203O;2014-09-03;32.0;18:30;21.5;05:40;26.8;;;43;00:50;0;0;0;0;0
8203O;2014-09-04;;;;;;;;;;;;0;0;0
8203O;2014-09-05;30.6;19:10;15.9;08:20;23.3;;;27;17:20;0;0;0;0;0
