Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
9001S;2016-11-08;2.9;22:50;-3.1;06:00;-0.1;57;05:00;31;21:00;5.7;4.3;0.9;0;0.5
9001S;2016-11-09;4.8;14:00;-0.5;21:20;2.2;78;02:30;47;02:30;0.8;0.8;0;0;0
9001S;2016-11-10;8.3;14:10;-1.2;23:30;3.6;30;03:10;20;01:10;0;0;0;0;0
9001S;2016-11-11;8.5;13:50;-1.5;05:20;3.5;30;22:50;19;21:20;0;0;0;0;0
9001S;2016-11-12;8.2;12:10;4.5;04:20;6.3;62;19:50;30;01:30;3.7;0;0.3;2.2;1.2
9001S;2016-11-13;6.5;00:40;0.5;22:00;3.5;59;22:10;25;07:10;4.6;1.8;0.6;0.5;1.7
9001S;2016-11-14;5.6;20:30;0.3;04:20;2.9;59;06:00;29;17:50;7.6;2.2;5.1;0.3;0
9001S;2016-11-15;9.1;14:10;2.7;06:20;5.9;44;01:30;22;00:10;0;0;0;0;0
9001S;2016-11-16;11.6;13:10;5.1;01:20;8.4;34;19:20;22;12:40;0;0;0;0;0
9001S;2016-11-17;12.8;13:20;4.1;07:50;8.5;41;20:40;21;20:50;0;0;0;0;0
9001S;2016-11-18;13.7;12:20;1.1;22:10;7.4;40;03:50;28;23:30;0;0;0;0;0
9001S;2016-11-19;4.3;14:10;-3.2;08:10;0.6;98;22:10;44;22:10;3.3;0;0;0;3.3
9001S;2016-11-20;5.6;15:50;0.8;00:00;3.2;89;23:59;41;01:10;12.5;0.4;2.8;8.5;0.8
9001S;2016-11-21;4.6;04:30;-0.9;23:59;1.8;107;04:20;38;05:30;20.1;17.3;0.1;1.9;0.8
9001S;2016-11-22;2.0;10:10;-2.0;18:50;0;46;02:30;20;23:30;1.1;0.1;0;0;1
9001S;2016-11-23;-1.2;02:30;-2.8;21:40;-2;69;15:50;36;15:50;31.9;1.3;9.4;18.5;2.7
9001S;2016-11-24;-1.2;03:20;-2.7;23:20;-2;69;13:10;41;15:10;1.8;0.5;0.8;0.5;0
9001S;2016-11-25;3.1;14:20;-6.1;07:30;-1.5;44;00:30;28;00:10;0;0;0;0;0
9001S;2016-11-26;2.5;13:00;-3.7;06:10;-0.6;25;12:30;15;12:40;0;0;0;0;0
9001S;2016-11-27;4.5;12:20;0.5;08:30;2.5;32;04:00;23;14:20;0;0;0;0;0
9001S;2016-11-28;7.6;14:10;-3.0;23:59;2.3;29;07:50;17;08:20;0;0;0;0;0
9001S;2016-11-29;7.5;13:50;-3.5;02:20;2;55;23:50;36;23:50;0;0;0;0;0
9001S;2016-11-30;5.0;11:20;2.0;00:00;3.5;50;00:30;28;00:10;0;0;0;0;0
9001S;2016-12-01;9.2;12:30;1.7;08:30;5.4;46;00:20;21;00:20;0;0;0;0;0
9001S;2016-12-02;8.7;11:50;1.0;23:59;4.8;31;02:30;20;03:40;0;0;0;0;0
9001S;2016-12-03;6.9;13:50;0.8;00:20;3.9;57;23:40;34;23:40;0;0;0;0;0
9001S;2016-12-04;5.1;13:40;3.2;04:00;4.1;53;01:50;31;01:50;0.6;0.1;0.2;0.1;0.2
9001S;2016-12-05;10.5;14:40;2.9;23:10;6.7;33;07:50;14;04:00;0.3;0.3;0;0;0
9001S;2016-12-06;11.7;12:30;2.3;05:30;7;24;23:30;14;23:30;0;0;0;0;0
9001S;2016-12-07;13.9;12:20;4.7;07:20;9.3;23;22:20;12;20:20;0;0;0;0;0
9001S;2016-12-08;12.5;14:50;3.8;08:20;8.1;40;17:50;25;17:30;0;0;0;0;0
9001S;2016-12-09;13.7;11:40;5.7;23:59;9.7;55;23:30;35;23:20;0;0;0;0;0
9001S;2016-12-10;9.7;15:30;2.9;17:50;6.3;65;10:50;44;11:10;0;0;0;0;0
9001S;2016-12-11;9.7;12:40;3.5;19:40;6.6;38;07:10;13;03:00;0;0;0;0;0
9001S;2016-12-12;7.9;13:30;1.9;23:40;4.9;36;07:20;25;07:20;0;0;0;0;0
9001S;2016-12-13;11.0;12:30;1.5;02:50;6.3;77;23:50;40;21:00;0;0;0;0;0
9001S;2016-12-14;3.3;16:10;0.3;23:40;1.8;90;03:20;44;00:30;3.2;1.2;0.1;0.1;1.8
9001S;2016-12-15;5.4;12:40;-0.1;21:20;2.7;57;21:20;37;21:20;1.5;0.7;0.1;0.6;0.1
9001S;2016-12-16;;;;;;;;22;00:10;;0;1.7;;
9001S;2016-12-17;;;;;;;;14;09:40;;;;;
9001S;2016-12-18;;;;;;;;12;19:40;;;;;
9001S;2016-12-19;;;;;;;;32;09:10;;;;0;0.5
9001S;2016-12-20;1.2;23:59;-1.5;06:00;-0.1;56;03:30;31;01:50;2.2;0.8;1.2;0.2;0
9001S;2016-12-21;5.1;23:40;0.2;09:50;2.6;50;00:40;30;06:40;3.5;0;0;0.7;2.8
9001S;2016-12-22;7.0;14:30;2.2;09:10;4.6;24;22:00;14;19:50;0;0;0;0;0
9001S;2016-12-23;8.0;12:50;0.9;08:40;4.4;41;20:20;21;20:20;0;0;0;0;0
9001S;2016-12-24;8.8;14:10;0.5;05:20;4.7;25;16:10;15;05:50;0;0;0;0;0
9001S;2016-12-25;15.1;14:40;5.1;00:10;10.1;18;17:50;14;17:30;0;0;0;0;0
9001S;2016-12-26;13.5;13:10;2.6;22:10;8;13;16:10;11;16:10;0;0;0;0;0
9001S;2016-12-27;13.1;14:10;2.9;01:10;8;13;17:00;11;16:20;0;0;0;0;0
9001S;2016-12-28;13.0;11:50;3.5;23:40;8.3;28;08:30;16;14:20;0;0;0;0;0
9001S;2016-12-29;13.9;12:40;2.5;23:00;8.2;15;17:00;11;16:50;0;0;0;0;0
9001S;2016-12-30;13.8;14:40;2.5;23:00;8.2;23;05:00;17;05:10;0;0;0;0;0
9001S;2016-12-31;12.0;12:10;0.9;23:20;6.4;15;02:00;11;23:50;0;0;0;0;0
9001S;2017-01-01;8.7;11:10;-1.5;18:00;3.6;57;22:20;22;22:30;0;0;0;0;0
9001S;2017-01-04;6.0;12:20;2.6;23:00;4.3;50;21:00;31;23:40;0;0;0;0;0
9001S;2017-01-05;8.9;13:20;1.5;08:30;5.2;53;06:10;38;06:10;0;0;0;0;0
9001S;2017-01-06;8.5;13:30;-0.7;22:20;3.9;24;15:20;13;12:10;0;0;0;0;0
9001S;2017-01-07;8.1;15:00;-1.4;06:40;3.4;22;11:40;11;13:10;0;0;0;0;0
9001S;2017-01-08;8.0;11:50;-0.8;23:40;3.6;26;15:40;16;15:50;0;0;0;0;0
9001S;2017-01-09;8.8;12:40;-2.9;08:10;3;48;23:20;21;18:10;0;0;0;0;0
9001S;2017-01-10;2.7;04:50;0.3;14:50;1.5;70;19:30;31;19:30;18.6;0.3;7.7;2.6;8
9001S;2017-01-11;7.2;15:20;1.7;00:00;4.4;75;08:40;38;08:50;8.4;4.5;3.8;0.1;0
9001S;2017-01-12;10.4;13:00;0.3;23:59;5.3;56;13:50;30;08:10;1.5;0;0;0;1.5
9001S;2017-01-13;0.4;00:00;-5.1;21:20;-2.3;74;07:50;30;07:50;9.6;0.8;1.9;2.8;4.1
9001S;2017-01-14;-2.7;21:10;-5.3;07:10;-4;75;23:50;33;14:10;32;8.5;12.2;5.1;6.2
9001S;2017-01-15;-0.9;13:40;-3.2;01:20;-2.1;86;23:00;38;03:10;18.5;4.5;5;4.2;4.8
9001S;2017-01-16;0.3;19:00;-1.7;03:30;-0.7;101;06:20;38;03:20;41.3;8;13.3;9.9;10.1
9001S;2017-01-17;0.5;05:20;-9.1;20:00;-4.3;86;23:30;42;03:00;36;29.2;6.2;0.6;0
9001S;2017-01-18;-1.1;12:10;-9.7;09:10;-5.4;76;03:40;45;11:30;1.1;1;0.1;0;0
9001S;2017-01-19;5.0;13:20;-10.2;06:30;-2.6;27;00:10;16;01:50;0;0;0;0;0
9001S;2017-01-20;8.0;13:40;-8.3;07:00;-0.2;15;01:20;10;03:10;0;0;0;0;0
9001S;2017-01-21;11.8;12:10;-3.6;00:10;4.1;13;12:50;10;18:50;0;0;0;0;0
9001S;2017-01-22;;;;;;38;10:40;29;09:30;0.2;0;0;0;0.2
9001S;2017-01-23;;;;;;47;22:40;34;21:20;0;0;0;0;0
9001S;2017-01-24;;;;;;43;00:10;31;00:10;0;0;0;0;0
9001S;2017-01-25;9.0;12:30;-4.4;08:50;2.3;25;20:30;20;20:30;0.1;0;0;0;0.1
9001S;2017-01-26;;;;;;89;13:00;37;11:20;4.8;0;3;0;1.8
9001S;2017-01-27;;;;;;72;02:30;41;09:20;3.3;1.6;0.4;0;1.3
9001S;2017-01-28;;;;;;50;21:20;35;21:00;0;0;0;0;0
9001S;2017-01-29;9.8;16:50;-0.3;02:40;4.8;71;04:50;37;04:10;0.5;0;0.2;0.3;0
9001S;2017-01-30;;;;;;75;23:59;31;23:20;0.7;0;0;0.2;0.5
9001S;2017-01-31;;;;;;95;07:40;35;05:00;2.2;0.7;1.5;0;0
9001S;2017-02-01;;;;;;108;19:40;41;17:40;2.6;2.1;0.5;0;0
9001S;2017-02-02;;;;;;108;07:50;29;18:40;;;;;
9001S;2017-02-03;;;;;;138;22:40;43;22:50;;;;;
9001S;2017-02-04;;;;;;104;03:30;45;03:40;;;;;
9001S;2017-02-05;;;;;;90;08:10;43;08:10;;;;;
9001S;2017-02-06;;;;;;44;07:20;26;07:10;;;;;
9001S;2017-02-07;;;;;;72;21:20;27;23:40;;;;;
9001S;2017-02-08;;;;;;86;02:10;32;09:40;;;;;
9001S;2017-02-09;;;;;;51;18:50;23;23:20;;;;;
9001S;2017-02-10;;;;;;42;01:30;28;16:00;;;;;
9001S;2017-02-11;;;;;;23;01:30;15;01:30;;;;;
9001S;2017-02-12;;;;;;68;19:30;44;21:30;;;;;
9001S;2017-02-13;;;;;;73;09:00;46;09:00;;;;;
9001S;2017-02-14;;;;;;69;11:50;28;00:30;;;;;
9001S;2017-02-16;;;;;;;;;;;;;;
9001S;2017-02-17;;;;;;18;03:30;15;03:30;;;;;
9001S;2017-02-18;;;;;;26;19:10;16;19:00;;;;;
9001S;2017-02-19;;;;;;29;19:50;18;20:00;;;;;
9001S;2017-02-20;;;;;;47;21:30;35;20:30;;;;;
9001S;2017-02-21;;;;;;29;01:20;15;00:30;;;;;
9001S;2017-02-22;;;;;;48;22:40;20;23:10;;;;;
9001S;2017-02-23;;;;;;62;02:10;26;02:00;;;;;
9001S;2017-02-24;;;;;;49;02:10;32;06:10;;;;;
9001S;2017-02-25;;;;;;31;10:40;20;11:10;;;;;
9001S;2017-02-26;;;;;;40;23:10;27;23:59;;;;;
9001S;2017-02-27;;;;;;89;18:40;34;18:30;;;;;
9001S;2017-02-28;;;;;;85;04:30;37;04:40;;;;;
9001S;2017-03-01;;;;;;75;11:00;34;15:10;;;;;
9001S;2017-03-02;;;;;;72;23:40;20;11:40;;;;;
9001S;2017-03-03;;;;;;97;06:10;31;09:00;;;;;
9001S;2017-03-04;;;;;;83;07:00;43;07:00;;;;;
9001S;2017-03-05;;;;;;58;02:30;35;05:20;;;;;
9001S;2017-03-06;;;;;;67;05:00;40;05:50;;;;;
9001S;2017-03-07;;;;;;;;;;;;;;
9001S;2017-03-08;16.1;15:00;5.2;02:00;10.7;34;23:59;20;00:20;;;;;
9001S;2017-03-09;17.5;15:50;7.4;20:30;12.5;51;04:10;24;04:20;;;;;
9001S;2017-03-10;18.7;15:40;8.4;06:40;13.6;43;21:00;28;21:20;;;;;
9001S;2017-03-11;13.1;11:40;4.1;23:59;8.6;34;00:20;22;00:10;;;;;
9001S;2017-03-12;4.3;09:10;-2.8;21:30;0.8;89;22:30;43;22:00;;;;;
9001S;2017-03-13;0.2;23:59;-3.4;05:10;-1.6;123;04:10;54;02:40;;;;;
9001S;2017-03-14;9.9;15:20;0.0;02:40;4.9;59;03:40;38;02:50;;;;;
9001S;2017-03-15;13.7;16:10;1.3;03:10;7.5;19;05:10;12;08:50;;;;;
9001S;2017-03-16;12.4;16:30;4.5;01:40;8.4;49;08:30;31;06:20;;;;;
9001S;2017-03-17;13.1;13:00;4.1;05:50;8.6;28;22:30;17;22:20;;;;;
9001S;2017-03-18;14.9;12:10;4.6;02:20;9.7;25;21:50;18;21:00;;;;;
9001S;2017-03-19;14.9;14:00;4.9;02:30;9.9;28;20:20;17;20:30;;;;;
9001S;2017-03-20;13.8;17:10;1.3;23:10;7.6;31;07:30;20;08:00;;;;;
9001S;2017-03-21;3.8;00:10;-0.6;20:10;1.6;39;23:00;22;11:10;;;;;
9001S;2017-03-22;0.0;00:00;-4.8;23:50;-2.4;61;06:50;29;01:20;;;;;
9001S;2017-03-23;-1.1;12:30;-6.4;05:50;-3.8;52;15:00;24;13:20;;;;;
9001S;2017-03-24;1.8;15:20;-4.6;06:20;-1.4;31;20:30;21;20:50;;;;;
9001S;2017-03-25;1.2;17:10;-3.2;07:50;-1;46;07:50;31;08:30;;;;;
9001S;2017-03-26;3.6;23:50;-2.2;05:30;0.7;70;13:40;32;21:00;;;;;
9001S;2017-03-27;4.0;02:40;0.7;10:30;2.3;66;04:40;31;14:20;0.5;0.4;0;0;0.1
