Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
9228J;2013-05-07;20.6;18:30;9.9;06:40;15.3;24;14:30;17;14:30;0.4;0;0.2;0;0.2
9228J;2013-05-08;17.1;17:10;10.5;07:30;13.8;38;11:50;20;11:50;1;0;0;1;0
9228J;2013-05-09;15.4;15:10;8.3;06:10;11.8;39;18:10;21;18:10;10.8;0;0;9.4;1.4
9228J;2013-05-10;13.2;17:00;7.5;23:59;10.3;42;22:10;27;19:20;0;0;0;0;0
9228J;2013-05-11;13.4;15:40;5.7;04:50;9.5;43;22:30;26;10:30;0;0;0;0;0
9228J;2013-05-12;11.3;16:10;6.4;03:00;8.9;57;18:30;28;18:40;0;0;0;0;0
9228J;2013-05-13;19.9;13:40;7.3;06:00;13.6;36;01:20;24;01:00;0;0;0;0;0
9228J;2013-05-14;20.8;16:20;3.2;07:00;12;47;15:10;26;13:40;7.8;0;0;0;7.8
9228J;2013-05-15;9.3;00:00;4.9;23:50;7.1;34;13:20;20;10:50;6.4;1.2;0.4;4.4;0.4
9228J;2013-05-16;12.0;17:40;2.5;04:10;7.3;35;13:20;19;16:30;0;0;0;0;0
9228J;2013-05-17;11.6;12:50;1.9;02:30;6.8;50;15:00;28;14:40;9;0.2;0.2;5;3.6
9228J;2013-05-18;7.0;20:20;0.8;10:10;3.9;38;17:30;14;17:30;41.8;15.2;10.4;14.6;1.6
9228J;2013-05-19;;;;;;;;;;;2.2;0.8;;
9228J;2013-05-20;13.2;13:10;0.6;07:00;6.9;34;16:00;22;16:00;0;0;0;0;0
9228J;2013-05-21;9.8;14:50;0.0;05:50;4.9;37;23:30;19;20:40;1.2;0;0.2;0.6;0.4
9228J;2013-05-22;11.0;18:50;7.4;02:10;9.2;35;23:30;19;18:10;5;1.4;1.8;0;1.8
9228J;2013-05-23;9.8;00:40;6.9;23:40;8.4;35;01:40;19;16:10;1.8;0.6;0.6;0.2;0.4
9228J;2013-05-24;10.0;16:00;3.6;07:30;6.8;39;11:40;20;11:40;5.4;2.6;2;0.4;0.4
9228J;2013-05-25;9.8;19:20;4.1;23:40;7;41;18:00;21;19:40;5;2.4;2.6;0;0
9228J;2013-05-26;21.4;17:30;-0.7;06:40;10.3;31;18:30;20;18:30;0;0;0;0;0
9228J;2013-05-27;18.7;18:40;6.8;06:10;12.8;51;12:00;24;12:00;2;0;0;0.4;1.6
9228J;2013-05-28;11.2;17:50;5.1;23:50;8.1;39;07:00;22;17:10;10.6;0.2;9.2;1;0.2
9228J;2013-05-29;10.7;16:00;3.3;03:20;7;36;17:30;25;17:30;4.8;0;2.8;1.8;0.2
9228J;2013-05-30;9.9;19:10;5.2;01:10;7.5;46;23:10;21;18:40;23.6;1.2;6.2;8;8.2
9228J;2013-05-31;11.3;14:30;8.0;01:30;9.7;38;07:50;19;14:10;33.6;7;13.8;9;3.8
9228J;2013-06-01;11.2;13:40;8.9;05:10;10;40;10:50;23;10:40;0.2;0.2;0;0;0
9228J;2013-06-02;12.1;11:30;9.2;00:40;10.7;46;21:30;30;08:30;0.2;0;0;0.2;0
9228J;2013-06-03;15.8;17:00;8.9;03:00;12.3;54;13:50;35;13:50;0;0;0;0;0
9228J;2013-06-04;22.4;13:50;4.8;07:10;13.6;39;00:10;26;19:50;0;0;0;0;0
9228J;2013-06-05;25.3;16:50;6.0;07:10;15.6;26;15:30;18;14:30;0;0;0;0;0
9228J;2013-06-06;25.3;14:20;8.0;06:40;16.6;57;18:50;31;18:50;0;0;0;0;0
9228J;2013-06-07;22.6;17:10;8.6;06:10;15.6;56;20:00;23;20:00;0;0;0;0;0
9228J;2013-06-08;12.1;00:00;9.0;07:40;10.6;30;03:40;18;03:40;35.4;9.8;2.8;8.8;14
9228J;2013-06-09;14.5;16:40;9.5;00:30;12;39;17:50;18;15:50;49.2;22;25.2;1;1
9228J;2013-06-10;20.3;17:20;10.9;07:40;15.6;24;16:50;16;18:40;0.4;0.4;0;0;0
9228J;2013-06-11;22.4;18:10;10.3;06:20;16.3;27;15:20;17;18:00;0;0;0;0;0
9228J;2013-06-12;28.8;18:10;10.6;06:10;19.7;25;13:40;15;13:20;0;0;0;0;0
9228J;2013-06-13;18.3;10:40;12.8;07:00;15.5;60;18:10;32;18:10;0.8;0;0.8;0;0
