Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
9698U;2013-05-07;23.2;14:40;12.7;06:50;18;42;01:10;26;14:50;0;0;0;0;0
9698U;2013-05-08;22.9;14:10;12.4;06:20;17.6;40;16:10;24;16:10;0.2;0;0;0.2;0
9698U;2013-05-09;19.8;14:50;13.6;23:10;16.7;23;20:20;15;20:10;1.8;0;0;0;1.8
9698U;2013-05-10;20.3;16:20;11.4;23:59;15.8;47;16:30;28;14:10;2;2;0;0;0
9698U;2013-05-11;20.5;17:30;6.4;06:20;13.5;55;15:10;32;15:20;0;0;0;0;0
9698U;2013-05-12;20.0;15:50;5.9;06:40;13;43;16:00;24;16:00;0;0;0;0;0
9698U;2013-05-13;22.7;18:10;6.6;07:10;14.7;45;15:40;27;15:50;0;0;0;0;0
9698U;2013-05-14;18.5;11:20;9.6;06:40;14.1;24;13:30;13;21:20;14.6;0;0;0.6;14
9698U;2013-05-15;12.2;12:40;7.2;23:40;9.7;25;21:40;14;14:50;20.2;1;4.2;7;8
9698U;2013-05-16;15.2;16:50;4.8;23:50;10;50;19:40;30;18:00;0.8;0.6;0.2;0;0
9698U;2013-05-17;16.1;15:30;2.2;05:30;9.2;49;17:10;32;17:10;10.4;0;0;3.2;7.2
9698U;2013-05-18;12.2;15:10;5.5;22:10;8.8;62;17:50;38;17:50;1.8;0.2;0.2;0.4;1
9698U;2013-05-19;14.0;13:00;3.1;06:30;8.5;32;15:10;19;14:40;1.2;0;0;1.2;0
9698U;2013-05-20;14.8;15:10;5.0;06:20;9.9;34;12:00;21;17:20;0;0;0;0;0
9698U;2013-05-21;18.0;16:50;3.7;06:00;10.9;38;18:10;23;18:20;0;0;0;0;0
9698U;2013-05-22;22.1;16:10;7.8;04:30;15;48;15:00;28;15:00;0;0;0;0;0
9698U;2013-05-23;22.5;16:40;7.6;05:50;15;50;15:10;29;15:10;0;0;0;0;0
9698U;2013-05-24;17.9;17:10;4.0;06:30;10.9;51;19:20;32;19:30;0;0;0;0;0
9698U;2013-05-25;19.5;16:10;2.1;06:30;10.8;50;15:20;28;16:30;0;0;0;0;0
9698U;2013-05-26;19.7;17:10;3.0;06:00;11.4;39;00:30;19;00:30;0;0;0;0;0
9698U;2013-05-27;17.2;13:50;8.9;23:59;13.1;35;14:50;27;19:40;8.2;0;0.4;7.6;0.2
9698U;2013-05-28;17.4;18:10;6.4;23:59;11.9;49;17:00;27;17:20;2;0.2;0;1.8;0
9698U;2013-05-29;16.1;15:10;2.5;06:50;9.3;63;14:20;39;13:50;0;0;0;0;0
9698U;2013-05-30;15.2;16:00;3.0;06:50;9.1;37;12:20;20;21:30;0.2;0;0;0;0.2
9698U;2013-05-31;19.8;15:40;6.5;05:50;13.1;57;14:40;32;16:00;0;0;0;0;0
9698U;2013-06-01;20.1;13:20;8.6;06:00;14.4;57;18:50;30;18:20;0;0;0;0;0
9698U;2013-06-02;22.1;12:20;10.5;06:10;16.3;48;21:00;27;18:10;0;0;0;0;0
9698U;2013-06-03;23.7;17:20;9.6;06:40;16.7;41;14:00;27;14:00;0;0;0;0;0
9698U;2013-06-04;24.4;17:00;9.8;05:30;17.1;44;13:20;24;15:00;0;0;0;0;0
9698U;2013-06-05;24.1;16:40;10.4;06:00;17.3;43;21:20;19;16:30;0;0;0;0;0
9698U;2013-06-06;26.5;16:30;9.2;06:50;17.8;53;19:20;36;19:30;2.4;0;0;0;2.4
9698U;2013-06-07;25.2;16:10;10.2;05:50;17.7;37;18:10;24;18:20;0;0;0;0;0
9698U;2013-06-08;17.9;16:30;4.3;08:00;11.1;71;08:10;46;08:10;17.4;0;17.4;0;0
9698U;2013-06-09;17.0;19:10;8.6;06:10;12.8;32;18:40;18;18:00;6.8;1.8;4.4;0.6;0
9698U;2013-06-10;24.0;15:40;7.3;06:40;15.7;41;15:50;24;16:10;0;0;0;0;0
9698U;2013-06-11;27.3;16:40;6.5;07:30;16.9;42;14:50;21;14:50;0;0;0;0;0
9698U;2013-06-12;28.5;18:10;7.1;05:50;17.8;36;13:10;19;15:40;0;0;0;0;0
9698U;2013-06-13;29.2;15:30;16.0;06:40;22.6;33;18:40;25;18:40;0;0;0;0;0
9698U;2013-06-14;;;;;;30;18:00;20;18:00;2;2;0;0;0
9698U;2013-06-15;30.0;17:20;16.8;05:40;23.4;36;17:10;21;18:50;0;0;0;0;0
9698U;2013-06-16;30.2;15:40;13.5;13:20;21.9;39;17:50;22;17:30;0;0;0;0;0
9698U;2013-06-17;;;;;;54;14:10;29;11:40;5.2;0;0;0;5.2
9698U;2013-06-18;;;;;;55;16:40;27;16:40;23.6;18;3.4;2.2;0
9698U;2013-06-19;;;;;;43;01:40;26;03:30;0.2;0.2;0;0;0
9698U;2013-06-20;;;;;;37;16:10;21;18:40;0.2;0.2;0;0;0
9698U;2013-06-21;21.7;17:20;9.6;05:40;15.7;35;18:40;18;18:30;0.2;0;0;0;0.2
9698U;2013-06-22;25.4;17:50;10.3;06:00;17.8;40;16:40;22;14:40;0;0;0;0;0
9698U;2013-06-23;25.5;16:10;13.1;06:10;19.3;48;17:20;30;17:20;0;0;0;0;0
9698U;2013-06-24;23.7;16:30;6.9;06:20;15.3;43;17:10;26;15:20;0;0;0;0;0
9698U;2013-06-25;25.2;17:50;9.6;06:50;17.4;47;16:00;24;16:00;0;0;0;0;0
9698U;2013-06-26;26.4;15:40;11.9;06:30;19.1;40;16:20;23;16:20;0;0;0;0;0
9698U;2013-06-27;25.9;16:10;11.3;06:30;18.6;42;13:50;28;16:20;0;0;0;0;0
9698U;2013-06-28;26.4;15:20;12.7;06:40;19.5;41;18:00;22;13:20;0;0;0;0;0
9698U;2013-06-29;28.2;17:20;12.8;05:20;20.5;41;14:40;25;21:10;0;0;0;0;0
9698U;2013-06-30;29.8;16:30;14.6;05:50;22.2;42;15:30;22;16:10;0;0;0;0;0
9698U;2013-07-01;29.8;16:50;13.8;23:59;21.8;58;18:50;33;19:50;1.8;0;0;0;1.8
9698U;2013-07-02;30.7;16:10;11.9;06:30;21.3;34;00:10;22;00:10;1.6;1.6;0;0;0
9698U;2013-07-03;31.4;19:40;16.1;05:50;23.8;40;13:10;25;15:30;0;0;0;0;0
