Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
9814A;2013-05-07;18.9;14:20;10.3;06:50;14.6;39;14:40;18;14:40;0;0;0;0;0
9814A;2013-05-08;18.4;11:30;11.1;07:30;14.8;35;13:30;18;13:30;1.6;0;0;1.6;0
9814A;2013-05-09;13.3;14:20;10.1;09:10;11.7;9;16:00;5;07:50;15;0;4.7;6.2;4.1
9814A;2013-05-10;18.6;15:20;6.3;07:40;12.5;33;16:40;18;16:30;0;0;0;0;0
9814A;2013-05-11;18.0;15:50;2.5;07:10;10.3;33;17:10;15;17:20;0;0;0;0;0
9814A;2013-05-12;19.6;15:50;2.1;07:30;10.9;27;14:50;14;17:10;0;0;0;0;0
9814A;2013-05-13;21.0;16:00;4.9;07:40;13;28;15:20;14;15:10;0;0;0;0;0
9814A;2013-05-14;16.4;13:00;6.5;06:10;11.4;27;13:40;12;13:40;4.1;0;0.1;4;0
9814A;2013-05-15;11.6;12:20;5.4;18:40;8.5;36;15:00;10;05:50;25.2;7.6;7.7;9.1;0.8
9814A;2013-05-16;11.0;11:50;2.0;08:20;6.5;36;14:30;17;17:20;0.2;0;0;0.1;0.1
9814A;2013-05-17;8.8;14:10;1.7;02:40;5.3;26;15:20;12;15:20;14.1;0;0.5;7.7;5.9
9814A;2013-05-18;5.4;16:10;1.1;02:30;3.3;24;01:50;11;01:50;27.9;13.2;3.8;6.9;4
9814A;2013-05-19;14.0;15:00;2.0;07:20;8;25;12:00;13;16:50;0;0;0;0;0
9814A;2013-05-20;12.5;12:50;4.1;07:00;8.3;25;14:10;15;14:00;2.4;0;0;1.9;0.5
9814A;2013-05-21;12.6;17:00;2.0;06:50;7.3;39;21:00;15;16:10;0;0;0;0;0
9814A;2013-05-22;14.6;16:00;8.2;06:50;11.4;43;23:00;12;13:00;0.4;0;0.3;0.1;0
9814A;2013-05-23;16.2;13:10;8.5;08:10;12.4;44;20:10;15;14:40;0;0;0;0;0
9814A;2013-05-24;12.4;15:40;2.5;06:00;7.4;51;12:40;17;04:00;0;0;0;0;0
9814A;2013-05-25;13.7;12:10;1.8;02:40;7.7;49;16:10;19;14:50;0;0;0;0;0
9814A;2013-05-26;18.6;16:30;-0.2;07:00;9.2;28;15:50;13;16:20;0;0;0;0;0
9814A;2013-05-27;12.5;16:30;7.1;23:59;9.8;25;14:50;14;14:50;8.3;0;0.1;4.1;4.1
9814A;2013-05-28;12.7;14:30;4.1;23:59;8.4;30;14:40;14;15:30;7;0;6.9;0.1;0
9814A;2013-05-29;10.4;16:10;0.6;06:30;5.5;36;15:10;17;16:50;0.7;0;0.4;0.3;0
9814A;2013-05-30;13.9;14:00;0.8;04:40;7.3;36;13:10;22;17:30;0.7;0;0;0;0.7
9814A;2013-05-31;12.9;13:00;5.2;06:20;9;53;11:40;14;03:00;7.3;0.7;5;1.3;0.3
9814A;2013-06-01;16.1;13:20;7.2;04:40;11.7;53;15:10;10;02:00;0.2;0.2;0;0;0
9814A;2013-06-02;18.5;13:10;6.2;07:10;12.3;47;21:10;10;12:50;0;0;0;0;0
9814A;2013-06-03;21.2;16:20;4.9;07:20;13.1;32;13:20;16;12:20;0;0;0;0;0
9814A;2013-06-04;22.5;15:50;7.5;07:50;15;26;15:40;13;15:50;0;0;0;0;0
9814A;2013-06-05;22.4;14:50;7.5;06:50;14.9;34;15:10;17;15:10;3.4;0;0;0.7;2.7
9814A;2013-06-06;;;;;;;;;;;0;0;;
9814A;2013-06-07;20.0;14:20;8.0;05:40;14;30;19:10;15;19:40;0.2;0;0;0.2;0
9814A;2013-06-08;15.0;00:10;5.0;10:30;10;36;10:50;19;07:50;36.7;0.5;19.5;9;7.7
9814A;2013-06-09;15.2;16:30;4.9;05:50;10;30;16:40;12;17:20;16.3;7.8;8.3;0.2;0
9814A;2013-06-10;20.8;16:00;6.4;06:40;13.6;27;11:00;11;14:10;0;0;0;0;0
9814A;2013-06-11;23.3;14:10;8.6;02:50;15.9;34;18:40;15;18:30;0;0;0;0;0
9814A;2013-06-12;26.7;15:40;10.2;07:00;18.5;26;16:40;11;18:10;0;0;0;0;0
9814A;2013-06-13;25.7;14:10;12.2;07:50;19;30;14:30;16;14:00;17.9;0;0;0;17.9
