Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
B228;2013-05-07;26.8;15:20;15.4;07:10;21.1;30;13:20;14;13:30;0;0;0;0;0
B228;2013-05-08;23.6;12:30;16.2;07:10;19.9;23;14:40;12;14:40;0;0;0;0;0
B228;2013-05-09;25.1;12:40;17.9;06:00;21.5;21;16:10;9;14:20;0;0;0;0;0
B228;2013-05-10;23.5;14:50;16.2;23:20;19.9;36;11:40;21;11:30;0;0;0;0;0
B228;2013-05-11;20.9;12:50;15.9;06:30;18.4;26;15:10;14;15:10;0;0;0;0;0
B228;2013-05-12;20.1;16:30;14.2;06:50;17.2;34;15:50;18;15:30;0;0;0;0;0
B228;2013-05-13;19.5;16:20;13.5;06:50;16.5;30;16:30;15;15:00;0;0;0;0;0
B228;2013-05-14;21.2;11:00;15.7;07:20;18.5;43;18:50;15;16:50;0;0;0;0;0
B228;2013-05-15;19.7;13:40;16.7;07:10;18.2;21;18:20;11;16:20;0;0;0;0;0
B228;2013-05-16;;;;;;;;;;;;;;
B228;2013-05-17;;;;;;;;;;;;0;0;0
B228;2013-05-18;18.8;15:40;16.0;07:30;17.4;50;04:10;26;04:00;0.2;0.2;0;0;0
B228;2013-05-19;19.2;13:50;15.0;07:00;17.1;33;00:10;15;14:20;0;0;0;0;0
B228;2013-05-20;18.1;17:30;14.1;07:00;16.1;24;18:20;14;18:20;0;0;0;0;0
B228;2013-05-21;17.8;11:40;14.1;15:40;15.9;49;13:10;23;12:20;3.3;0;0;3.3;0
B228;2013-05-22;22.8;17:40;15.0;03:50;18.9;39;08:30;15;13:20;0.5;0.5;0;0;0
B228;2013-05-23;20.2;12:50;14.8;07:00;17.5;28;14:30;13;13:40;0;0;0;0;0
B228;2013-05-24;19.0;18:40;14.1;06:00;16.6;37;15:10;21;16:20;0;0;0;0;0
B228;2013-05-25;19.5;16:50;13.3;06:40;16.4;39;12:40;18;12:50;0;0;0;0;0
B228;2013-05-26;18.8;13:40;13.0;06:40;15.9;26;18:20;16;13:50;0;0;0;0;0
B228;2013-05-27;18.9;14:00;14.1;06:00;16.5;21;09:50;12;09:50;0;0;0;0;0
B228;2013-05-28;23.6;16:20;14.2;06:30;18.9;39;15:50;14;22:30;0;0;0;0;0
B228;2013-05-29;20.1;16:10;14.9;06:40;17.5;39;11:00;18;11:30;0;0;0;0;0
B228;2013-05-30;20.0;16:50;13.5;08:30;16.8;40;15:40;19;15:40;0.3;0;0.3;0;0
B228;2013-05-31;20.6;15:20;15.8;06:40;18.2;42;10:20;19;18:10;0;0;0;0;0
B228;2013-06-01;23.9;15:20;16.6;06:20;20.3;37;03:10;17;03:00;0;0;0;0;0
B228;2013-06-02;24.7;14:40;16.0;05:30;20.4;30;16:40;17;15:40;0;0;0;0;0
B228;2013-06-03;21.5;11:50;14.7;06:30;18.1;30;17:40;17;17:50;0;0;0;0;0
B228;2013-06-04;21.2;17:20;14.1;06:50;17.7;26;16:10;12;14:50;0;0;0;0;0
B228;2013-06-05;24.2;12:10;16.6;06:10;20.4;32;14:20;17;14:20;0;0;0;0;0
B228;2013-06-06;24.9;11:10;16.4;06:20;20.6;26;14:20;13;14:20;0;0;0;0;0
B228;2013-06-07;21.8;15:00;16.0;06:40;18.9;21;13:00;12;15:30;0;0;0;0;0
B228;2013-06-08;23.1;13:40;18.2;07:50;20.7;32;14:40;18;09:40;1.8;1.6;0.2;0;0
B228;2013-06-09;22.4;15:30;17.6;08:10;20;40;15:20;17;17:40;0;0;0;0;0
B228;2013-06-10;26.0;15:50;17.6;06:10;21.8;30;20:50;14;10:50;0;0;0;0;0
B228;2013-06-11;23.9;16:20;17.3;06:10;20.6;32;14:20;18;14:10;0;0;0;0;0
B228;2013-06-12;24.5;16:20;18.7;06:40;21.6;22;13:10;13;15:30;0;0;0;0;0
B228;2013-06-13;25.7;15:30;17.8;06:30;21.8;23;17:00;13;17:30;0;0;0;0;0
B228;2013-06-14;26.4;11:00;19.8;06:20;23.1;25;13:40;14;13:10;0;0;0;0;0
B228;2013-06-15;28.0;12:20;19.2;06:20;23.6;30;16:50;14;15:40;0;0;0;0;0
B228;2013-06-16;30.5;12:00;21.8;05:50;26.1;28;16:20;11;16:30;0;0;0;0;0
B228;2013-06-17;30.6;11:00;21.8;22:40;26.2;27;16:10;13;16:10;0;0;0;0;0
B228;2013-06-18;25.1;00:30;20.7;21:40;22.9;26;01:40;14;01:40;0;0;0;0;0
B228;2013-06-19;25.2;15:40;18.6;06:30;21.9;34;18:10;16;17:10;;0;;0;0
B228;2013-06-20;24.1;18:10;17.1;06:30;20.6;32;15:50;17;15:40;0;0;0;0;0
B228;2013-06-21;;;;;;;;;;;0;;0;0
B228;2013-06-22;24.9;10:00;20.0;06:30;22.4;28;12:40;15;14:00;0;0;0;0;0
B228;2013-06-23;23.7;14:10;18.7;06:50;21.2;30;15:40;16;15:30;0;0;0;0;0
B228;2013-06-24;23.2;10:40;19.6;23:10;21.4;28;04:00;13;04:00;0;0;0;0;0
B228;2013-06-25;22.7;16:50;18.8;06:50;20.8;24;00:10;12;00:20;0;0;0;0;0
B228;2013-06-26;22.9;13:20;17.9;06:30;20.4;32;16:00;17;15:00;0;0;0;0;0
B228;2013-06-27;27.0;14:10;16.5;06:40;21.8;29;17:40;15;17:10;0;0;0;0;0
B228;2013-06-28;23.9;13:30;18.3;06:50;21.1;32;15:20;18;16:10;0;0;0;0;0
B228;2013-06-29;25.2;12:50;18.4;07:20;21.8;30;15:00;15;14:50;0;0;0;0;0
B228;2013-06-30;24.7;10:50;18.8;06:50;21.8;25;14:00;14;14:00;0;0;0;0;0
B228;2013-07-01;26.7;13:20;18.4;06:40;22.6;27;14:10;14;14:30;0;0;0;0;0
B228;2013-07-02;25.2;11:50;19.2;06:40;22.2;25;15:40;14;12:30;0;0;0;0;0
B228;2013-07-03;25.3;15:10;21.0;07:10;23.1;29;13:20;14;16:20;;0;;0;0
B228;2013-07-04;26.7;10:00;21.5;06:40;24.1;26;15:00;15;17:00;0;0;0;0;0
B228;2013-07-05;28.5;13:20;20.2;06:50;24.4;24;13:30;12;14:00;0;0;0;0;0
B228;2013-07-06;27.4;15:20;19.5;05:30;23.4;24;14:30;13;16:10;0;0;0;0;0
B228;2013-07-07;30.5;16:00;19.7;06:40;25.1;22;16:50;10;14:20;0;0;0;0;0
B228;2013-07-08;28.7;11:10;21.2;06:10;25;26;14:30;14;14:30;0;0;0;0;0
B228;2013-07-09;28.9;12:40;21.2;06:00;25.1;29;13:50;16;14:10;0;0;0;0;0
B228;2013-07-10;27.1;14:10;22.0;05:40;24.6;28;14:20;14;15:30;0;0;0;0;0
B228;2013-07-11;27.2;15:50;22.7;05:10;25;26;16:20;13;15:10;0.3;0.3;0;0;0
B228;2013-07-12;27.7;13:00;21.7;06:40;24.7;26;14:30;13;14:50;0;0;0;0;0
