Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
B410B;2015-06-02;26.0;15:30;14.8;07:00;20.4;;;;;0;0;0;0;0
B410B;2015-06-03;27.1;13:20;16.4;06:00;21.8;;;;;0;0;0;0;0
B410B;2015-06-04;28.1;12:10;16.8;06:20;22.4;;;;;0;0;0;0;0
B410B;2015-06-05;27.7;11:50;17.5;06:30;22.6;;;;;0;0;0;0;0
B410B;2015-06-06;27.9;11:40;16.0;03:00;21.9;;;;;0;0;0;0;0
B410B;2015-06-07;30.2;14:50;16.2;04:00;23.2;;;;;0;0;0;0;0
B410B;2015-06-08;27.6;13:50;16.7;06:30;22.2;;;;;0;0;0;0;0
B410B;2015-06-09;28.1;14:50;17.0;05:40;22.6;;;;;0;0;0;0;0
B410B;2015-06-10;28.2;14:00;19.9;04:40;24.1;;;;;0;0;0;0;0
B410B;2015-06-11;26.3;14:30;22.1;04:40;24.2;;;;;0;0;0;0;0
B410B;2015-06-12;27.8;14:40;20.3;23:50;24;;;;;0.2;0;0;0.2;0
B410B;2015-06-13;27.6;14:40;18.1;07:10;22.9;;;;;0;0;0;0;0
B410B;2015-06-14;27.8;12:40;18.9;06:20;23.3;;;;;0;0;0;0;0
B410B;2015-06-15;25.9;12:30;17.9;05:20;21.9;;;;;0;0;0;0;0
B410B;2015-06-16;26.1;13:40;16.6;23:10;21.4;;;;;7.2;3.4;0.4;1.4;2
B410B;2015-06-17;25.6;13:00;14.9;04:00;20.3;;;;;0;0;0;0;0
B410B;2015-06-18;27.9;14:50;15.8;04:20;21.8;;;;;0;0;0;0;0
B410B;2015-06-19;28.6;15:30;18.0;02:10;23.3;;;;;0;0;0;0;0
B410B;2015-06-20;28.2;16:10;17.3;06:50;22.8;;;;;0;0;0;0;0
B410B;2015-06-21;27.2;14:40;17.9;04:10;22.6;;;;;0;0;0;0;0
B410B;2015-06-22;27.6;14:00;18.5;05:20;23.1;;;;;0;0;0;0;0
B410B;2015-06-23;30.7;16:30;20.0;05:30;25.4;;;;;0;0;0;0;0
B410B;2015-06-24;27.5;17:10;19.6;04:00;23.6;;;;;0;0;0;0;0
B410B;2015-06-25;30.4;13:50;17.0;06:00;23.7;;;;;0;0;0;0;0
B410B;2015-06-26;29.3;12:50;18.0;04:00;23.6;;;;;0;0;0;0;0
B410B;2015-06-27;32.5;16:20;18.0;05:00;25.3;;;;;0;0;0;0;0
B410B;2015-06-28;31.4;12:40;18.7;05:30;25.1;;;;;0;0;0;0;0
B410B;2015-06-29;31.9;11:40;18.6;06:30;25.3;;;;;0;0;0;0;0
B410B;2015-06-30;30.1;15:40;19.6;05:30;24.9;;;;;0;0;0;0;0
B410B;2015-07-01;29.8;12:20;23.0;05:30;26.4;;;;;0;0;0;0;0
B410B;2015-07-02;29.6;14:20;23.0;06:30;26.3;;;;;0;0;0;0;0
B410B;2015-07-03;30.9;15:00;23.1;06:10;27;;;;;0;0;0;0;0
B410B;2015-07-04;31.8;13:40;23.3;05:10;27.5;;;;;0;0;0;0;0
B410B;2015-07-05;31.8;13:10;23.2;06:00;27.5;;;;;0;0;0;0;0
B410B;2015-07-06;33.5;14:10;22.6;05:40;28.1;;;;;0;0;0;0;0
B410B;2015-07-07;32.4;17:00;22.1;04:10;27.3;;;;;0;0;0;0;0
B410B;2015-07-08;31.4;11:50;22.1;04:00;26.8;;;;;0;0;0;0;0
B410B;2015-07-09;28.4;16:00;22.8;23:50;25.6;;;;;0;0;0;0;0
B410B;2015-07-10;30.9;17:10;20.2;06:40;25.6;;;;;0;0;0;0;0
B410B;2015-07-11;30.7;13:50;21.4;06:40;26.1;;;;;0;0;0;0;0
B410B;2015-07-12;29.7;16:00;21.7;06:00;25.7;;;;;0;0;0;0;0
B410B;2015-07-13;30.4;15:40;21.4;06:20;25.9;;;;;0;0;0;0;0
B410B;2015-07-14;30.8;16:40;21.5;03:40;26.1;;;;;0;0;0;0;0
B410B;2015-07-15;31.7;14:00;21.2;06:30;26.5;;;;;0;0;0;0;0
B410B;2015-07-16;29.6;12:40;22.3;07:00;25.9;;;;;0;0;0;0;0
B410B;2015-07-17;30.1;15:20;22.7;07:00;26.4;;;;;0;0;0;0;0
B410B;2015-07-18;30.3;14:50;22.0;07:20;26.1;;;;;0;0;0;0;0
B410B;2015-07-19;32.4;14:00;22.0;06:40;27.2;;;;;0;0;0;0;0
B410B;2015-07-20;32.6;14:20;22.5;06:30;27.5;;;;;0;0;0;0;0
B410B;2015-07-21;32.9;12:50;23.1;06:30;28;;;;;0;0;0;0;0
B410B;2015-07-22;31.9;13:00;23.8;08:00;27.8;;;;;0.5;0.5;0;0;0
B410B;2015-07-23;31.9;13:30;24.7;06:40;28.3;;;;;0;0;0;0;0
B410B;2015-07-24;31.4;13:10;22.5;06:40;26.9;;;;;0;0;0;0;0
B410B;2015-07-25;30.0;13:30;24.6;07:00;27.3;;;;;0;0;0;0;0
B410B;2015-07-26;30.5;15:30;22.1;07:00;26.3;;;;;0;0;0;0;0
B410B;2015-07-27;31.2;16:40;23.6;06:20;27.4;;;;;0;0;0;0;0
B410B;2015-07-28;30.1;16:20;25.9;01:20;28;;;;;0;0;0;0;0
B410B;2015-07-29;30.7;15:50;24.8;04:50;27.8;;;;;0;0;0;0;0
B410B;2015-07-30;30.0;14:10;24.4;23:59;27.2;;;;;0;0;0;0;0
B410B;2015-07-31;29.4;16:20;21.9;04:10;25.6;;;;;0;0;0;0;0
B410B;2015-08-01;29.1;16:40;20.8;08:30;24.9;;;;;9.6;0;9.6;0;0
B410B;2015-08-02;;;;;;;;;;;;;;
B410B;2015-08-03;29.9;14:30;20.9;05:30;25.4;;;;;0;0;0;0;0
B410B;2015-08-04;30.0;17:00;22.9;05:30;26.4;;;;;0;0;0;0;0
B410B;2015-08-05;30.5;17:20;21.9;05:50;26.2;;;;;0;0;0;0;0
B410B;2015-08-06;31.6;16:10;23.0;05:50;27.3;;;;;0;0;0;0;0
B410B;2015-08-07;33.9;14:10;23.3;04:30;28.6;;;;;0;0;0;0;0
