Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
B614E;2013-05-07;27.1;14:40;12.2;05:00;19.7;35;10:00;22;10:00;0;0;0;0;0
B614E;2013-05-08;28.5;13:10;13.4;06:40;20.9;21;00:10;13;00:10;0;0;0;0;0
B614E;2013-05-09;26.8;18:00;15.2;04:20;21;25;16:40;15;18:30;0;0;0;0;0
B614E;2013-05-10;22.9;13:40;12.4;06:10;17.6;40;10:50;23;10:20;0;0;0;0;0
B614E;2013-05-11;21.4;14:30;11.6;02:10;16.5;26;16:30;13;15:40;0;0;0;0;0
B614E;2013-05-12;21.2;16:50;10.0;07:00;15.6;37;17:40;23;16:50;0;0;0;0;0
B614E;2013-05-13;23.9;15:30;9.9;05:40;16.9;34;15:40;22;15:40;0;0;0;0;0
B614E;2013-05-14;21.1;11:30;10.9;06:40;16;31;14:50;18;15:20;0;0;0;0;0
B614E;2013-05-15;20.3;15:00;12.7;03:40;16.5;27;19:00;17;19:10;1;0;0;1;0
B614E;2013-05-16;18.5;19:10;11.4;23:40;14.9;33;10:40;18;10:30;4.2;0;0;4.2;0
B614E;2013-05-17;20.8;16:10;10.5;07:40;15.6;55;18:30;33;18:20;1;0;0.2;0;0.8
B614E;2013-05-18;19.5;15:40;14.2;10:40;16.8;54;04:30;35;15:20;6.8;0.4;6.2;0.2;0
B614E;2013-05-19;;;;;;;;;;;0;0;;
B614E;2013-05-20;;;;;;;;;;;;;;
B614E;2013-05-21;;;;;;;;;;;;;;3.4
B614E;2013-05-22;23.7;17:30;11.8;06:40;17.8;41;22:50;28;22:50;0.8;0.8;0;0;0
B614E;2013-05-23;21.4;11:10;11.2;06:50;16.3;42;17:10;26;16:00;0;0;0;0;0
B614E;2013-05-24;18.8;11:50;9.5;06:50;14.1;31;12:30;16;14:10;0;0;0;0;0
B614E;2013-05-25;22.0;17:00;8.2;05:00;15.1;41;14:00;21;13:00;0;0;0;0;0
B614E;2013-05-26;19.5;16:00;8.4;03:40;13.9;33;15:20;17;11:10;0;0;0;0;0
B614E;2013-05-27;18.2;17:50;9.8;05:50;14;30;11:30;15;22:40;0;0;0;0;0
B614E;2013-05-28;24.3;17:00;13.8;06:50;19;46;15:10;29;16:40;0;0;0;0;0
B614E;2013-05-29;20.3;18:30;12.4;05:40;16.3;37;17:10;22;17:50;0;0;0;0;0
