Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
B684A;2013-05-09;22.8;15:30;10.0;06:50;16.4;;;;;0;0;0;0;0
B684A;2013-05-10;;;;;;;;;;;0;0;0;
B684A;2013-05-11;;;;;;;;;;;0.2;0;0;
B684A;2013-05-12;;;;;;;;;;;0;0;;
B684A;2013-05-13;;;;;;;;;;;0;0;0;
B684A;2013-05-14;19.1;16:00;5.1;06:20;12.1;;;;;0;0;0;0;0
B684A;2013-05-15;;;;;;;;;;;0;0;0;
B684A;2013-05-16;;;;;;;;;;;3.2;2.8;;
B684A;2013-05-17;;;;;;;;;;;0.4;0.2;;
B684A;2013-05-18;;;;;;;;;;;7.4;0.4;;
B684A;2013-05-19;;;;;;;;;;;0;0;;
B684A;2013-05-20;;;;;;;;;;;;;;
B684A;2013-05-21;;;;;;;;;;;;;;
B684A;2013-05-22;;;;;;;;;;;0.2;0;;
B684A;2013-05-23;;;;;;;;;;;0;0;;
B684A;2013-05-24;;;;;;;;;;;0;0;;
B684A;2013-05-25;;;;;;;;;;;0;0;;
B684A;2013-05-26;;;;;;;;;;;0;0;;
B684A;2013-05-27;;;;;;;;;;;0;0;;
B684A;2013-05-28;;;;;;;;;;;0;0;0;
B684A;2013-05-29;;;;;;;;;;;0;0;;
B684A;2013-05-30;;;;;;;;;;;0;1.4;;
B684A;2013-05-31;;;;;;;;;;;0;0;;
B684A;2013-06-01;18.3;16:20;9.2;06:30;13.7;;;;;0.4;0.4;0;0;0
B684A;2013-06-02;;;;;;;;;;;0;0;0;
B684A;2013-06-03;;;;;;;;;;;0;0;0;
B684A;2013-06-04;;;;;;;;;;;0;0;0;
B684A;2013-06-05;;;;;;;;;;;0;0;0;
B684A;2013-06-06;23.4;15:40;6.8;05:00;15.1;;;;;0;0;0;0;0
B684A;2013-06-07;22.2;14:30;7.4;05:10;14.8;;;;;0;0;0;0;0
B684A;2013-06-08;;;;;;;;;;;2.2;0.2;0;
B684A;2013-06-09;;;;;;;;;;;0;0;0;
B684A;2013-06-10;20.6;14:50;9.4;23:30;15;;;;;0;0;0;0;0
B684A;2013-06-11;;;;;;;;;;;0;0;0;
B684A;2013-06-12;26.5;14:40;10.1;06:10;18.3;;;;;0;0;0;0;0
B684A;2013-06-13;27.3;15:50;10.5;06:30;18.9;;;;;0;0;0;0;0
B684A;2013-06-14;27.4;15:00;10.8;06:30;19.1;;;;;0;0;0;0;0
B684A;2013-06-15;29.5;16:10;10.8;06:30;20.2;;;;;0;0;0;0;0
B684A;2013-06-16;29.1;17:20;13.1;05:00;21.1;;;;;0;0;0;0;0
B684A;2013-06-17;32.8;15:40;17.3;05:50;25;;;;;0;0;0;0;0
B684A;2013-06-18;25.4;16:30;14.8;22:10;20.1;;;;;0;0;0;0;0
B684A;2013-06-19;21.8;14:20;9.0;06:00;15.4;;;;;0;0;0;0;0
B684A;2013-06-20;;;;;;;;;;;0;0;0;
B684A;2013-06-21;24.4;13:30;9.0;06:20;16.7;;;;;0;0;0;0;0
B684A;2013-06-22;;;;;;;;;;;0;0;0;
B684A;2013-06-23;24.5;14:50;7.3;03:00;15.9;;;;;0;0;0;0;0
B684A;2013-06-24;18.6;15:20;11.4;23:30;15;;;;;0;0;0;0;0
B684A;2013-06-25;18.0;14:50;9.7;04:20;13.8;;;;;0;0;0;0;0
B684A;2013-06-26;;;;;;;;;;;0;0;0;
B684A;2013-06-27;;;;;;;;;;;0;0;0;
B684A;2013-06-28;;;;;;;;;;;0;0;0;
B684A;2013-06-29;22.9;17:20;7.9;06:20;15.4;;;;;0;0;0;0;0
B684A;2013-06-30;24.8;16:30;9.1;06:20;16.9;;;;;0;0;0;0;0
B684A;2013-07-01;26.2;14:50;12.3;00:10;19.3;;;;;0;0;0;0;0
B684A;2013-07-02;25.4;15:10;9.1;06:50;17.3;;;;;0;0;0;0;0
B684A;2013-07-03;25.7;13:30;11.1;04:50;18.4;;;;;0;0;0;0;0
B684A;2013-07-04;23.9;14:10;12.7;06:40;18.3;;;;;0;0;0;0;0
