Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
B691Y;2013-05-07;29.8;15:30;12.7;03:30;21.2;35;16:40;18;16:40;0;0;0;0;0
B691Y;2013-05-08;29.8;12:50;14.0;06:50;21.9;28;14:40;18;14:40;0;0;0;0;0
B691Y;2013-05-09;30.4;16:30;14.6;07:10;22.5;33;17:40;17;17:40;0;0;0;0;0
B691Y;2013-05-10;22.2;14:10;13.4;05:10;17.8;46;12:00;25;08:30;0;0;0;0;0
B691Y;2013-05-11;21.8;14:50;11.1;03:50;16.4;63;14:40;12;15:20;0;0;0;0;0
B691Y;2013-05-12;23.1;13:00;10.3;07:10;16.7;29;14:10;16;14:30;0;0;0;0;0
B691Y;2013-05-13;23.8;14:30;8.3;06:40;16;30;14:50;17;13:50;0;0;0;0;0
B691Y;2013-05-14;25.0;15:00;10.8;07:00;17.9;42;14:50;22;16:10;0;0;0;0;0
B691Y;2013-05-15;22.6;14:40;11.9;03:40;17.3;78;15:20;16;18:20;0;0;0;0;0
B691Y;2013-05-16;18.6;18:10;10.9;23:59;14.8;41;08:50;25;10:50;3.8;2;0;1.8;0
B691Y;2013-05-17;21.4;14:50;8.6;07:10;15;52;18:30;27;18:30;10;9.8;0;0.2;0
B691Y;2013-05-18;20.1;16:40;12.8;01:00;16.5;60;16:10;28;14:10;2.6;1.4;1.2;0;0
B691Y;2013-05-19;21.9;14:00;11.7;05:30;16.8;47;16:30;23;16:20;0;0;0;0;0
B691Y;2013-05-20;20.0;13:00;9.7;03:50;14.8;32;17:30;22;17:30;0;0;0;0;0
B691Y;2013-05-21;;;;;;;;;;;0;0.4;;
B691Y;2013-05-22;;;;;;;;;;;;;;
B691Y;2013-05-23;;;;;;;;;;;;;;
B691Y;2013-05-24;;;;;;;;;;;;0;0;0
B691Y;2013-05-25;21.6;17:40;8.6;06:10;15.1;49;13:20;25;13:10;0;0;0;0;0
B691Y;2013-05-26;22.3;15:50;8.3;06:40;15.3;39;19:20;24;18:50;0;0;0;0;0
B691Y;2013-05-27;20.6;16:50;9.6;06:50;15.1;28;17:40;15;13:10;0.6;0;0;0;0.6
B691Y;2013-05-28;26.2;16:20;12.6;06:00;19.4;45;11:10;22;15:10;0.4;0.2;0;0;0.2
B691Y;2013-05-29;21.2;17:10;11.5;06:40;16.4;43;18:40;20;15:10;0.2;0;0;0.2;0
B691Y;2013-05-30;23.2;15:20;9.3;05:00;16.3;42;16:20;24;15:50;0.4;0;0.4;0;0
B691Y;2013-05-31;24.0;18:10;10.5;06:00;17.3;33;15:30;19;15:20;0;0;0;0;0
B691Y;2013-06-01;28.5;15:50;14.8;05:00;21.7;37;18:20;21;18:20;0;0;0;0;0
B691Y;2013-06-02;27.9;15:30;11.6;06:00;19.8;37;16:40;21;16:40;0;0;0;0;0
B691Y;2013-06-03;26.7;13:50;11.4;05:40;19.1;37;14:10;18;14:10;0;0;0;0;0
B691Y;2013-06-04;25.9;14:00;10.8;06:30;18.3;30;16:40;18;14:10;0;0;0;0;0
B691Y;2013-06-05;26.4;14:40;11.7;06:10;19;32;14:10;19;14:50;0;0;0;0;0
B691Y;2013-06-06;27.9;14:50;12.2;04:10;20;33;16:20;19;16:10;0;0;0;0;0
B691Y;2013-06-07;29.4;14:30;12.8;05:50;21.1;32;16:50;20;16:00;0;0;0;0;0
B691Y;2013-06-08;26.5;16:00;16.9;23:59;21.7;49;16:50;23;12:20;1;0.8;0.2;0;0
B691Y;2013-06-09;25.3;12:40;14.9;02:30;20.1;58;17:10;28;14:40;0.2;0;0.2;0;0
B691Y;2013-06-10;25.6;17:40;14.3;05:30;20;28;14:30;15;13:30;0;0;0;0;0
B691Y;2013-06-11;30.4;16:20;12.7;06:10;21.5;40;13:20;21;14:00;0;0;0;0;0
B691Y;2013-06-12;30.3;17:40;15.3;06:50;22.8;32;13:10;20;13:10;0;0;0;0;0
B691Y;2013-06-13;33.1;15:10;14.5;06:20;23.8;39;14:50;20;16:40;0;0;0;0;0
B691Y;2013-06-14;32.3;13:20;17.5;03:10;24.9;32;14:50;18;14:40;0;0;0;0;0
B691Y;2013-06-15;35.2;14:50;15.4;06:30;25.3;38;16:00;25;16:40;0;0;0;0;0
B691Y;2013-06-16;34.5;16:10;16.9;06:20;25.7;36;13:40;20;16:30;0;0;0;0;0
B691Y;2013-06-17;38.0;15:50;17.3;06:30;27.6;39;16:50;23;17:00;0;0;0;0;0
B691Y;2013-06-18;28.4;15:40;20.3;06:30;24.3;36;14:30;17;15:50;0;0;0;0;0
B691Y;2013-06-19;29.6;13:10;16.2;06:50;22.9;38;18:50;20;15:50;0;0;0;0;0
B691Y;2013-06-20;28.0;13:10;13.1;06:40;20.6;37;13:30;21;13:30;0;0;0;0;0
B691Y;2013-06-21;29.6;14:00;14.0;06:30;21.8;31;14:40;19;15:20;0;0;0;0;0
B691Y;2013-06-22;28.0;13:50;16.4;06:20;22.2;33;14:30;17;14:00;0;0;0;0;0
B691Y;2013-06-23;29.5;12:50;14.7;06:10;22.1;39;15:30;28;16:20;0;0;0;0;0
B691Y;2013-06-24;23.6;15:50;17.9;23:50;20.8;32;15:50;19;10:40;0.4;0.4;0;0;0
B691Y;2013-06-25;25.2;17:00;17.4;07:10;21.3;28;15:40;14;15:40;0;0;0;0;0
B691Y;2013-06-26;26.3;15:30;13.8;06:30;20;38;14:40;22;16:50;0;0;0;0;0
B691Y;2013-06-27;26.1;15:30;11.3;06:40;18.7;35;12:00;19;10:00;0;0;0;0;0
B691Y;2013-06-28;26.0;14:30;14.2;06:50;20.1;33;18:40;18;18:10;0;0;0;0;0
B691Y;2013-06-29;29.3;16:00;14.4;06:10;21.8;30;15:40;15;17:40;0;0;0;0;0
B691Y;2013-06-30;27.9;15:20;15.3;06:00;21.6;36;16:20;19;15:40;0;0;0;0;0
B691Y;2013-07-01;29.2;15:00;14.0;06:40;21.6;37;14:20;20;14:10;0;0;0;0;0
B691Y;2013-07-02;30.0;17:30;17.1;06:50;23.6;33;15:00;22;15:20;0;0;0;0;0
