Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
B860X;2013-05-07;23.2;16:40;13.7;02:50;18.5;;;;;0;0;0;0;0
B860X;2013-05-08;25.3;15:20;14.5;04:20;19.9;;;;;0;0;0;0;0
B860X;2013-05-09;25.6;15:20;16.2;07:10;20.9;;;;;0;0;0;0;0
B860X;2013-05-10;20.3;15:20;13.3;23:50;16.8;;;;;0;0;0;0;0
B860X;2013-05-11;21.4;15:40;12.7;05:00;17;;;;;0;0;0;0;0
B860X;2013-05-12;20.5;16:40;12.5;23:59;16.5;;;;;0;0;0;0;0
B860X;2013-05-13;21.0;15:10;9.9;04:50;15.4;;;;;0;0;0;0;0
B860X;2013-05-14;21.4;14:30;12.9;05:30;17.1;;;;;0;0;0;0;0
B860X;2013-05-15;20.4;16:00;15.2;04:10;17.8;;;;;0.6;0;0;0.6;0
B860X;2013-05-16;17.3;01:20;10.7;23:10;14;;;;;10.2;0;3.6;6.6;0
B860X;2013-05-17;19.8;13:40;11.2;00:00;15.5;;;;;0.4;0;0.4;0;0
B860X;2013-05-18;19.0;17:10;14.5;08:10;16.8;;;;;8.4;0.2;8.2;0;0
B860X;2013-05-19;;;;;;;;;;;0;0;;
B860X;2013-05-20;20.5;16:40;10.9;02:30;15.7;;;;;1.6;0;0;1.6;0
B860X;2013-05-21;17.1;14:00;10.1;02:40;13.6;;;;;0;0;0;0;0
B860X;2013-05-22;20.1;14:40;14.9;01:10;17.5;;;;;0.6;0;0;0;0.6
B860X;2013-05-23;20.1;16:10;14.0;03:50;17.1;;;;;4.4;4.4;0;0;0
B860X;2013-05-24;17.3;12:00;10.6;22:40;13.9;;;;;0;0;0;0;0
B860X;2013-05-25;18.3;19:20;10.9;00:00;14.6;;;;;0.2;0;0.2;0;0
B860X;2013-05-26;19.7;14:40;9.2;06:30;14.5;;;;;0;0;0;0;0
B860X;2013-05-27;19.2;11:20;10.3;06:00;14.8;;;;;0;0;0;0;0
B860X;2013-05-28;21.7;13:30;14.1;23:59;17.9;;;;;0;0;0;0;0
B860X;2013-05-29;18.8;14:40;10.3;06:40;14.5;;;;;0;0;0;0;0
B860X;2013-05-30;19.0;14:50;13.2;05:50;16.1;;;;;0;0;0;0;0
B860X;2013-05-31;20.2;14:10;15.2;06:40;17.7;;;;;0;0;0;0;0
B860X;2013-06-01;21.1;16:10;15.4;01:20;18.3;;;;;0.2;0.2;0;0;0
B860X;2013-06-02;23.5;17:10;14.5;06:50;19;;;;;0;0;0;0;0
B860X;2013-06-03;;;;;;;;;;;0;0;0;
B860X;2013-06-04;;;;;;;;;;;0;0;0;
B860X;2013-06-05;;;;;;;;;;;0;0;0;
B860X;2013-06-06;;;;;;;;;;;0;0;0;
B860X;2013-06-07;25.4;15:50;15.5;05:30;20.4;;;;;0;0;0;0;0
B860X;2013-06-08;23.6;15:00;15.4;23:59;19.5;;;;;0.2;0;0.2;0;0
B860X;2013-06-09;23.6;15:20;14.5;01:10;19.1;;;;;0;0;0;0;0
