Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
B870C;2015-07-07;;;;;;;;;;;;;;
B870C;2015-07-08;;;;;;;;;;;;;;
B870C;2015-07-09;;;;;;;;;;;;;0;0
B870C;2015-07-10;32.1;17:20;17.3;02:00;24.7;;;;;0;0;0;0;0
B870C;2015-07-11;31.8;15:20;17.1;05:10;24.4;;;;;0;0;0;0;0
B870C;2015-07-12;31.4;14:00;18.4;03:00;24.9;;;;;0;0;0;0;0
B870C;2015-07-13;30.8;11:40;18.3;04:40;24.5;;;;;0;0;0;0;0
B870C;2015-07-14;31.5;16:30;18.1;04:40;24.8;;;;;0;0;0;0;0
B870C;2015-07-15;31.8;14:30;18.7;05:00;25.3;;;;;0;0;0;0;0
B870C;2015-07-16;29.9;14:30;17.3;04:50;23.6;;;;;0;0;0;0;0
B870C;2015-07-17;31.1;15:10;19.1;06:10;25.1;;;;;0;0;0;0;0
B870C;2015-07-18;31.8;13:30;20.5;02:00;26.1;;;;;0;0;0;0;0
B870C;2015-07-19;32.1;12:30;19.3;06:10;25.7;;;;;0;0;0;0;0
B870C;2015-07-20;31.6;12:30;20.4;05:10;26;;;;;0;0;0;0;0
B870C;2015-07-21;35.1;14:50;20.1;06:40;27.6;;;;;0;0;0;0;0
B870C;2015-07-22;32.3;16:10;23.5;05:50;27.9;;;;;0;0;0;0;0
B870C;2015-07-23;32.0;18:10;22.0;03:50;27;;;;;0;0;0;0;0
B870C;2015-07-24;30.9;16:00;22.9;06:40;26.9;;;;;0;0;0;0;0
B870C;2015-07-25;28.6;14:00;22.9;06:00;25.8;;;;;0;0;0;0;0
B870C;2015-07-26;30.3;14:10;18.0;06:50;24.1;;;;;0;0;0;0;0
B870C;2015-07-27;31.4;14:50;22.1;07:00;26.8;;;;;0;0;0;0;0
B870C;2015-07-28;30.6;12:50;23.5;06:40;27.1;;;;;0;0;0;0;0
B870C;2015-07-29;30.8;13:20;21.4;06:40;26.1;;;;;0;0;0;0;0
B870C;2015-07-30;28.8;11:30;21.1;05:50;24.9;;;;;0;0;0;0;0
B870C;2015-07-31;30.5;13:50;18.2;04:40;24.4;;;;;0;0;0;0;0
B870C;2015-08-01;28.2;13:00;21.1;06:00;24.7;;;;;6.9;6.1;0;0.8;0
B870C;2015-08-02;;;;;;;;;;;;;;
B870C;2015-08-03;30.4;13:50;17.6;06:40;24;;;;;0;0;0;0;0
B870C;2015-08-04;30.5;15:50;19.8;06:40;25.1;;;;;0;0;0;0;0
B870C;2015-08-05;30.6;11:10;19.3;05:10;24.9;;;;;0;0;0;0;0
B870C;2015-08-06;31.4;16:30;19.4;05:30;25.4;;;;;0;0;0;0;0
B870C;2015-08-07;36.5;15:10;20.0;04:50;28.3;;;;;0;0;0;0;0
B870C;2015-08-08;32.6;11:30;20.6;05:40;26.6;;;;;0;0;0;0;0
B870C;2015-08-09;29.0;14:00;21.5;06:40;25.3;;;;;0;0;0;0;0
B870C;2015-08-10;28.9;14:40;17.7;06:30;23.3;;;;;3.1;0;3.1;0;0
B870C;2015-08-11;;;;;;;;;;;;;;
B870C;2015-08-12;;;;;;;;;;;;;;
B870C;2015-08-13;30.4;14:50;21.0;06:50;25.7;;;;;0;0;0;0;0
B870C;2015-08-14;28.6;14:10;20.8;03:50;24.7;;;;;0;0;0;0;0
B870C;2015-08-15;24.8;18:40;17.3;22:10;21;;;;;7.7;1.5;4.4;1.4;0.4
B870C;2015-08-16;28.1;16:30;14.9;05:40;21.5;;;;;0.7;0.1;0.3;0.3;0
B870C;2015-08-17;;;;;;;;;;;0;0;;0.1
B870C;2015-08-18;24.8;09:50;19.1;02:20;21.9;;;;;0.3;0.1;0.1;0.1;0
B870C;2015-08-19;27.7;15:10;16.6;06:20;22.2;;;;;0.2;0.1;0.1;0;0
B870C;2015-08-20;30.1;13:20;15.2;06:50;22.7;;;;;0.1;0.1;0;0;0
B870C;2015-08-21;31.1;13:10;16.6;04:10;23.9;;;;;0;0;0;0;0
B870C;2015-08-22;29.9;12:40;17.9;07:00;23.9;;;;;0.1;0;0.1;0;0
B870C;2015-08-23;31.8;14:50;22.4;22:40;27.1;;;;;0;0;0;0;0
B870C;2015-08-24;32.2;13:10;23.3;23:50;27.8;;;;;0;0;0;0;0
B870C;2015-08-25;29.0;12:50;18.8;23:59;23.9;;;;;0;0;0;0;0
B870C;2015-08-26;29.7;14:20;16.3;06:00;23;;;;;0;0;0;0;0
B870C;2015-08-27;29.7;14:00;16.2;06:10;23;;;;;0;0;0;0;0
B870C;2015-08-28;30.2;14:50;18.5;02:00;24.4;;;;;0;0;0;0;0
B870C;2015-08-29;32.6;14:20;19.4;02:00;26;;;;;0;0;0;0;0
B870C;2015-08-30;32.1;14:40;21.4;02:00;26.7;;;;;0;0;0;0;0
B870C;2015-08-31;32.7;16:00;22.2;07:30;27.5;;;;;0;0;0;0;0
B870C;2015-09-01;28.4;11:40;19.5;23:50;23.9;;;;;0.2;0.1;0.1;0;0
B870C;2015-09-02;29.1;15:10;16.6;07:20;22.9;;;;;0;0;0;0;0
B870C;2015-09-03;;;;;;;;;;;;1.4;5.4;0
B870C;2015-09-04;26.0;15:30;18.6;21:40;22.3;;;;;5.6;0;0.3;0.5;4.8
B870C;2015-09-05;25.1;15:30;18.7;03:00;21.9;;;;;0.1;0.1;0;0;0
B870C;2015-09-06;24.6;13:50;14.0;23:59;19.3;;;;;0;0;0;0;0
B870C;2015-09-07;25.6;14:00;12.3;05:30;19;;;;;0;0;0;0;0
B870C;2015-09-08;26.2;14:30;18.5;00:00;22.4;;;;;0;0;0;0;0
B870C;2015-09-09;;;;;;;;;;;10.6;;0;0
B870C;2015-09-10;25.9;13:20;13.6;06:10;19.8;;;;;1.9;0;0;1.9;0
B870C;2015-09-11;27.4;14:40;17.3;02:00;22.3;;;;;0.1;0;0.1;0;0
B870C;2015-09-12;;;;;;;;;;;0;0;;0
B870C;2015-09-13;29.6;14:40;21.5;06:30;25.6;;;;;0;0;0;0;0
B870C;2015-09-14;29.0;13:40;17.5;22:50;23.3;;;;;0;0;0;0;0
B870C;2015-09-15;27.9;14:20;15.7;06:40;21.8;;;;;0;0;0;0;0
B870C;2015-09-16;;;;;;;;;;;;;0;0
B870C;2015-09-17;29.8;15:20;18.4;22:40;24.1;;;;;0.2;0;0.2;0;0
B870C;2015-09-18;25.4;13:20;14.3;05:40;19.8;;;;;0;0;0;0;0
B870C;2015-09-19;25.0;14:30;14.0;23:59;19.5;;;;;0;0;0;0;0
B870C;2015-09-20;27.3;15:10;12.3;05:10;19.8;;;;;0;0;0;0;0
B870C;2015-09-21;27.4;13:20;13.3;07:20;20.3;;;;;0;0;0;0;0
B870C;2015-09-22;26.5;15:10;14.0;06:10;20.3;;;;;0;0;0;0;0
B870C;2015-09-23;20.9;04:00;17.3;14:00;19.1;;;;;0;0;0;0;0
B870C;2015-09-24;24.2;15:30;14.1;23:10;19.2;;;;;0;0;0;0;0
B870C;2015-09-25;24.2;12:50;12.8;06:40;18.5;;;;;0;0;0;0;0
B870C;2015-09-26;24.6;15:10;14.8;00:50;19.7;;;;;0;0;0;0;0
B870C;2015-09-27;25.5;13:40;15.1;23:59;20.3;;;;;0;0;0;0;0
B870C;2015-09-28;25.9;13:20;13.6;05:40;19.8;;;;;0;0;0;0;0
B870C;2015-09-29;24.5;14:00;12.4;07:30;18.4;;;;;0;0;0;0;0
B870C;2015-09-30;;;;;;;;;;;9.5;;2.6;13.4
B870C;2015-10-01;21.9;15:10;11.5;23:59;16.7;;;;;14.3;8.8;3.2;1.6;0.7
B870C;2015-10-02;23.5;14:00;10.4;05:40;16.9;;;;;;;;;0
B870C;2015-10-03;25.3;14:30;19.1;23:50;22.2;;;;;0.2;0;0;0.2;0
B870C;2015-10-04;24.7;13:20;14.6;07:30;19.7;;;;;0.1;0.1;0;0;0
B870C;2015-10-05;25.9;14:20;16.9;07:50;21.4;;;;;0;0;0;0;0
B870C;2015-10-06;26.9;13:30;18.2;23:59;22.6;;;;;0.1;0;0;0.1;0
B870C;2015-10-07;22.2;13:40;16.4;22:30;19.3;;;;;0;0;0;0;0
B870C;2015-10-08;22.4;14:10;15.0;22:10;18.7;;;;;0;0;0;0;0
B870C;2015-10-09;21.2;13:30;16.0;01:00;18.6;;;;;0;0;0;0;0
B870C;2015-10-10;23.1;14:10;12.3;23:30;17.7;;;;;0;0;0;0;0
B870C;2015-10-11;24.6;14:10;11.9;00:50;18.3;;;;;0;0;0;0;0
B870C;2015-10-12;24.7;12:30;18.8;23:59;21.8;;;;;1.2;1.2;0;0;0
B870C;2015-10-13;20.9;11:30;15.4;05:20;18.1;;;;;2.6;0;0.2;1.9;0.5
B870C;2015-10-14;17.7;14:30;13.8;22:20;15.8;;;;;1.9;0.4;1.5;0;0
B870C;2015-10-15;18.1;16:00;11.5;21:50;14.8;;;;;0.1;0;0.1;0;0
B870C;2015-10-16;20.8;15:00;8.7;07:10;14.7;;;;;0.1;0;0.1;0;0
B870C;2015-10-17;21.9;14:10;8.6;08:10;15.3;;;;;0;0;0;0;0
B870C;2015-10-18;22.9;13:50;11.8;02:00;17.3;;;;;0;0;0;0;0
B870C;2015-10-19;21.8;14:20;13.0;02:20;17.4;;;;;0.9;0;0;0;0.9
B870C;2015-10-20;19.9;13:30;16.1;08:10;18;;;;;0;0;0;0;0
B870C;2015-10-21;17.3;00:10;13.3;22:20;15.3;;;;;0.9;0;0;0;0.9
B870C;2015-10-22;19.1;14:00;9.9;23:00;14.5;;;;;0;0;0;0;0
B870C;2015-10-23;;;;;;;;;;;0;0;0;
B870C;2015-10-24;;;;;;;;;;;;;;
B870C;2015-10-25;21.9;14:50;12.1;02:00;17;;;;;0;0;0;0;0
B870C;2015-10-26;22.1;13:50;14.5;23:10;18.3;;;;;13.2;2.5;10.2;0.4;0.1
B870C;2015-10-27;;;;;;;;;;;0;0.1;0;
B870C;2015-10-28;21.2;13:00;11.1;23:59;16.2;;;;;0;0;0;0;0
B870C;2015-10-29;;;;;;;;;;;0;0;;
B870C;2015-10-30;;;;;;;;;;;;;;
B870C;2015-10-31;;;;;;;;;;;;;;
B870C;2015-11-01;;;;;;;;;;;;;;
B870C;2015-11-02;;;;;;;;;;;;;;
B870C;2015-11-03;19.5;13:20;14.6;01:10;17.1;;;;;1;1;0;0;0
B870C;2015-11-04;20.0;13:40;10.1;07:20;15.1;;;;;0;0;0;0;0
B870C;2015-11-05;19.4;12:30;10.6;08:10;15;;;;;0;0;0;0;0
B870C;2015-11-06;18.8;13:00;8.9;23:50;13.8;;;;;0.1;0.1;0;0;0
B870C;2015-11-07;18.4;13:30;7.9;06:00;13.1;;;;;0;0;0;0;0
B870C;2015-11-08;;;;;;;;;;;0;;0;0
B870C;2015-11-09;17.6;14:00;7.6;06:30;12.6;;;;;0;0;0;0;0
B870C;2015-11-10;18.2;13:00;8.7;02:00;13.5;;;;;0.1;0;0.1;0;0
B870C;2015-11-11;;;;;;;;;;;0;0;;
B870C;2015-11-12;17.3;13:30;7.0;02:30;12.1;;;;;0.1;0;0.1;0;0
B870C;2015-11-13;;;;;;;;;;;0;0;;
B870C;2015-11-14;16.2;12:20;8.8;04:00;12.5;;;;;0;0;0;0;0
B870C;2015-11-15;16.9;13:30;8.6;22:20;12.8;;;;;0.1;0;0.1;0;0
B870C;2015-11-16;16.9;15:40;6.8;23:10;11.8;;;;;0.2;0.1;0;0.1;0
B870C;2015-11-17;17.2;14:00;5.6;07:40;11.4;;;;;0;0;0;0;0
B870C;2015-11-18;16.9;12:30;5.4;00:50;11.1;;;;;0.1;0;0.1;0;0
B870C;2015-11-19;19.2;14:00;6.5;06:10;12.9;;;;;0.1;0;0.1;0;0
B870C;2015-11-20;;;;;;;;;;;0;0.1;;0
B870C;2015-11-21;16.8;09:40;6.1;22:20;11.4;;;;;9.5;0;0.1;6.8;2.6
B870C;2015-11-22;9.1;10:20;1.6;21:20;5.4;;;;;7.5;0;1.5;6;0
B870C;2015-11-23;10.4;13:00;4.5;00:50;7.4;;;;;1.9;1.5;0.4;0;0
B870C;2015-11-24;;;;;;;;;;11;0;10.8;0.2;0
B870C;2015-11-25;;;;;;;;;;1;0;0.9;0.1;0
B870C;2015-11-26;;;;;;;;;;0.2;0;0;0;0.2
B870C;2015-11-27;;;;;;;;;;0;0;0;0;0
B870C;2015-11-28;;;;;;;;;;0;0;0;0;0
B870C;2015-11-29;;;;;;;;;;0;0;0;0;0
B870C;2015-11-30;;;;;;;;;;;0;0;;
B870C;2015-12-01;;;;;;;;;;0;0;0;0;0
B870C;2015-12-02;;;;;;;;;;;0;0.1;;
B870C;2015-12-03;;;;;;;;;;0;0;0;0;0
B870C;2015-12-04;;;;;;;;;;0;0;0;0;0
B870C;2015-12-05;;;;;;;;;;0.2;0;0.1;0.1;0
B870C;2015-12-06;;;;;;;;;;0.3;0.1;0;0.2;0
B870C;2015-12-07;;;;;;;;;;0.1;0;0.1;0;0
B870C;2015-12-08;;;;;;;;;;0;0;0;0;0
B870C;2015-12-09;;;;;;;;;;0.1;0;0.1;0;0
B870C;2015-12-10;;;;;;;;;;0;0;0;0;0
B870C;2015-12-11;;;;;;;;;;0;0;0;0;0
B870C;2015-12-12;;;;;;;;;;0.1;0.1;0;0;0
B870C;2015-12-13;;;;;;;;;;;0;;;
B870C;2015-12-14;;;;;;;;;;0.1;0.1;0;0;0
B870C;2015-12-15;;;;;;;;;;0;0;0;0;0
B870C;2015-12-16;;;;;;;;;;0.1;0.1;0;0;0
B870C;2015-12-17;;;;;;;;;;;0;0;;
B870C;2015-12-18;;;;;;;;;;0.1;0;0;0.1;0
B870C;2015-12-19;;;;;;;;;;0;0;0;0;0
B870C;2015-12-20;;;;;;;;;;;0;0;0;
B870C;2015-12-21;;;;;;;;;;;0;0;;
B870C;2015-12-22;;;;;;;;;;0.1;0;0.1;0;0
B870C;2015-12-23;;;;;;;;;;0;0;0;0;0
B870C;2015-12-24;;;;;;;;;;0;0;0;0;0
B870C;2015-12-25;;;;;;;;;;0;0;0;0;0
B870C;2015-12-26;;;;;;;;;;0;0;0;0;0
B870C;2015-12-27;;;;;;;;;;0.1;0.1;0;0;0
B870C;2015-12-28;;;;;;;;;;0;0;0;0;0
B870C;2015-12-29;;;;;;;;;;0.1;0;0;0.1;0
B870C;2015-12-30;;;;;;;;;;0;0;0;0;0
B870C;2015-12-31;;;;;;;;;;0.1;0;0.1;0;0
B870C;2016-01-01;;;;;;;;;;0;0;0;0;0
B870C;2016-01-02;;;;;;;;;;0;0;0;0;0
B870C;2016-01-03;;;;;;;;;;0.3;0;0;0;0.3
B870C;2016-01-04;;;;;;;;;;0.8;0;0.7;0.1;0
B870C;2016-01-05;;;;;;;;;;0.4;0;0;0.1;0.3
B870C;2016-01-06;;;;;;;;;;0.1;0;0.1;0;0
B870C;2016-01-07;;;;;;;;;;0;0;0;0;0
B870C;2016-01-08;;;;;;;;;;0;0;0;0;0
B870C;2016-01-09;;;;;;;;;;0;0;0;0;0
B870C;2016-01-10;;;;;;;;;;0.1;0;0.1;0;0
B870C;2016-01-11;;;;;;;;;;0;0;0;0;0
B870C;2016-01-12;;;;;;;;;;0;0;0;0;0
B870C;2016-01-13;;;;;;;;;;0;0;0;0;0
B870C;2016-01-14;;;;;;;;;;0;0;0;0;0
B870C;2016-01-15;;;;;;;;;;;0;;;
B870C;2016-01-16;;;;;;;;;;;;;;
B870C;2016-01-17;;;;;;;;;;;;;;
B870C;2016-01-18;;;;;;;;;;0;0;0;0;0
B870C;2016-01-19;;;;;;;;;;0.2;0.2;0;0;0
B870C;2016-01-20;;;;;;;;;;0;0;0;0;0
B870C;2016-01-21;;;;;;;;;;0;0;0;0;0
B870C;2016-01-22;;;;;;;;;;0;0;0;0;0
B870C;2016-01-23;;;;;;;;;;0;0;0;0;0
B870C;2016-01-24;;;;;;;;;;0.1;0;0.1;0;0
B870C;2016-01-25;;;;;;;;;;0;0;0;0;0
B870C;2016-01-26;;;;;;;;;;0;0;0;0;0
B870C;2016-01-27;;;;;;;;;;0;0;0;0;0
B870C;2016-01-28;;;;;;;;;;0;0;0;0;0
B870C;2016-01-29;;;;;;;;;;0.1;0;0.1;0;0
B870C;2016-01-30;;;;;;;;;;0;0;0;0;0
