Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
C148F;2013-05-07;24.6;12:50;15.3;00:00;20;22;15:00;13;14:50;0;0;0;0;0
C148F;2013-05-08;25.1;13:30;15.1;06:30;20.1;21;13:20;12;13:00;0;0;0;0;0
C148F;2013-05-09;25.7;14:00;15.6;07:20;20.7;23;14:00;14;14:00;0;0;0;0;0
C148F;2013-05-10;22.6;17:00;16.9;06:50;19.8;22;12:50;13;10:20;0;0;0;0;0
C148F;2013-05-11;23.6;13:20;16.7;08:10;20.2;23;03:10;14;03:10;0;0;0;0;0
C148F;2013-05-12;23.0;14:50;17.0;07:10;20;25;13:40;14;13:40;3.6;0;0;0;3.6
C148F;2013-05-13;20.5;16:50;16.0;22:00;18.3;21;11:00;14;10:50;;;;0;0
C148F;2013-05-14;18.6;12:50;14.6;22:20;16.6;37;14:40;24;15:00;9.2;5.4;2.8;0;1
C148F;2013-05-15;19.2;13:40;14.2;23:59;16.7;31;14:30;21;14:20;0.8;0;0;0.6;0.2
C148F;2013-05-16;19.7;13:50;13.7;23:30;16.7;43;11:20;23;07:40;7.2;0;0;2.4;4.8
C148F;2013-05-17;18.2;14:40;12.6;05:40;15.4;37;18:50;23;18:40;0;0;0;0;0
C148F;2013-05-18;19.9;13:10;14.7;08:10;17.3;34;16:00;23;13:30;0.8;0.2;0.2;0.2;0.2
C148F;2013-05-19;;;;;;;;;;;0;0;;
C148F;2013-05-20;19.4;16:00;14.5;06:20;16.9;33;10:00;21;10:00;0;0;0;0;0
C148F;2013-05-21;17.2;17:10;14.1;05:00;15.7;29;09:10;19;10:40;3.2;1.8;0.2;0;1.2
C148F;2013-05-22;20.5;13:30;14.0;01:30;17.3;28;13:30;18;13:20;0;0;0;0;0
C148F;2013-05-23;21.2;13:20;14.2;03:30;17.7;26;13:10;18;13:10;0;0;0;0;0
C148F;2013-05-24;21.2;15:00;14.3;06:10;17.8;27;13:20;17;12:50;0;0;0;0;0
C148F;2013-05-25;19.0;13:30;15.1;00:20;17.1;30;13:40;21;13:50;0;0;0;0;0
C148F;2013-05-26;18.7;13:30;14.8;07:00;16.8;28;12:30;19;12:30;0;0;0;0;0
