Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
C258K;2013-05-09;28.9;15:20;17.1;03:30;23;33;16:00;18;15:40;0;0;0;0;0
C258K;2013-05-10;28.7;16:50;18.4;23:59;23.6;29;04:50;19;05:20;0;0;0;0;0
C258K;2013-05-11;27.9;16:10;17.3;01:50;22.6;35;19:30;23;19:30;0;0;0;0;0
C258K;2013-05-12;26.6;17:10;16.3;07:30;21.4;45;12:30;30;12:30;0;0;0;0;0
C258K;2013-05-13;22.7;14:00;16.1;07:00;19.4;45;13:30;19;14:20;0;0;0;0;0
C258K;2013-05-14;21.7;15:20;16.5;23:00;19.1;40;11:30;20;09:20;0;0;0;0;0
C258K;2013-05-15;20.0;12:00;16.4;02:40;18.2;42;15:50;21;11:00;0;0;0;0;0
C258K;2013-05-16;20.6;16:20;14.6;05:00;17.6;37;13:10;21;12:50;1.2;0;1.2;0;0
C258K;2013-05-17;21.0;15:40;14.2;07:20;17.6;38;13:20;19;19:00;0;0;0;0;0
C258K;2013-05-18;21.7;14:20;13.9;04:40;17.8;39;18:40;24;16:30;0.4;0.2;0.2;0;0
C258K;2013-05-19;;;;;;;;;;;0;0;;
C258K;2013-05-20;20.7;15:40;14.7;02:00;17.7;44;16:00;21;11:20;0;0;0;0;0
C258K;2013-05-21;20.1;13:40;14.7;04:50;17.4;39;12:40;25;17:00;0;0;0;0;0
C258K;2013-05-22;20.5;14:40;12.0;07:20;16.3;36;17:00;19;17:20;0;0;0;0;0
C258K;2013-05-23;20.8;15:00;13.5;07:30;17.1;35;15:30;18;15:20;0;0;0;0;0
C258K;2013-05-24;21.8;16:20;14.0;07:10;17.9;34;14:10;18;13:30;0;0;0;0;0
C258K;2013-05-25;21.1;15:10;15.3;06:10;18.2;37;17:40;20;23:00;0;0;0;0;0
C258K;2013-05-26;20.2;14:20;15.7;02:40;18;42;14:50;22;17:50;0;0;0;0;0
C258K;2013-05-27;21.0;15:40;15.6;04:40;18.3;40;15:30;21;12:30;0;0;0;0;0
C258K;2013-05-28;21.4;15:50;15.2;05:00;18.3;41;17:00;19;16:10;0;0;0;0;0
C258K;2013-05-29;20.7;14:50;15.7;05:10;18.2;34;17:00;23;17:30;0.4;0;0.4;0;0
C258K;2013-05-30;21.2;14:00;15.6;05:40;18.4;44;15:50;22;15:40;0.4;0;0;0;0.4
C258K;2013-05-31;20.5;16:10;15.6;03:30;18.1;44;16:40;23;16:40;0;0;0;0;0
C258K;2013-06-01;21.0;14:20;14.7;05:30;17.8;42;16:10;22;16:00;0;0;0;0;0
C258K;2013-06-02;23.4;15:20;15.7;00:20;19.5;35;09:20;21;08:40;0;0;0;0;0
C258K;2013-06-03;21.6;16:00;15.1;05:30;18.4;33;13:40;17;13:20;0;0;0;0;0
C258K;2013-06-04;21.9;14:30;15.7;01:00;18.8;33;15:40;17;14:20;0;0;0;0;0
C258K;2013-06-05;22.0;16:20;14.7;05:10;18.3;44;14:50;19;17:40;0;0;0;0;0
C258K;2013-06-06;21.4;16:00;16.1;22:40;18.8;38;15:50;21;19:40;0;0;0;0;0
C258K;2013-06-07;21.0;15:20;15.9;05:50;18.4;38;17:20;21;17:20;0;0;0;0;0
C258K;2013-06-08;21.5;15:50;15.1;06:10;18.3;42;17:00;23;16:50;0;0;0;0;0
C258K;2013-06-09;21.3;16:30;15.5;03:40;18.4;39;17:40;21;10:20;0;0;0;0;0
C258K;2013-06-10;21.3;16:20;15.7;02:40;18.5;36;15:10;18;16:50;0;0;0;0;0
C258K;2013-06-11;21.5;14:30;16.0;01:20;18.8;35;15:30;24;12:20;0;0;0;0;0
C258K;2013-06-12;22.9;15:20;16.5;06:50;19.7;41;14:50;22;17:10;0;0;0;0;0
C258K;2013-06-13;21.1;16:00;16.7;06:40;18.9;39;17:40;19;15:50;0.4;0;0.4;0;0
C258K;2013-06-14;22.4;15:40;17.1;03:40;19.8;42;15:50;24;15:50;0;0;0;0;0
C258K;2013-06-15;22.8;15:10;16.4;06:40;19.6;36;13:00;20;16:20;0;0;0;0;0
C258K;2013-06-16;22.2;14:50;16.0;06:30;19.1;42;16:10;21;16:40;0;0;0;0;0
C258K;2013-06-17;22.5;14:20;16.2;06:50;19.4;42;19:00;23;19:00;0;0;0;0;0
C258K;2013-06-18;22.3;15:20;16.5;07:20;19.4;44;15:50;26;12:20;0;0;0;0;0
C258K;2013-06-19;21.9;14:50;16.2;03:30;19.1;48;20:10;26;17:50;0;0;0;0;0
C258K;2013-06-20;21.9;13:30;16.1;04:50;19;48;18:30;28;16:00;;0;0;0;
C258K;2013-06-21;22.4;16:00;16.1;05:10;19.3;52;15:40;28;18:10;0;0;0;0;0
C258K;2013-06-22;21.8;14:40;16.7;04:50;19.3;45;03:30;23;01:30;0;0;0;0;0
C258K;2013-06-23;22.7;15:20;16.6;02:50;19.7;33;15:40;19;14:50;0;0;0;0;0
C258K;2013-06-24;23.3;15:30;17.1;07:10;20.2;32;15:10;20;17:10;0;0;0;0;0
C258K;2013-06-25;22.5;14:40;16.4;07:30;19.4;35;14:30;22;16:10;0;0;0;0;0
C258K;2013-06-26;22.0;16:30;16.8;06:30;19.4;33;14:00;19;09:40;0;0;0;0;0
C258K;2013-06-27;24.2;14:30;16.7;04:50;20.5;31;17:50;17;18:00;0;0;0;0;0
C258K;2013-06-28;28.9;14:00;18.4;00:00;23.6;55;12:00;34;13:50;0;0;0;0;0
C258K;2013-06-29;26.4;15:50;17.5;01:40;21.9;32;23:10;16;10:30;0;0;0;0;0
C258K;2013-06-30;25.5;16:20;17.9;06:50;21.7;35;17:40;20;17:30;0;0;0;0;0
C258K;2013-07-01;24.0;13:50;17.3;05:00;20.6;37;16:30;20;15:00;0;0;0;0;0
C258K;2013-07-02;24.6;15:00;16.7;07:00;20.7;31;17:10;18;17:00;0;0;0;0;0
C258K;2013-07-03;24.1;12:50;16.7;03:50;20.4;37;15:30;16;13:00;0;0;0;0;0
C258K;2013-07-04;23.6;16:00;16.6;07:10;20.1;32;15:50;15;14:20;0;0;0;0;0
C258K;2013-07-05;23.4;15:20;17.1;07:20;20.3;35;14:30;18;14:30;0;0;0;0;0
C258K;2013-07-06;23.9;16:10;17.8;03:50;20.8;32;16:10;18;18:30;0;0;0;0;0
C258K;2013-07-07;23.9;16:00;17.8;07:20;20.8;33;16:50;19;18:30;0;0;0;0;0
C258K;2013-07-08;23.0;15:30;18.3;05:40;20.6;32;13:20;16;15:20;0;0;0;0;0
C258K;2013-07-09;27.6;16:00;18.7;07:30;23.2;26;02:50;19;03:50;0;0;0;0;0
C258K;2013-07-10;28.2;15:00;18.4;04:20;23.3;33;11:00;25;11:00;0;0;0;0;0
C258K;2013-07-11;26.0;16:50;18.5;03:30;22.3;30;12:30;20;01:50;0;0;0;0;0
C258K;2013-07-12;29.5;15:20;19.3;04:30;24.4;30;19:40;21;19:40;0;0;0;0;0
C258K;2013-07-13;30.7;16:30;18.8;05:50;24.8;28;15:00;17;00:20;0;0;0;0;0
C258K;2013-07-14;28.5;16:00;18.3;07:10;23.4;31;16:30;17;13:10;0;0;0;0;0
C258K;2013-07-15;26.0;14:20;17.7;03:10;21.9;32;19:00;17;17:20;0;0;0;0;0
C258K;2013-07-16;25.3;16:20;18.0;07:10;21.6;33;13:50;18;13:50;0;0;0;0;0
C258K;2013-07-17;25.4;14:20;18.5;07:10;21.9;32;15:40;18;16:40;0;0;0;0;0
C258K;2013-07-18;24.5;14:10;18.0;06:30;21.3;41;18:10;22;17:40;0;0;0;0;0
C258K;2013-07-19;23.7;15:20;18.3;02:40;21;44;15:40;24;17:30;0;0;0;0;0
C258K;2013-07-20;24.2;14:40;18.9;03:00;21.6;43;15:50;23;10:50;0;0;0;0;0
C258K;2013-07-21;24.5;15:40;19.1;00:30;21.8;32;14:50;17;16:10;0;0;0;0;0
C258K;2013-07-22;24.4;16:10;18.2;04:40;21.3;32;18:10;19;15:40;0;0;0;0;0
C258K;2013-07-23;24.8;14:30;18.4;03:00;21.6;34;19:20;17;15:20;0;0;0;0;0
C258K;2013-07-24;25.3;14:50;18.3;07:20;21.8;36;18:50;20;17:10;0;0;0;0;0
C258K;2013-07-25;25.1;14:50;18.0;07:30;21.6;32;16:00;19;15:00;0;0;0;0;0
C258K;2013-07-26;25.6;16:10;19.5;07:20;22.6;33;16:00;19;17:00;0;0;0;0;0
C258K;2013-07-27;26.2;15:40;17.6;07:30;21.9;30;16:10;16;16:10;0;0;0;0;0
C258K;2013-07-28;27.9;16:40;17.9;07:40;22.9;27;18:00;15;18:00;0;0;0;0;0
C258K;2013-07-29;28.5;16:00;19.9;07:00;24.2;33;15:20;19;13:40;0;0;0;0;0
C258K;2013-07-30;26.8;14:00;19.3;06:10;23;37;17:20;21;12:50;0;0;0;0;0
C258K;2013-07-31;26.2;16:10;19.2;06:50;22.7;34;14:00;18;17:10;0;0;0;0;0
C258K;2013-08-01;25.9;14:50;19.6;04:40;22.8;36;18:20;21;18:50;0;0;0;0;0
C258K;2013-08-02;26.0;15:40;19.5;02:50;22.8;44;18:20;25;15:10;0;0;0;0;0
C258K;2013-08-03;25.0;16:10;19.5;06:20;22.3;41;14:40;24;14:30;0;0;0;0;0
C258K;2013-08-04;28.3;14:30;19.2;05:20;23.8;41;18:10;22;14:20;0;0;0;0;0
C258K;2013-08-05;26.6;16:20;18.9;07:20;22.8;36;18:00;19;17:40;0;0;0;0;0
