Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
C328W;2013-05-07;;;;;;;;;;;0;0;0;
C328W;2013-05-08;;;;;;;;;;;0;0;0;
C328W;2013-05-09;;;;;;;;;;;0;0;0;
C328W;2013-05-10;;;;;;;;;;;0;0;0;
C328W;2013-05-11;22.4;17:30;14.3;08:10;18.3;23;16:50;12;12:30;0;0;0;0;0
C328W;2013-05-12;23.7;17:00;17.8;07:20;20.8;26;16:00;12;16:00;0;0;0;0;0
C328W;2013-05-13;22.5;14:00;16.4;04:50;19.4;27;13:10;15;11:40;0;0;0;0;0
C328W;2013-05-14;;;;;;;;;;;0;0;0.6;
C328W;2013-05-15;;;;;;;;;;;0;0;0;
C328W;2013-05-16;;;;;;;;;;;0;0;0.2;
C328W;2013-05-17;;;;;;;;;;;0;0;0;
C328W;2013-05-18;;;;;;;;;;;0;0;0;
C328W;2013-05-19;;;;;;;;;;;0;0;;
C328W;2013-05-20;20.0;16:10;16.3;04:00;18.1;32;03:30;14;11:50;0;0;0;0;0
C328W;2013-05-21;;;;;;;;;;;0;0;0;
C328W;2013-05-22;;;;;;;;;;;0;0;0;
C328W;2013-05-23;;;;;;;;;;;0;;0;
C328W;2013-05-24;;;;;;;;;;;0;0;0;
C328W;2013-05-25;;;;;;;;;;;0;0;0;
C328W;2013-05-26;;;;;;;;;;;0;0;0;
C328W;2013-05-27;;;;;;;;;;;0;0;0;
C328W;2013-05-28;;;;;;;;;;;0;0;0;
C328W;2013-05-29;;;;;;;;;;;0;0;0;
C328W;2013-05-30;;;;;;;;;;;0;0;0;
C328W;2013-05-31;;;;;;;;;;;0;0;0;
C328W;2013-06-01;;;;;;;;;;;0;0;0;
C328W;2013-06-02;21.0;16:30;16.4;07:50;18.7;26;11:30;13;11:30;0;0;0;0;0
C328W;2013-06-03;20.9;15:50;16.8;04:00;18.8;26;14:40;12;15:20;0;0;0;0;0
C328W;2013-06-04;21.5;14:50;16.9;07:20;19.2;30;15:30;14;15:40;0;0;0;0;0
C328W;2013-06-05;20.7;15:30;17.1;06:40;18.9;30;16:10;14;14:00;0;0;0;0;0
C328W;2013-06-06;;;;;;;;;;;0;0;0;
C328W;2013-06-07;22.4;15:50;16.7;06:40;19.6;27;14:30;11;14:30;0;0;0;0;0
C328W;2013-06-08;;;;;;;;;;;0;0;0;
C328W;2013-06-09;;;;;;;;;;;0;0;0;
C328W;2013-06-10;21.3;16:40;16.7;04:50;19;25;17:30;12;12:10;0;0;0;0;0
C328W;2013-06-11;21.8;14:40;17.2;03:50;19.5;23;15:20;11;14:30;0;0;0;0;0
C328W;2013-06-12;21.2;15:40;17.3;06:10;19.3;23;17:30;11;14:00;0;0;0;0;0
C328W;2013-06-13;;;;;;;;;;;0;;;
C328W;2013-06-14;;;;;;;;;;;;;;
C328W;2013-06-15;;;;;;;;;;;0;0;0;
C328W;2013-06-16;22.0;15:40;12.8;07:10;17.4;27;11:10;12;16:10;0;0;0;0;0
C328W;2013-06-17;21.3;15:40;16.2;06:30;18.8;28;22:50;11;10:50;0;0;0;0;0
C328W;2013-06-18;;;;;;;;;;;0;0;0;
C328W;2013-06-19;21.3;13:30;17.2;04:40;19.3;28;08:10;13;14:40;0;0;0;0;0
C328W;2013-06-20;20.5;17:10;17.4;07:00;18.9;34;10:00;16;13:30;0;0;0;0;0
C328W;2013-06-21;21.6;14:10;17.0;05:30;19.3;32;06:10;15;01:20;0;0;0;0;0
C328W;2013-06-22;20.1;16:20;17.1;03:20;18.6;31;00:30;12;00:20;0;0;0;0;0
C328W;2013-06-23;21.7;13:50;16.4;06:50;19.1;27;13:40;12;16:20;0;0;0;0;0
C328W;2013-06-24;21.7;15:00;17.7;07:40;19.7;26;16:10;13;15:30;0;0;0;0;0
C328W;2013-06-25;;;;;;;;;;;0;0;0;
C328W;2013-06-26;23.0;14:10;13.8;03:00;18.4;28;14:40;12;12:50;0;0;0;0;0
C328W;2013-06-27;22.9;15:20;18.2;05:20;20.6;24;14:50;11;15:30;0;0;0;0;0
