Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
C449C;2013-05-07;25.9;14:20;17.7;05:00;21.8;20;16:10;13;16:10;0;0;0;0;0
C449C;2013-05-08;;;;;;;;;;;0;0;;
C449C;2013-05-09;;;;;;;;;;;;0;0;0
C449C;2013-05-10;27.3;18:00;19.9;07:10;23.6;39;19:20;22;19:50;0;0;0;0;0
C449C;2013-05-11;26.6;11:00;20.0;06:50;23.3;28;07:50;15;08:00;0;0;0;0;0
C449C;2013-05-12;24.1;10:40;19.1;06:20;21.6;24;15:30;13;12:50;0;0;0;0;0
C449C;2013-05-13;;;;;;;;;;;;;0;0
C449C;2013-05-14;23.0;15:20;19.0;03:00;21;40;13:10;19;13:40;0;0;0;0;0
C449C;2013-05-15;22.7;16:50;18.1;06:20;20.4;42;17:30;18;17:30;0;0;0;0;0
C449C;2013-05-16;22.2;11:40;17.1;16:30;19.7;35;10:20;19;16:00;2.8;0;0;2.8;0
C449C;2013-05-17;22.9;15:00;16.8;06:00;19.8;42;19:00;19;19:30;0;0;0;0;0
C449C;2013-05-18;21.9;11:10;18.2;22:50;20.1;38;18:50;18;13:40;0;0;0;0;0
C449C;2013-05-19;21.8;14:30;17.5;06:40;19.6;37;19:10;16;11:10;0;0;0;0;0
C449C;2013-05-20;22.5;13:30;17.7;05:30;20.1;40;15:10;19;14:30;0;0;0;0;0
C449C;2013-05-21;20.8;15:00;16.9;09:10;18.8;39;15:40;19;15:20;0;0;0;0;0
C449C;2013-05-22;21.6;17:10;17.2;01:50;19.4;49;15:30;17;14:10;0;0;0;0;0
C449C;2013-05-23;22.6;17:30;17.6;07:20;20.1;36;15:00;20;14:50;0;0;0;0;0
C449C;2013-05-24;24.0;15:20;17.0;06:50;20.5;31;15:30;15;09:50;0;0;0;0;0
C449C;2013-05-25;23.1;14:00;18.1;05:20;20.6;42;11:30;15;22:00;0;0;0;0;0
C449C;2013-05-26;22.3;13:40;17.3;06:20;19.8;40;16:10;17;13:10;0;0;0;0;0
C449C;2013-05-27;22.4;17:30;17.6;07:40;20;39;15:50;19;20:40;0;0;0;0;0
C449C;2013-05-28;22.8;12:40;18.1;04:30;20.4;33;16:20;15;19:00;0;0;0;0;0
C449C;2013-05-29;23.4;17:50;17.5;09:50;20.4;39;14:50;18;14:20;0.9;0;0.9;0;0
C449C;2013-05-30;22.3;14:40;18.0;06:40;20.1;36;14:00;14;05:20;0;0;0;0;0
C449C;2013-05-31;21.8;16:20;18.1;23:50;19.9;35;13:20;15;14:00;0;0;0;0;0
C449C;2013-06-01;24.1;15:40;17.1;02:50;20.6;36;19:00;19;16:20;0;0;0;0;0
C449C;2013-06-02;26.8;14:50;17.4;06:00;22.1;42;03:00;15;15:20;0;0;0;0;0
C449C;2013-06-03;24.6;16:40;17.6;06:30;21.1;44;16:40;19;18:50;0;0;0;0;0
C449C;2013-06-04;24.3;15:00;17.8;05:10;21;36;18:40;18;14:50;0;0;0;0;0
C449C;2013-06-05;24.2;13:20;19.3;04:40;21.8;33;16:00;16;16:00;0;0;0;0;0
C449C;2013-06-06;23.6;16:10;18.5;06:50;21.1;38;13:50;15;09:20;0;0;0;0;0
C449C;2013-06-07;24.0;14:00;16.9;06:20;20.4;35;13:40;15;12:10;0;0;0;0;0
C449C;2013-06-08;23.1;17:10;18.2;06:10;20.7;37;14:20;16;15:50;0;0;0;0;0
C449C;2013-06-09;23.3;13:40;18.0;03:30;20.6;35;15:00;16;14:50;0;0;0;0;0
C449C;2013-06-10;24.4;17:20;17.7;03:30;21.1;41;15:20;17;18:00;0;0;0;0;0
C449C;2013-06-11;;;;;;;;;;;0;;;
C449C;2013-06-12;;;;;;;;;;;;0;0;0
C449C;2013-06-13;25.2;15:20;19.2;07:20;22.2;44;19:00;22;18:10;0;0;0;0;0
C449C;2013-06-14;26.3;16:20;19.6;05:00;22.9;45;04:30;18;01:00;0;0;0;0;0
C449C;2013-06-15;29.5;16:00;19.8;04:30;24.6;34;18:30;14;07:00;0;0;0;0;0
C449C;2013-06-16;26.3;15:20;19.1;07:00;22.7;43;17:40;22;17:20;0;0;0;0;0
C449C;2013-06-17;25.9;16:10;19.1;04:40;22.5;32;22:00;17;12:50;0;0;0;0;0
C449C;2013-06-18;22.8;16:10;17.9;07:40;20.3;64;15:40;17;18:10;1.8;1;0.8;0;0
C449C;2013-06-19;23.5;15:30;18.5;04:20;21;38;13:10;15;16:50;0;0;0;0;0
C449C;2013-06-20;23.5;17:20;19.0;03:40;21.3;39;18:50;16;01:50;0;0;0;0;0
C449C;2013-06-21;24.3;15:20;18.8;06:20;21.5;48;17:50;18;04:00;0;0;0;0;0
C449C;2013-06-22;25.4;16:20;19.2;05:50;22.3;36;17:30;18;19:30;0;0;0;0;0
C449C;2013-06-23;26.6;16:10;17.9;06:10;22.3;30;19:20;18;19:20;0;0;0;0;0
C449C;2013-06-24;24.9;16:40;18.9;06:00;21.9;28;20:50;12;21:10;0;0;0;0;0
