Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
C457I;2013-05-07;27.0;13:00;14.2;04:20;20.6;15;02:00;10;01:50;0;0;0;0;0
C457I;2013-05-08;28.4;13:20;14.5;04:00;21.4;19;22:40;16;22:40;0;0;0;0;0
C457I;2013-05-09;25.4;14:20;15.4;08:00;20.4;19;01:00;16;01:00;0;0;0;0;0
C457I;2013-05-10;24.2;13:20;15.0;23:59;19.6;21;06:30;17;06:30;0;0;0;0;0
C457I;2013-05-11;26.3;17:40;13.4;07:20;19.8;23;13:00;15;13:00;0;0;0;0;0
C457I;2013-05-12;30.5;16:30;13.5;06:10;22;30;17:40;16;17:40;0;0;0;0;0
C457I;2013-05-13;21.3;16:50;14.3;06:30;17.8;24;17:00;13;15:40;0.4;0;0.2;0.2;0
C457I;2013-05-14;19.4;17:10;14.1;05:40;16.8;24;12:00;13;12:10;0.2;0;0.2;0;0
C457I;2013-05-15;18.0;13:10;13.1;06:30;15.6;25;13:50;15;13:40;1.6;0.4;0;0;1.2
C457I;2013-05-16;18.8;16:10;11.1;05:40;14.9;22;06:10;16;06:10;2;0.2;0.2;0.8;0.8
C457I;2013-05-17;19.4;15:40;10.7;07:00;15;23;15:40;13;16:20;0.2;0.2;0;0;0
C457I;2013-05-18;18.4;15:30;11.8;23:20;15.1;31;15:20;21;16:10;0.8;0.4;0.4;0;0
C457I;2013-05-19;;;;;;;;;;;0;0;;
C457I;2013-05-20;19.3;17:30;12.8;06:40;16;35;14:50;21;14:20;0;0;0;0;0
C457I;2013-05-21;18.1;15:10;11.4;03:30;14.8;38;14:10;22;14:10;0.8;0.6;0;0.2;0
C457I;2013-05-22;18.0;15:00;11.4;07:00;14.7;30;12:10;20;11:40;0;0;0;0;0
C457I;2013-05-23;17.3;12:40;11.1;01:00;14.2;27;14:00;14;12:50;0;0;0;0;0
C457I;2013-05-24;20.3;16:10;10.7;06:50;15.5;35;17:10;15;07:20;0.2;0.2;0;0;0
C457I;2013-05-25;16.9;12:30;12.2;03:20;14.5;28;15:00;15;15:20;0;0;0;0;0
C457I;2013-05-26;19.0;15:20;12.7;06:00;15.8;27;17:50;18;17:50;0;0;0;0;0
C457I;2013-05-27;18.8;15:00;11.3;22:50;15;26;16:00;16;16:10;0;0;0;0;0
C457I;2013-05-28;19.1;13:50;11.0;01:10;15.1;27;15:00;17;15:00;0;0;0;0;0
C457I;2013-05-29;19.5;18:10;12.8;06:10;16.2;31;12:50;18;13:00;1;0.2;0.6;0.2;0
