Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
C614H;2017-11-06;;;;;;;;;;;;;;
C614H;2017-11-07;;;;;;;;;;;;;;
C614H;2017-11-08;;;;;;;;;;;;;;
C614H;2017-11-09;;;;;;;;;;;;;;
C614H;2017-11-10;;;;;;;;;;;;;;
C614H;2017-11-11;;;;;;;;;;;;;;
C614H;2017-11-12;25.9;13:30;21.0;17:40;23.4;36;20:20;21;14:30;0;0;0;0;0
C614H;2017-11-13;24.9;15:40;18.3;22:10;21.6;41;23:59;23;12:40;0;0;0;0;0
C614H;2017-11-14;24.7;15:10;12.7;23:50;18.7;42;03:20;22;01:30;0;0;0;0;0
C614H;2017-11-15;20.9;14:40;11.4;06:30;16.1;27;00:20;15;23:50;0;0;0;0;0
C614H;2017-11-16;22.4;13:40;12.4;07:00;17.4;37;03:20;19;03:10;0;0;0;0;0
C614H;2017-11-17;23.0;13:00;15.9;19:10;19.4;31;07:20;19;22:00;0;0;0;0;0
C614H;2017-11-18;20.2;13:10;11.9;22:30;16.1;23;15:10;13;06:40;0;0;0;0;0
C614H;2017-11-19;19.6;15:20;12.2;03:30;15.9;29;20:00;18;20:00;0;0;0;0;0
C614H;2017-11-20;21.6;15:30;16.8;08:40;19.2;82;16:50;24;17:10;0;0;0;0;0
C614H;2017-11-21;19.6;13:20;16.5;07:40;18.1;59;09:40;25;11:10;0;0;0;0;0
C614H;2017-11-22;23.4;13:10;16.0;08:00;19.7;34;05:30;19;03:40;0;0;0;0;0
C614H;2017-11-23;24.0;13:50;16.5;19:20;20.3;42;01:30;21;01:20;0;0;0;0;0
C614H;2017-11-24;22.3;13:20;16.4;01:50;19.3;68;17:20;32;17:20;0;0;0;0;0
C614H;2017-11-25;23.2;13:00;17.3;07:50;20.3;52;07:40;26;07:50;0.2;0;0;0;0.2
C614H;2017-11-26;22.6;15:00;18.6;03:30;20.6;63;04:00;24;06:20;0.1;0.1;0;0;0
C614H;2017-11-27;25.2;15:10;19.5;06:40;22.4;48;12:30;22;12:00;0;0;0;0;0
C614H;2017-11-28;24.1;12:30;19.1;21:30;21.6;36;23:59;15;23:59;0;0;0;0;0
C614H;2017-11-29;21.3;13:50;16.0;19:50;18.6;43;00:20;13;14:30;0;0;0;0;0
C614H;2017-11-30;22.3;14:10;13.6;23:00;17.9;23;14:00;11;14:40;0;0;0;0;0
C614H;2017-12-01;21.6;13:20;13.7;23:10;17.7;23;13:20;11;13:40;0;0;0;0;0
C614H;2017-12-02;15.9;12:00;12.2;21:50;14;16;15:50;8;23:10;0.4;0;0;0.4;0
C614H;2017-12-03;19.5;13:50;10.7;23:50;15.1;56;20:40;33;20:40;0;0;0;0;0
C614H;2017-12-04;19.9;14:10;9.6;07:20;14.8;44;22:10;21;00:10;0;0;0;0;0
C614H;2017-12-05;16.9;12:40;11.5;23:40;14.2;48;23:40;22;00:10;0;0;0;0;0
C614H;2017-12-06;13.3;12:40;9.0;08:10;11.2;52;18:50;31;18:40;0;0;0;0;0
C614H;2017-12-07;16.8;14:20;8.5;08:20;12.6;49;21:50;23;20:20;0;0;0;0;0
C614H;2017-12-08;17.1;15:10;10.1;07:00;13.6;57;01:10;19;11:10;0;0;0;0;0
C614H;2017-12-09;17.5;14:30;9.8;20:10;13.7;34;07:00;18;07:10;0;0;0;0;0
C614H;2017-12-10;20.2;12:40;11.1;20:40;15.7;33;00:30;17;04:20;0;0;0;0;0
C614H;2017-12-11;19.0;14:30;10.1;23:20;14.6;50;23:50;27;23:20;17.5;0;0;0;17.5
C614H;2017-12-12;11.0;13:00;8.5;23:10;9.8;64;17:40;24;03:50;27.9;6.2;0.5;8.8;12.4
C614H;2017-12-13;9.9;06:20;8.2;03:30;9;68;18:10;32;09:30;12.6;7.6;4.4;0.5;0.1
C614H;2017-12-14;18.7;14:40;9.3;00:40;14;48;06:10;31;05:50;0;0;0;0;0
C614H;2017-12-15;17.6;15:20;9.1;01:50;13.4;48;04:50;28;05:20;0;0;0;0;0
C614H;2017-12-16;15.4;12:30;11.1;05:50;13.3;43;07:00;16;06:40;17.7;0;0.2;7.5;10
C614H;2017-12-17;13.1;01:00;8.8;23:30;11;72;21:50;32;19:20;11.7;10;0.6;0.6;0.5
C614H;2017-12-18;15.5;16:40;8.4;04:00;11.9;68;01:10;29;03:30;0;0;0;0;0
C614H;2017-12-19;17.9;14:40;8.7;22:20;13.3;57;22:20;40;22:30;0;0;0;0;0
C614H;2017-12-20;12.7;13:20;8.3;03:40;10.5;55;00:30;36;00:30;0;0;0;0;0
C614H;2017-12-21;16.6;13:10;9.0;23:59;12.8;51;20:50;25;04:10;0;0;0;0;0
C614H;2017-12-22;16.0;13:30;8.6;21:50;12.3;59;01:10;27;02:10;0;0;0;0;0
C614H;2017-12-23;15.3;14:00;7.8;22:40;11.6;39;23:20;24;21:30;0;0;0;0;0
C614H;2017-12-24;14.8;13:10;6.9;07:30;10.9;42;23:59;20;23:00;0;0;0;0;0
C614H;2017-12-25;15.8;14:40;8.3;08:40;12.1;45;22:10;25;22:20;0;0;0;0;0
C614H;2017-12-26;16.9;14:10;8.3;22:40;12.6;44;03:50;28;03:50;0;0;0;0;0
C614H;2017-12-27;15.3;13:40;8.4;06:30;11.8;56;23:00;28;23:00;0;0;0;0;0
C614H;2017-12-28;16.4;12:10;9.7;06:00;13;59;22:50;34;22:50;0;0;0;0;0
C614H;2017-12-29;15.7;15:10;10.0;03:10;12.8;57;01:20;35;01:20;0;0;0;0;0
C614H;2017-12-30;17.7;13:10;9.9;02:50;13.8;52;14:40;21;14:40;0;0;0;0;0
C614H;2017-12-31;20.8;14:40;13.8;22:00;17.3;54;23:20;28;21:50;0;0;0;0;0
C614H;2018-01-01;18.3;14:40;12.5;05:20;15.4;63;20:20;33;06:00;0;0;0;0;0
C614H;2018-01-02;18.6;15:40;15.3;07:10;17;62;01:00;29;01:00;0;0;0;0;0
C614H;2018-01-03;21.3;15:10;16.1;23:50;18.7;52;00:40;27;02:10;0;0;0;0;0
C614H;2018-01-04;21.9;15:50;15.3;23:30;18.6;37;06:40;26;06:40;0;0;0;0;0
C614H;2018-01-05;20.9;15:00;13.1;20:00;17;31;22:00;18;04:00;0;0;0;0;0
C614H;2018-01-06;13.7;00:10;8.2;23:59;10.9;69;20:10;26;23:50;20.9;0.3;4.2;9.9;6.5
C614H;2018-01-07;11.3;14:40;7.3;03:50;9.3;64;01:40;23;00:10;16.4;8.1;0.9;0.2;7.2
C614H;2018-01-08;13.7;15:20;8.1;04:10;10.9;57;02:10;21;01:10;10.4;4.3;5.9;0.2;0
C614H;2018-01-09;18.2;13:10;11.1;23:50;14.7;29;01:30;17;01:30;0;0;0;0;0
C614H;2018-01-10;19.7;16:10;10.5;08:30;15.1;38;23:10;22;17:30;0;0;0;0;0
C614H;2018-01-11;17.6;13:00;9.5;18:30;13.6;36;01:30;23;20:00;0;0;0;0;0
C614H;2018-01-12;18.8;13:10;6.7;23:20;12.7;17;01:20;8;15:40;0;0;0;0;0
C614H;2018-01-13;16.8;14:30;6.2;01:50;11.5;63;20:30;42;20:00;0;0;0;0;0
C614H;2018-01-14;11.7;15:10;8.0;20:10;9.8;55;07:30;31;00:10;1.2;0;1.1;0.1;0
C614H;2018-01-15;11.0;14:20;7.2;20:40;9.1;63;16:30;28;07:00;14.7;0.2;1.4;13.1;0
C614H;2018-01-16;9.4;16:40;7.0;05:30;8.2;64;14:50;26;23:30;4.4;0.4;2.3;1.7;0
C614H;2018-01-17;13.5;14:10;8.9;00:10;11.2;60;03:00;27;00:10;0;0;0;0;0
C614H;2018-01-18;14.5;15:50;8.8;08:10;11.7;50;10:30;27;10:30;1.9;1.8;0.1;0;0
C614H;2018-01-19;12.1;12:50;8.9;06:30;10.5;58;22:20;26;20:50;0.1;0.1;0;0;0
C614H;2018-01-20;19.5;15:40;9.2;02:00;14.3;58;01:50;36;02:10;0;0;0;0;0
C614H;2018-01-21;17.8;14:50;12.7;07:10;15.2;60;13:10;17;09:30;0;0;0;0;0
C614H;2018-01-22;20.1;14:20;13.6;20:50;16.9;27;01:00;17;01:00;0;0;0;0;0
C614H;2018-01-23;20.8;15:30;13.0;03:20;16.9;39;14:40;14;19:20;0;0;0;0;0
C614H;2018-01-24;20.5;13:30;13.7;00:20;17.1;42;04:40;19;04:40;0;0;0;0;0
C614H;2018-01-25;19.2;14:40;8.0;23:40;13.6;49;21:30;33;20:10;0;0;0;0;0
C614H;2018-01-26;11.0;11:50;7.2;23:30;9.1;84;23:59;38;03:40;2.4;0;0.7;0.3;1.4
C614H;2018-01-27;8.5;15:20;6.4;04:10;7.5;84;05:20;40;05:20;3.2;1;0.8;0.5;0.9
C614H;2018-01-28;8.9;13:10;6.2;17:40;7.5;80;03:30;42;03:00;3.6;0.3;1.1;2.2;0
C614H;2018-01-29;8.6;15:20;5.1;18:20;6.9;54;10:10;29;00:10;18.5;0;5.1;11.2;2.2
C614H;2018-01-30;9.8;13:40;5.5;02:20;7.7;46;20:10;23;20:10;14.5;0.7;12.8;0.9;0.1
C614H;2018-01-31;9.2;16:00;6.2;00:50;7.7;62;17:50;25;11:50;19.8;0;0.6;11.1;8.1
C614H;2018-02-01;8.7;14:40;5.6;17:10;7.1;65;10:40;35;02:30;55.3;6.1;13.8;18.3;17.1
C614H;2018-02-02;10.1;12:20;7.2;23:10;8.7;76;18:00;39;22:40;36.6;5.8;12.9;11.4;6.5
C614H;2018-02-03;8.9;12:50;6.8;08:50;7.8;74;00:30;37;01:20;8.4;4.5;2.2;1.5;0.2
C614H;2018-02-04;11.4;14:40;6.7;07:20;9;62;02:40;28;02:30;1.9;1;0;0;0.9
C614H;2018-02-05;9.7;15:50;6.8;09:40;8.3;47;12:00;18;11:10;8.7;2.5;6.1;0;0.1
C614H;2018-02-06;8.1;14:10;6.0;07:40;7.1;48;20:10;20;20:50;17.8;4.1;5.9;6.4;1.4
C614H;2018-02-07;8.4;15:40;5.2;23:59;6.8;72;22:30;32;14:50;25.4;4.8;4.4;7;9.2
C614H;2018-02-08;6.7;13:00;3.9;03:00;5.3;69;10:40;31;13:50;12.6;8;1.8;1.3;1.5
C614H;2018-02-09;8.9;23:10;5.8;03:30;7.3;68;03:40;37;16:10;7.7;1.1;2.8;0.2;3.6
C614H;2018-02-10;11.3;13:10;7.7;00:20;9.5;59;21:10;28;00:40;8.2;3.7;2.3;1;1.2
C614H;2018-02-11;10.6;16:00;6.8;07:30;8.7;69;01:40;36;23:10;0.1;0.1;0;0;0
