Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
C625O;2013-05-07;30.3;16:00;19.8;00:10;25;21;12:40;11;00:30;0;0;0;0;0
C625O;2013-05-08;32.6;16:50;20.1;08:40;26.3;23;17:50;13;07:50;0;0;0;0;0
C625O;2013-05-09;32.9;17:10;20.9;07:50;26.9;26;15:40;13;18:40;0;0;0;0;0
C625O;2013-05-10;32.0;17:00;20.7;08:10;26.4;23;18:20;13;06:10;0;0;0;0;0
C625O;2013-05-11;32.6;15:50;21.8;07:30;27.2;25;14:50;14;03:40;0;0;0;0;0
C625O;2013-05-12;29.4;15:50;22.1;23:30;25.8;35;14:10;16;07:10;0;0;0;0;0
C625O;2013-05-13;;;;;;;;;;;0;0;0;
C625O;2013-05-14;;;;;;;;;;;0;0;0;
C625O;2013-05-15;;;;;;;;;;;0;0;0;
C625O;2013-05-16;;;;;;;;;;;0;0;0;
C625O;2013-05-17;;;;;;;;;;;0;0;0;
C625O;2013-05-18;;;;;;;;;;;0;0;0;
C625O;2013-05-19;;;;;;;;;;;0;0;;
C625O;2013-05-20;20.4;15:50;10.8;06:10;15.6;29;17:20;15;17:00;0;0;0;0;0
C625O;2013-05-21;;;;;;;;;;;0;0;0;
C625O;2013-05-22;;;;;;;;;;;0;0;0;
C625O;2013-05-23;;;;;;;;;;;0;0;0;
C625O;2013-05-24;;;;;;;;;;;0;0;0;
C625O;2013-05-25;;;;;;;;;;;0;0;0;
C625O;2013-05-26;;;;;;;;;;;0;0;0;
C625O;2013-05-27;;;;;;;;;;;0;0;0;
C625O;2013-05-28;;;;;;;;;;;0;0;0;
C625O;2013-05-29;;;;;;;;;;;0;0;0;
C625O;2013-05-30;;;;;;;;;;;0;0;0;
C625O;2013-05-31;;;;;;;;;;;0;0;0;
C625O;2013-06-01;;;;;;;;;;;0;0;0;
C625O;2013-06-02;;;;;;;;;;;0;0;0;
C625O;2013-06-03;;;;;;;;;;;0;0;0;
C625O;2013-06-04;;;;;;;;;;;0;0;0;
C625O;2013-06-05;;;;;;;;;;;0;0;0;
C625O;2013-06-06;22.0;16:10;11.6;04:20;16.8;30;16:20;16;16:20;0;0;0;0;0
C625O;2013-06-07;;;;;;;;;;;0;0;0;
C625O;2013-06-08;;;;;;;;;;;0;0;0;
C625O;2013-06-09;;;;;;;;;;;0;0;0;
C625O;2013-06-10;;;;;;;;;;;0;0;0;
C625O;2013-06-11;;;;;;;;;;;0;0;0;
C625O;2013-06-12;;;;;;;;;;;0;0;0;
C625O;2013-06-13;;;;;;;;;;;0;0;;
C625O;2013-06-14;26.7;17:00;16.4;00:00;21.6;23;13:30;15;04:00;0;0;0;0;0
C625O;2013-06-15;30.3;16:20;18.6;07:50;24.4;24;17:00;10;06:10;0;0;0;0;0
C625O;2013-06-16;27.7;16:40;19.0;06:50;23.4;25;15:20;11;17:10;0;0;0;0;0
C625O;2013-06-17;;;;;;;;;;;0;0;0;
C625O;2013-06-18;;;;;;;;;;;0;;;
C625O;2013-06-19;;;;;;;;;;;0;0;0;
C625O;2013-06-20;24.7;16:50;13.1;06:40;18.9;25;07:50;15;18:00;0;0;0;0;0
C625O;2013-06-21;27.7;17:20;16.6;06:00;22.2;25;14:40;16;07:30;0;0;0;0;0
C625O;2013-06-22;26.4;16:30;17.2;07:00;21.8;38;13:40;12;13:40;0;0;0;0;0
C625O;2013-06-23;28.6;16:00;17.5;03:50;23.1;24;15:50;12;17:00;0;0;0;0;0
C625O;2013-06-24;26.7;19:10;18.4;07:30;22.6;24;06:20;17;06:20;0;0;0;0;0
C625O;2013-06-25;28.5;18:30;18.8;03:30;23.6;18;15:50;10;15:30;0;0;0;0;0
C625O;2013-06-26;30.1;11:00;17.0;07:30;23.6;15;15:40;8;15:40;0;0;0;0;0
C625O;2013-06-27;36.0;17:00;23.4;04:00;29.7;19;11:50;11;22:30;0;0;0;0;0
C625O;2013-06-28;35.7;16:20;26.0;07:10;30.9;22;15:30;11;15:10;0;0;0;0;0
C625O;2013-06-29;34.3;17:30;24.3;04:40;29.3;27;18:30;13;17:00;0;0;0;0;0
C625O;2013-06-30;30.6;16:50;21.7;23:50;26.2;21;12:50;12;14:40;0;0;0;0;0
C625O;2013-07-01;31.6;15:00;20.8;05:10;26.2;27;17:00;13;17:00;0;0;0;0;0
C625O;2013-07-02;30.5;17:00;21.6;05:30;26.1;22;14:50;12;16:30;0;0;0;0;0
C625O;2013-07-03;29.9;13:40;20.5;05:30;25.2;23;15:50;14;15:50;0;0;0;0;0
C625O;2013-07-04;29.0;16:50;20.1;23:50;24.6;26;02:30;14;02:30;0;0;0;0;0
C625O;2013-07-05;26.8;15:30;17.3;23:50;22;25;13:20;10;15:10;0;0;0;0;0
C625O;2013-07-06;26.2;16:30;15.5;07:30;20.9;23;18:10;12;16:30;0;0;0;0;0
C625O;2013-07-07;25.7;18:30;15.0;08:00;20.4;20;17:00;11;04:50;0;0;0;0;0
C625O;2013-07-08;27.5;17:00;15.7;05:40;21.6;17;13:10;9;16:20;0;0;0;0;0
C625O;2013-07-09;35.6;18:20;18.5;00:40;27;45;04:10;24;04:10;0;0;0;0;0
C625O;2013-07-10;34.6;16:30;23.8;06:00;29.2;21;02:10;13;02:10;0;0;0;0;0
C625O;2013-07-11;32.3;18:50;25.7;07:50;29;40;08:50;24;18:50;0;0;0;0;0
C625O;2013-07-12;33.7;17:10;24.8;01:10;29.3;46;03:00;18;03:00;0;0;0;0;0
C625O;2013-07-13;36.0;16:30;26.6;04:50;31.3;29;07:00;16;02:00;0;0;0;0;0
C625O;2013-07-14;34.5;15:10;25.4;07:40;29.9;23;16:40;13;16:00;0;0;0;0;0
C625O;2013-07-15;33.3;16:20;25.6;07:20;29.4;21;16:30;9;14:00;0;0;0;0;0
C625O;2013-07-16;36.5;16:30;27.0;07:30;31.8;25;16:00;17;03:30;0;0;0;0;0
C625O;2013-07-17;34.9;15:30;26.4;23:59;30.7;27;16:10;13;15:50;0;0;0;0;0
C625O;2013-07-18;33.9;15:50;25.0;07:20;29.5;21;14:30;11;14:10;0;0;0;0;0
C625O;2013-07-19;30.3;17:40;21.1;07:20;25.7;23;12:20;13;17:40;0;0;0;0;0
C625O;2013-07-20;28.2;16:20;17.2;07:00;22.7;28;16:00;17;01:40;0;0;0;0;0
