Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
C639M;2013-05-07;25.5;12:50;17.9;07:00;21.7;19;12:00;12;11:50;0;0;0;0;0
C639M;2013-05-08;28.4;13:40;18.4;06:30;23.4;18;15:30;13;15:30;0;0;0;0;0
C639M;2013-05-09;28.2;16:20;19.0;06:10;23.6;23;15:20;13;16:00;0;0;0;0;0
C639M;2013-05-10;29.2;17:40;19.4;07:30;24.3;19;12:20;12;10:50;0;0;0;0;0
C639M;2013-05-11;29.0;15:30;19.8;04:30;24.4;33;15:00;18;16:30;0;0;0;0;0
C639M;2013-05-12;26.0;12:10;19.5;07:30;22.8;38;13:20;21;13:00;0;0;0;0;0
C639M;2013-05-13;27.0;16:40;19.3;07:10;23.1;30;17:30;16;17:40;0;0;0;0;0
C639M;2013-05-14;24.9;15:50;20.1;22:50;22.5;28;14:50;19;18:40;0;0;0;0;0
C639M;2013-05-15;24.1;15:30;18.1;06:30;21.1;33;14:40;22;15:00;0;0;0;0;0
C639M;2013-05-16;23.1;12:50;17.3;07:10;20.2;34;18:40;20;14:50;0;0;0;0;0
C639M;2013-05-17;22.8;15:20;16.9;07:10;19.8;28;18:10;17;18:30;0;0;0;0;0
C639M;2013-05-18;21.9;12:50;17.3;07:10;19.6;36;15:10;17;13:30;0;0;0;0;0
C639M;2013-05-19;;;;;;;;;;;0;0;;
C639M;2013-05-20;;;;;;;;;;;;;;
C639M;2013-05-21;;;;;;;;;;;;;;0
C639M;2013-05-22;23.0;16:50;16.9;07:10;19.9;45;11:10;23;13:40;0;0;0;0;0
C639M;2013-05-23;23.7;14:10;17.3;04:30;20.5;31;16:00;20;15:50;0;0;0;0;0
C639M;2013-05-24;24.0;17:40;17.9;06:50;20.9;31;15:00;18;13:00;0;0;0;0;0
C639M;2013-05-25;24.3;14:50;17.8;04:40;21;32;16:30;20;16:30;0;0;0;0;0
C639M;2013-05-26;23.6;13:50;19.0;05:40;21.3;31;16:10;18;16:20;0;0;0;0;0
C639M;2013-05-27;23.7;15:20;18.9;03:00;21.3;36;17:00;20;13:40;0;0;0;0;0
C639M;2013-05-28;22.9;12:30;17.6;06:50;20.3;43;17:10;22;17:10;0;0;0;0;0
C639M;2013-05-29;23.2;15:20;17.6;06:10;20.4;44;11:40;21;11:20;0;0;0;0;0
C639M;2013-05-30;23.9;15:50;17.5;07:30;20.7;33;14:40;21;14:20;0;0;0;0;0
C639M;2013-05-31;23.4;15:10;17.4;06:20;20.4;28;15:50;17;15:50;0;0;0;0;0
C639M;2013-06-01;23.7;16:30;18.9;05:50;21.3;30;15:20;18;17:10;0;0;0;0;0
C639M;2013-06-02;24.7;16:10;16.9;07:00;20.8;31;15:00;20;15:10;0;0;0;0;0
C639M;2013-06-03;25.6;14:20;17.2;07:10;21.4;27;14:50;16;18:20;0;0;0;0;0
C639M;2013-06-04;23.6;16:20;18.6;07:00;21.1;32;13:00;17;12:00;0;0;0;0;0
C639M;2013-06-05;23.7;13:40;18.8;07:00;21.3;40;17:20;20;17:20;0;0;0;0;0
C639M;2013-06-06;24.8;16:20;18.7;03:20;21.8;38;15:30;18;12:50;0;0;0;0;0
C639M;2013-06-07;26.0;15:50;17.8;05:50;21.9;36;16:20;21;17:00;0;0;0;0;0
C639M;2013-06-08;24.8;15:40;18.3;06:40;21.5;36;17:20;18;13:20;0;0;0;0;0
C639M;2013-06-09;25.2;17:50;18.5;03:30;21.9;40;14:00;20;14:10;0;0;0;0;0
C639M;2013-06-10;25.2;15:30;18.5;02:50;21.9;31;16:50;18;16:40;0;0;0;0;0
C639M;2013-06-11;25.3;17:50;19.0;04:40;22.1;32;14:30;18;18:30;0;0;0;0;0
C639M;2013-06-12;26.6;17:50;17.7;06:40;22.2;33;16:00;21;15:50;0;0;0;0;0
C639M;2013-06-13;25.3;16:50;18.3;07:00;21.8;35;15:30;19;15:30;0;0;0;0;0
C639M;2013-06-14;27.0;16:20;19.1;05:30;23.1;31;17:00;20;12:20;0;0;0;0;0
C639M;2013-06-15;27.1;15:40;19.4;06:40;23.3;28;16:10;18;15:40;0;0;0;0;0
C639M;2013-06-16;26.3;18:40;18.7;05:10;22.5;30;14:30;18;14:20;0;0;0;0;0
C639M;2013-06-17;26.4;18:20;19.0;06:50;22.7;29;15:20;18;15:30;0;0;0;0;0
C639M;2013-06-18;26.1;18:10;19.0;06:00;22.6;35;15:50;22;16:10;0;0;0;0;0
C639M;2013-06-19;26.5;15:50;18.2;07:30;22.4;29;15:30;19;16:10;0;0;0;0;0
C639M;2013-06-20;27.4;16:30;18.6;04:20;23;37;10:10;19;13:50;0;0;0;0;0
C639M;2013-06-21;26.6;16:30;18.4;06:40;22.5;30;13:50;19;16:00;0;0;0;0;0
C639M;2013-06-22;26.9;16:30;18.5;07:30;22.7;32;17:20;20;16:50;0;0;0;0;0
C639M;2013-06-23;26.6;16:50;18.2;06:40;22.4;27;15:20;19;15:00;0;0;0;0;0
C639M;2013-06-24;26.1;15:20;19.6;03:10;22.9;28;17:40;18;16:20;0;0;0;0;0
C639M;2013-06-25;25.8;17:00;19.4;02:00;22.6;33;18:00;20;18:50;0;0;0;0;0
C639M;2013-06-26;25.8;14:10;19.6;03:50;22.7;40;16:00;23;16:40;0;0;0;0;0
C639M;2013-06-27;25.9;16:10;19.7;02:10;22.8;30;12:00;20;12:10;0;0;0;0;0
C639M;2013-06-28;31.3;17:00;20.1;06:00;25.7;48;13:20;23;14:20;0;0;0;0;0
C639M;2013-06-29;29.3;17:20;22.1;06:30;25.7;33;15:00;22;15:10;0;0;0;0;0
C639M;2013-06-30;28.9;13:30;21.5;01:30;25.2;30;16:20;21;15:30;0;0;0;0;0
C639M;2013-07-01;26.7;14:40;21.0;05:50;23.9;32;17:40;21;16:00;0;0;0;0;0
C639M;2013-07-02;26.8;18:20;19.6;07:10;23.2;30;13:50;19;13:50;0;0;0;0;0
C639M;2013-07-03;28.3;13:50;19.6;06:50;23.9;33;14:10;19;14:10;0;0;0;0;0
C639M;2013-07-04;26.6;14:20;19.6;07:40;23.1;31;03:20;20;03:20;0;0;0;0;0
