Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
C639U;2013-05-07;26.3;14:10;15.2;07:50;20.7;27;00:40;17;19:50;0;0;0;0;0
C639U;2013-05-08;29.5;13:10;19.9;01:10;24.7;30;04:10;18;23:20;0;0;0;0;0
C639U;2013-05-09;29.9;14:10;18.8;08:00;24.3;42;23:20;24;23:20;0;0;0;0;0
C639U;2013-05-10;30.2;14:30;21.7;04:20;26;45;00:30;28;00:30;0;0;0;0;0
C639U;2013-05-11;;;;;;;;;;;0;0;0;
C639U;2013-05-12;;;;;;;;;;;0;0;0;
C639U;2013-05-13;26.6;14:00;18.9;07:50;22.8;46;14:50;28;13:10;0;0;0;0;0
C639U;2013-05-14;23.7;11:10;18.6;06:20;21.2;52;10:50;28;12:10;0;0;0;0;0
C639U;2013-05-15;24.2;16:00;18.3;04:30;21.3;59;14:20;35;14:20;0;0;0;0;0
C639U;2013-05-16;23.8;14:30;15.3;07:30;19.5;45;20:00;28;19:20;1.2;0;0;1.2;0
C639U;2013-05-17;23.9;16:30;16.7;05:40;20.3;49;12:30;31;10:40;0;0;0;0;0
C639U;2013-05-18;22.6;14:40;16.1;03:20;19.4;55;19:00;35;18:20;0;0;0;0;0
C639U;2013-05-19;;;;;;;;;;;0;0;;
C639U;2013-05-20;22.9;14:50;17.1;06:20;20;57;12:40;36;10:30;0;0;0;0;0
C639U;2013-05-21;22.6;14:40;17.1;05:20;19.9;51;12:20;31;12:30;0;0;0;0;0
C639U;2013-05-22;22.8;14:40;16.7;04:50;19.8;46;22:00;29;17:50;0;0;0;0;0
C639U;2013-05-23;22.8;14:50;16.9;04:00;19.8;53;13:40;31;12:40;0;0;0;0;0
C639U;2013-05-24;23.6;14:50;17.0;07:20;20.3;53;17:30;33;17:40;0;0;0;0;0
C639U;2013-05-25;23.2;13:10;17.8;05:10;20.5;57;15:40;35;15:40;0;0;0;0;0
C639U;2013-05-26;23.1;15:00;17.6;02:30;20.4;59;14:00;41;13:00;0;0;0;0;0
C639U;2013-05-27;23.4;14:40;17.8;08:40;20.6;58;15:50;36;13:10;0;0;0;0;0
C639U;2013-05-28;23.4;14:50;17.4;06:10;20.4;51;00:20;30;14:20;0;0;0;0;0
C639U;2013-05-29;23.4;16:50;17.9;03:10;20.6;48;15:20;29;21:50;0;0;0;0;0
C639U;2013-05-30;24.4;14:40;17.7;04:40;21.1;63;18:10;39;16:30;0;0;0;0;0
C639U;2013-05-31;22.9;13:50;18.1;06:30;20.5;62;15:00;41;15:20;0;0;0;0;0
C639U;2013-06-01;24.3;14:40;17.9;02:10;21.1;57;15:20;36;14:30;0;0;0;0;0
C639U;2013-06-02;24.7;14:50;13.7;07:30;19.2;30;01:00;18;17:30;0;0;0;0;0
C639U;2013-06-03;24.5;14:40;17.0;06:20;20.8;51;15:50;31;15:50;0;0;0;0;0
C639U;2013-06-04;24.1;13:40;17.7;05:10;20.9;46;16:50;25;16:10;0;0;0;0;0
C639U;2013-06-05;24.3;14:40;18.4;05:40;21.3;51;14:30;32;18:40;0;0;0;0;0
C639U;2013-06-06;23.3;14:00;18.2;02:00;20.8;58;12:20;37;16:30;0;0;0;0;0
C639U;2013-06-07;;;;;;;;;;;0;0;0;
C639U;2013-06-08;23.4;14:40;18.1;05:50;20.8;64;16:50;41;15:40;0;0;0;0;0
C639U;2013-06-09;23.5;14:40;17.5;07:00;20.5;63;17:50;36;17:00;0;0;0;0;0
C639U;2013-06-10;23.5;16:40;17.9;01:00;20.7;59;16:20;37;16:20;0;0;0;0;0
C639U;2013-06-11;23.7;14:50;18.1;05:40;20.9;62;17:40;40;14:40;0;0;0;0;0
C639U;2013-06-12;24.6;16:40;18.0;07:20;21.3;64;18:20;42;18:20;0;0;0;0;0
C639U;2013-06-13;25.3;14:50;18.0;07:30;21.6;64;14:40;39;14:40;0;0;0;0;0
C639U;2013-06-14;26.7;14:40;19.1;03:20;22.9;64;12:00;44;16:40;0;0;0;0;0
C639U;2013-06-15;29.1;14:50;17.9;07:20;23.5;59;15:10;37;15:10;0;0;0;0;0
C639U;2013-06-16;26.4;14:20;17.1;05:30;21.8;45;13:30;29;12:10;0;0;0;0;0
C639U;2013-06-17;25.6;15:00;17.9;05:30;21.8;66;16:10;44;22:40;0;0;0;0;0
C639U;2013-06-18;23.4;14:50;18.2;06:50;20.8;71;11:10;46;17:50;0;0;0;0;0
C639U;2013-06-19;24.4;14:50;18.3;06:50;21.3;76;10:40;46;17:50;0;0;0;0;0
C639U;2013-06-20;24.1;14:40;18.6;07:50;21.4;71;15:20;46;16:10;0;0;0;0;0
C639U;2013-06-21;26.6;15:50;18.5;06:00;22.6;76;19:00;49;19:00;0;0;0;0;0
C639U;2013-06-22;25.5;14:50;18.7;06:50;22.1;69;00:10;45;00:10;0;0;0;0;0
C639U;2013-06-23;26.9;15:00;15.2;06:40;21;33;00:20;18;15:10;0;0;0;0;0
C639U;2013-06-24;26.2;14:40;18.2;03:00;22.2;37;14:40;23;14:50;0;0;0;0;0
C639U;2013-06-25;26.9;16:10;18.5;07:30;22.7;28;15:30;17;18:10;0;0;0;0;0
C639U;2013-06-26;27.5;14:50;17.4;02:30;22.4;31;16:00;21;17:00;0;0;0;0;0
C639U;2013-06-27;27.7;15:00;16.8;06:10;22.3;41;16:40;22;16:30;0;0;0;0;0
C639U;2013-06-28;32.6;12:30;19.7;03:10;26.1;63;19:00;41;19:10;0;0;0;0;0
C639U;2013-06-29;34.3;18:00;23.4;21:10;28.8;60;14:30;38;14:20;0;0;0;0;0
