Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
C648N;2013-05-07;26.8;15:00;15.6;06:30;21.2;19;14:50;13;15:20;0;0;0;0;0
C648N;2013-05-08;28.5;14:00;16.3;05:30;22.4;22;14:30;13;12:30;0;0;0;0;0
C648N;2013-05-09;30.4;17:10;17.5;05:50;23.9;33;19:50;20;19:50;0;0;0;0;0
C648N;2013-05-10;28.0;17:30;18.4;07:20;23.2;34;20:00;24;20:10;0;0;0;0;0
C648N;2013-05-11;28.1;12:40;18.2;07:20;23.2;30;03:10;22;03:00;0;0;0;0;0
C648N;2013-05-12;25.9;12:20;16.5;07:10;21.2;25;13:40;16;13:40;0;0;0;0;0
C648N;2013-05-13;24.2;16:30;16.0;07:20;20.1;46;13:20;32;13:20;0;0;0;0;0
C648N;2013-05-14;20.3;16:20;15.8;06:00;18;48;17:00;30;17:00;0;0;0;0;0
C648N;2013-05-15;19.3;13:10;15.3;03:40;17.3;47;06:30;26;07:30;0;0;0;0;0
C648N;2013-05-16;22.0;12:50;14.0;23:00;18;38;13:30;24;13:10;2.2;0;0;2.2;0
C648N;2013-05-17;20.1;16:00;13.1;09:50;16.6;37;19:30;24;17:50;1.4;0;1.2;0.2;0
C648N;2013-05-18;18.1;17:20;14.9;22:50;16.5;41;18:10;21;18:30;2;0;1.6;0.4;0
C648N;2013-05-19;;;;;;;;;;;0;0;;
C648N;2013-05-20;;;;;;;;;;;;;;
C648N;2013-05-21;;;;;;;;;;;;;;0
C648N;2013-05-22;18.8;13:30;14.1;06:30;16.4;36;15:00;20;19:00;0;0;0;0;0
C648N;2013-05-23;20.0;15:30;14.4;04:00;17.2;42;16:00;22;19:10;0;0;0;0;0
C648N;2013-05-24;20.8;14:40;14.4;06:00;17.6;48;13:30;26;17:40;0;0;0;0;0
C648N;2013-05-25;20.5;14:00;15.4;02:10;17.9;40;22:20;26;14:40;0;0;0;0;0
C648N;2013-05-26;19.9;16:50;15.0;04:20;17.4;40;03:10;24;07:40;0;0;0;0;0
C648N;2013-05-27;20.3;16:00;14.2;08:50;17.2;39;13:30;23;12:50;0;0;0;0;0
C648N;2013-05-28;19.9;12:30;14.8;05:10;17.3;39;14:10;22;18:20;0;0;0;0;0
C648N;2013-05-29;19.0;17:20;14.9;23:59;16.9;34;00:40;21;00:50;5.6;0;4.8;0.2;0.6
C648N;2013-05-30;20.7;14:50;14.5;06:20;17.6;45;19:50;26;13:30;0.4;0.2;0;0;0.2
C648N;2013-05-31;18.5;13:20;14.7;09:00;16.6;43;23:30;24;15:20;0.6;0.2;0.4;0;0
C648N;2013-06-01;20.5;14:30;14.9;23:59;17.7;46;13:30;28;15:50;;0;0;0;
C648N;2013-06-02;25.8;13:30;13.5;07:00;19.6;37;02:00;22;01:50;0;0;0;0;0
C648N;2013-06-03;22.4;14:10;13.9;07:30;18.1;38;19:40;23;12:20;0;0;0;0;0
C648N;2013-06-04;21.8;12:50;13.4;07:20;17.6;40;16:30;23;16:40;0;0;0;0;0
C648N;2013-06-05;21.7;15:00;15.5;04:30;18.6;45;17:30;24;17:30;0;0;0;0;0
C648N;2013-06-06;21.3;15:40;15.8;02:10;18.5;48;13:40;27;16:50;0;0;0;0;0
C648N;2013-06-07;21.6;16:10;14.9;06:40;18.3;38;15:20;28;16:50;0;0;0;0;0
C648N;2013-06-08;20.4;14:50;15.6;08:10;18;45;15:30;28;15:20;0;0;0;0;0
C648N;2013-06-09;21.3;16:20;15.1;03:50;18.2;41;18:00;25;17:50;0;0;0;0;0
C648N;2013-06-10;21.3;13:20;15.3;01:40;18.3;39;15:00;26;17:30;0;0;0;0;0
C648N;2013-06-11;22.0;15:40;16.0;05:50;19;41;14:10;28;13:40;0;0;0;0;0
C648N;2013-06-12;22.1;13:50;15.7;06:40;18.9;44;13:30;27;14:20;0;0;0;0;0
C648N;2013-06-13;21.6;16:50;17.0;03:50;19.3;52;17:30;28;08:50;0;0;0;0;0
C648N;2013-06-14;21.6;16:40;16.7;06:00;19.2;57;21:30;33;17:20;0;0;0;0;0
C648N;2013-06-15;27.2;15:50;18.8;07:00;23;42;14:10;26;14:30;0;0;0;0;0
C648N;2013-06-16;23.7;15:00;16.5;07:20;20.1;42;19:10;30;11:40;0;0;0;0;0
C648N;2013-06-17;22.5;15:20;16.3;06:00;19.4;50;06:20;30;04:20;0;0;0;0;0
C648N;2013-06-18;19.8;16:50;15.1;08:30;17.4;47;21:50;26;18:30;2;1.2;0.8;0;0
C648N;2013-06-19;20.7;14:30;15.5;06:30;18.1;45;19:00;27;04:40;0;0;0;0;0
C648N;2013-06-20;19.6;17:30;15.7;07:30;17.7;48;21:30;31;20:40;0;0;0;0;0
C648N;2013-06-21;22.1;15:30;16.2;00:10;19.2;54;16:00;32;14:10;0;0;0;0;0
C648N;2013-06-22;21.8;15:30;16.2;22:50;19;49;12:10;29;20:50;0;0;0;0;0
C648N;2013-06-23;;;;;;;;;;;;;;
C648N;2013-06-24;;;;;;;;;;;;;;
C648N;2013-06-25;;;;;;;;;;;;;;
C648N;2013-06-26;;;;;;;;;;;;;;
C648N;2013-06-27;;;;;;;;;;;;;;
C648N;2013-06-28;;;;;;;;;;;;;;
C648N;2013-06-29;;;;;;;;;;;;;;
C648N;2013-06-30;;;;;;;;;;;;;;
C648N;2013-07-01;;;;;;;;;;;;;;
C648N;2013-07-02;;;;;;;;;;;;;;
C648N;2013-07-03;;;;;;;;;;;;;;
C648N;2013-07-04;;;;;;;;;;;;;;
C648N;2013-07-05;;;;;;;;;;;;;;
C648N;2013-07-06;;;;;;;;;;;;;;
C648N;2013-07-07;;;;;;;;;;;;;;
C648N;2013-07-08;;;;;;;;;;;;;;
C648N;2013-07-09;;;;;;;;;;;;;;
C648N;2013-07-10;;;;;;;;;;;;;;
C648N;2013-07-11;;;;;;;;;;;;;;
C648N;2013-07-12;;;;;;;;;;;;;;
C648N;2013-07-13;;;;;;;;;;;;;;
C648N;2013-07-14;;;;;;;;;;;;;;
C648N;2013-07-15;;;;;;;;;;;;;;
C648N;2013-07-16;;;;;;;;;;;;;;
C648N;2013-07-17;;;;;;;;;;;;;;
C648N;2013-07-18;;;;;;;;;;;;;;
C648N;2013-07-19;;;;;;;;;;;;;;
C648N;2013-07-20;;;;;;;;;;;;;;
