Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
C649R;2013-05-07;23.0;11:50;14.9;06:00;18.9;29;11:40;19;13:00;0;0;0;0;0
C649R;2013-05-08;24.8;15:10;16.8;07:20;20.8;38;20:00;22;18:50;0;0;0;0;0
C649R;2013-05-09;25.2;17:20;16.4;07:20;20.8;36;17:40;23;16:30;0;0;0;0;0
C649R;2013-05-10;25.9;10:20;20.5;05:20;23.2;44;18:50;26;18:50;0;0;0;0;0
C649R;2013-05-11;24.4;12:20;20.4;06:40;22.4;42;18:10;24;12:40;0;0;0;0;0
C649R;2013-05-12;23.9;13:20;19.4;07:10;21.6;37;03:50;23;03:40;0;0;0;0;0
C649R;2013-05-13;23.6;13:40;19.5;06:50;21.6;47;13:10;28;13:20;0;0;0;0;0
C649R;2013-05-14;22.9;16:20;18.9;13:00;20.9;44;16:20;25;16:10;0;0;0;0;0
C649R;2013-05-15;22.3;14:10;18.3;03:20;20.3;47;12:20;25;13:30;0;0;0;0;0
C649R;2013-05-16;23.5;12:20;17.7;07:00;20.6;43;13:00;27;13:00;0;0;0;0;0
C649R;2013-05-17;22.6;16:20;16.1;06:40;19.4;41;18:40;24;17:10;0;0;0;0;0
C649R;2013-05-18;21.4;11:30;17.8;10:00;19.6;39;09:40;24;12:20;0;0;0;0;0
C649R;2013-05-19;;;;;;;;;;;0;0;;
C649R;2013-05-20;21.7;15:40;18.1;05:50;19.9;40;10:30;24;10:30;0;0;0;0;0
C649R;2013-05-21;21.6;14:10;17.2;04:30;19.4;42;12:20;23;12:10;0;0;0;0;0
C649R;2013-05-22;21.6;14:10;17.6;06:10;19.6;35;15:10;23;15:50;0;0;0;0;0
C649R;2013-05-23;21.9;13:00;17.9;03:30;19.9;36;15:10;23;14:50;0;0;0;0;0
C649R;2013-05-24;22.1;12:40;17.3;07:20;19.7;37;14:30;25;14:10;0;0;0;0;0
C649R;2013-05-25;22.6;14:50;18.0;02:50;20.3;39;15:50;25;15:20;0;0;0;0;0
C649R;2013-05-26;22.1;14:50;18.3;04:00;20.2;45;16:20;24;11:40;0;0;0;0;0
C649R;2013-05-27;22.0;15:40;18.3;08:00;20.1;40;15:00;24;13:20;0;0;0;0;0
C649R;2013-05-28;22.1;16:00;17.0;07:10;19.6;35;15:50;23;13:00;0;0;0;0;0
C649R;2013-05-29;22.0;14:20;18.0;01:20;20;37;23:30;24;11:10;0.2;0;0.2;0;0
C649R;2013-05-30;22.7;13:20;17.3;06:20;20;42;19:10;25;14:10;0;0;0;0;0
C649R;2013-05-31;22.2;12:50;17.3;08:00;19.8;50;12:20;26;12:40;0.2;0;0.2;0;0
C649R;2013-06-01;22.6;13:30;18.5;06:20;20.6;44;16:10;27;15:50;0;0;0;0;0
C649R;2013-06-02;24.4;15:40;17.4;04:40;20.9;51;16:20;28;12:20;0;0;0;0;0
C649R;2013-06-03;22.4;13:30;17.9;06:50;20.1;43;12:10;27;14:20;0;0;0;0;0
C649R;2013-06-04;22.5;12:40;18.3;04:50;20.4;39;13:30;26;13:30;0;0;0;0;0
C649R;2013-06-05;23.9;14:20;18.6;07:10;21.3;41;17:40;24;17:10;0;0;0;0;0
C649R;2013-06-06;22.5;13:40;18.5;02:50;20.5;42;16:20;25;13:50;0;0;0;0;0
C649R;2013-06-07;22.7;15:10;18.5;05:50;20.6;36;07:10;24;14:50;0;0;0;0;0
C649R;2013-06-08;22.3;16:50;18.9;05:30;20.6;41;14:40;28;14:40;0;0;0;0;0
C649R;2013-06-09;22.9;14:00;18.1;03:30;20.5;40;16:30;24;16:30;0;0;0;0;0
C649R;2013-06-10;22.6;16:50;18.5;01:30;20.6;38;16:00;25;16:00;0;0;0;0;0
C649R;2013-06-11;22.6;16:20;19.1;07:00;20.9;39;19:20;25;16:40;0;0;0;0;0
C649R;2013-06-12;23.7;16:30;19.0;06:50;21.4;45;14:00;27;17:00;0;0;0;0;0
C649R;2013-06-13;23.4;15:20;19.3;08:40;21.3;44;21:40;27;16:00;0;0;0;0;0
C649R;2013-06-14;24.1;15:30;19.6;03:20;21.9;49;16:20;29;14:00;0;0;0;0;0
C649R;2013-06-15;24.2;14:00;19.0;07:00;21.6;49;15:20;31;14:10;0;0;0;0;0
C649R;2013-06-16;24.2;15:40;18.6;05:00;21.4;50;15:10;29;16:40;0;0;0;0;0
C649R;2013-06-17;23.5;14:50;19.4;00:40;21.4;44;05:10;28;02:50;0;0;0;0;0
C649R;2013-06-18;22.6;14:40;18.4;04:40;20.5;53;08:20;28;07:30;0;0;0;0;0
C649R;2013-06-19;23.1;16:40;19.0;01:50;21.1;46;11:30;27;09:10;0;0;0;0;0
C649R;2013-06-20;22.4;14:50;18.4;08:40;20.4;46;23:50;32;23:40;0;0;0;0;0
C649R;2013-06-21;23.1;16:40;18.6;05:00;20.9;53;17:40;32;15:50;0;0;0;0;0
C649R;2013-06-22;23.4;15:00;19.0;03:40;21.2;48;16:20;30;16:00;0;0;0;0;0
C649R;2013-06-23;24.3;14:50;18.3;07:00;21.3;44;12:00;28;11:40;0;0;0;0;0
C649R;2013-06-24;24.4;15:50;19.0;07:20;21.7;44;16:30;27;16:30;0;0;0;0;0
C649R;2013-06-25;23.7;14:00;18.9;08:00;21.3;49;16:30;32;18:00;0;0;0;0;0
C649R;2013-06-26;24.0;13:50;19.2;07:50;21.6;55;15:00;34;13:20;0;0;0;0;0
C649R;2013-06-27;24.1;17:00;19.2;06:50;21.7;50;17:00;32;17:30;0;0;0;0;0
C649R;2013-06-28;27.0;19:20;20.0;02:20;23.5;55;04:20;28;01:10;0;0;0;0;0
C649R;2013-06-29;29.0;17:30;21.8;22:40;25.4;45;19:30;28;08:10;0;0;0;0;0
C649R;2013-06-30;28.7;17:10;22.0;01:00;25.4;48;11:10;27;10:20;0;0;0;0;0
C649R;2013-07-01;25.9;15:50;19.8;07:20;22.8;63;12:20;31;13:00;0;0;0;0;0
C649R;2013-07-02;23.4;15:20;19.4;05:40;21.4;46;00:20;28;14:50;0;0;0;0;0
C649R;2013-07-03;23.3;14:10;19.3;07:40;21.3;45;13:20;28;12:50;0;0;0;0;0
C649R;2013-07-04;24.2;15:00;19.5;06:50;21.9;42;13:30;27;13:40;0;0;0;0;0
C649R;2013-07-05;24.4;15:10;20.0;01:40;22.2;47;17:40;30;17:30;0;0;0;0;0
C649R;2013-07-06;25.1;15:50;20.1;03:10;22.6;42;19:10;27;14:30;0;0;0;0;0
C649R;2013-07-07;25.5;15:30;20.4;04:10;22.9;45;14:00;28;13:40;0;0;0;0;0
C649R;2013-07-08;24.5;15:20;20.3;05:30;22.4;48;18:30;29;12:00;0;0;0;0;0
C649R;2013-07-09;29.0;17:10;20.2;05:20;24.6;42;15:10;28;15:10;0;0;0;0;0
C649R;2013-07-10;27.2;14:10;20.9;07:50;24.1;41;23:59;25;23:50;0;0;0;0;0
C649R;2013-07-11;32.2;16:40;17.7;07:20;25;43;19:00;26;15:20;0;0;0;0;0
C649R;2013-07-12;25.6;16:20;21.1;07:00;23.4;45;12:20;28;13:40;0;0;0;0;0
C649R;2013-07-13;25.7;15:00;20.5;07:30;23.1;42;11:40;27;11:40;0;0;0;0;0
C649R;2013-07-14;24.3;14:30;20.8;06:20;22.5;42;20:30;27;22:10;0;0;0;0;0
C649R;2013-07-15;25.1;13:50;20.1;04:10;22.6;47;17:50;28;17:00;0;0;0;0;0
C649R;2013-07-16;25.6;15:40;20.4;06:30;23;49;12:00;31;13:50;0;0;0;0;0
C649R;2013-07-17;25.6;14:30;20.3;04:50;22.9;46;11:00;28;04:20;0;0;0;0;0
C649R;2013-07-18;24.7;15:20;20.2;07:20;22.5;53;19:30;34;18:00;0;0;0;0;0
C649R;2013-07-19;25.6;15:50;20.6;06:00;23.1;50;01:10;31;19:00;0;0;0;0;0
C649R;2013-07-20;25.8;15:50;21.0;00:30;23.4;53;00:30;30;00:20;0;0;0;0;0
C649R;2013-07-21;25.9;15:40;20.6;07:10;23.3;40;00:20;24;02:00;0;0;0;0;0
C649R;2013-07-22;24.9;17:30;21.3;08:40;23.1;37;22:00;23;02:10;0;0;0;0;0
C649R;2013-07-23;25.5;17:20;21.1;01:40;23.3;39;12:20;23;14:00;0;0;0;0;0
C649R;2013-07-24;26.7;15:50;21.2;03:20;24;43;20:30;26;13:10;0;0;0;0;0
C649R;2013-07-25;25.8;17:10;21.4;06:10;23.6;41;12:20;24;14:00;0;0;0;0;0
C649R;2013-07-26;26.1;16:40;21.6;07:20;23.9;37;14:40;24;13:40;0;0;0;0;0
C649R;2013-07-27;25.4;14:10;20.3;05:40;22.8;23;10:20;16;12:10;0;0;0;0;0
C649R;2013-07-28;25.9;15:00;21.3;06:10;23.6;36;16:30;23;22:00;0;0;0;0;0
C649R;2013-07-29;27.1;16:10;22.8;07:20;24.9;48;20:20;29;15:20;0;0;0;0;0
C649R;2013-07-30;27.4;13:10;21.8;07:10;24.6;47;19:20;28;16:20;0;0;0;0;0
C649R;2013-07-31;26.5;15:30;21.7;03:50;24.1;48;13:20;32;14:00;0;0;0;0;0
C649R;2013-08-01;26.2;14:30;21.9;07:10;24.1;55;12:20;31;13:40;0;0;0;0;0
C649R;2013-08-02;26.9;14:00;21.8;04:50;24.3;51;21:10;30;21:10;0;0;0;0;0
C649R;2013-08-03;26.2;15:10;21.7;06:40;24;49;14:00;31;11:30;0;0;0;0;0
C649R;2013-08-04;26.3;14:00;21.7;05:40;24;52;17:40;30;15:10;0;0;0;0;0
C649R;2013-08-05;27.9;14:50;21.3;05:30;24.6;50;13:00;31;15:10;0;0;0;0;0
C649R;2013-08-06;27.3;15:00;22.0;00:40;24.6;48;13:50;30;13:50;0;0;0;0;0
C649R;2013-08-07;26.4;14:40;21.6;05:50;24;49;17:40;29;18:10;0;0;0;0;0
C649R;2013-08-08;25.9;15:00;21.5;02:50;23.7;46;02:00;29;14:40;0;0;0;0;0
C649R;2013-08-09;26.7;18:00;21.4;05:20;24.1;44;13:00;29;13:00;0;0;0;0;0
C649R;2013-08-10;26.2;18:20;21.1;04:50;23.7;46;10:00;29;10:40;0;0;0;0;0
C649R;2013-08-11;27.7;16:10;21.5;07:30;24.6;56;16:20;32;12:50;0;0;0;0;0
C649R;2013-08-12;26.9;16:00;21.7;06:40;24.3;48;16:20;30;22:30;0;0;0;0;0
C649R;2013-08-13;27.4;15:10;22.4;06:50;24.9;48;00:40;31;00:30;0;0;0;0;0
C649R;2013-08-14;;;;;;;;;;;0;0;0;
C649R;2013-08-15;;;;;;;;;;;;;;
C649R;2013-08-16;27.9;14:20;22.6;05:00;25.3;44;16:10;28;13:00;0;0;0;0;0
C649R;2013-08-17;34.5;12:50;24.9;22:30;29.7;50;16:20;25;17:00;0;0;0;0;0
C649R;2013-08-18;26.7;17:00;22.6;06:20;24.7;46;11:10;28;10:50;0;0;0;0;0
C649R;2013-08-19;26.1;14:50;23.0;01:10;24.6;37;01:00;20;02:10;0;0;0;0;0
C649R;2013-08-20;27.8;16:20;21.9;08:00;24.8;35;23:50;20;23:50;0;0;0;0;0
C649R;2013-08-21;30.1;15:10;23.7;05:30;26.9;46;23:30;30;22:20;0;0;0;0;0
C649R;2013-08-22;31.1;16:40;24.2;01:50;27.7;50;01:40;31;01:40;0;0;0;0;0
C649R;2013-08-23;30.7;13:30;24.4;23:59;27.6;46;08:20;25;23:10;0;0;0;0;0
C649R;2013-08-24;28.2;15:40;23.2;23:40;25.7;48;12:20;26;22:50;0;0;0;0;0
C649R;2013-08-25;26.4;16:20;21.8;06:20;24.1;40;00:30;26;15:50;0;0;0;0;0
C649R;2013-08-26;27.6;15:30;22.4;07:40;25;42;00:20;26;15:50;0;0;0;0;0
C649R;2013-08-27;26.9;15:20;22.0;05:10;24.4;39;15:10;26;16:10;0;0;0;0;0
C649R;2013-08-28;27.0;13:10;21.4;07:30;24.2;46;17:30;28;15:10;0;0;0;0;0
C649R;2013-08-29;26.9;13:00;21.7;05:50;24.3;39;14:30;24;14:40;0;0;0;0;0
C649R;2013-08-30;26.4;13:20;21.0;07:50;23.7;32;15:00;22;15:00;0;0;0;0;0
C649R;2013-08-31;26.3;16:40;22.1;05:50;24.2;36;16:10;23;17:10;0;0;0;0;0
C649R;2013-09-01;27.3;16:10;22.4;03:40;24.8;39;20:20;25;14:00;0;0;0;0;0
C649R;2013-09-02;28.2;14:50;22.5;04:30;25.4;46;23:40;28;12:10;0;0;0;0;0
C649R;2013-09-03;26.7;16:10;22.1;04:30;24.4;46;19:40;28;12:50;0;0;0;0;0
