Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
C656V;2013-05-07;27.1;14:00;9.0;03:20;18.1;18;14:20;12;14:20;0;0;0;0;0
C656V;2013-05-08;28.4;17:10;10.2;07:10;19.3;23;18:30;14;18:30;0;0;0;0;0
C656V;2013-05-09;27.3;13:30;10.5;06:50;18.9;18;13:50;10;11:50;0;0;0;0;0
C656V;2013-05-10;27.1;14:40;10.4;06:40;18.8;17;22:20;9;01:20;0;0;0;0;0
C656V;2013-05-11;28.2;15:20;10.8;05:20;19.5;18;14:30;10;15:50;0;0;0;0;0
C656V;2013-05-12;26.9;18:30;12.2;00:00;19.5;18;14:00;11;12:30;0;0;0;0;0
C656V;2013-05-13;21.0;16:30;11.3;06:00;16.2;37;11:20;25;11:30;0;0;0;0;0
C656V;2013-05-14;17.0;16:00;12.5;06:50;14.8;32;23:59;18;22:20;0.4;0;0.2;0.2;0
C656V;2013-05-15;16.0;12:30;11.6;07:20;13.8;32;00:10;17;13:40;0.4;0.4;0;0;0
C656V;2013-05-16;17.6;12:30;10.7;23:30;14.2;32;05:50;15;12:50;11.8;0;0;10.2;1.6
C656V;2013-05-17;16.6;15:40;9.3;05:30;13;31;22:00;13;17:30;7.6;1;6;0.2;0.4
C656V;2013-05-18;14.9;16:00;11.1;23:40;13;26;08:00;13;08:00;0.4;0;0.4;0;0
C656V;2013-05-19;;;;;;;;;;;0;0.2;;
C656V;2013-05-20;16.3;17:00;10.7;23:40;13.5;24;11:00;12;11:00;0.4;0;0.2;0.2;0
C656V;2013-05-21;17.5;13:40;10.7;00:00;14.1;24;15:20;15;15:30;0.4;0;0.4;0;0
C656V;2013-05-22;15.7;13:00;10.4;06:00;13;23;13:10;13;13:10;0;0;0;0;0
C656V;2013-05-23;17.8;13:20;10.4;04:00;14.1;26;13:50;13;14:10;0;0;0;0;0
C656V;2013-05-24;18.0;14:20;10.6;06:20;14.3;34;16:30;14;14:30;0;0;0;0;0
C656V;2013-05-25;16.6;12:00;11.6;02:50;14.1;21;12:10;11;12:10;0;0;0;0;0
C656V;2013-05-26;15.2;14:00;11.3;07:20;13.3;26;14:30;14;18:20;0;0;0;0;0
C656V;2013-05-27;15.5;13:10;10.8;22:50;13.2;24;13:10;13;12:00;0.8;0.2;0.6;0;0
C656V;2013-05-28;18.0;16:30;10.7;23:30;14.3;26;15:50;14;13:50;0;0;0;0;0
C656V;2013-05-29;16.3;16:20;10.7;00:40;13.5;25;11:20;12;10:30;14.8;0;11;0.8;3
C656V;2013-05-30;17.6;14:30;10.5;06:10;14.1;31;22:40;13;11:40;2.2;0.2;0.2;0.2;1.6
C656V;2013-05-31;14.6;13:50;11.7;06:30;13.2;23;14:10;14;14:10;4;1;3;0;0
C656V;2013-06-01;17.5;14:10;11.6;01:00;14.6;26;14:30;12;13:30;0;0;0;0;0
C656V;2013-06-02;21.4;13:00;9.6;23:30;15.5;33;08:00;18;05:40;0;0;0;0;0
C656V;2013-06-03;19.3;15:30;6.6;06:00;12.9;31;11:40;20;11:40;0;0;0;0;0
C656V;2013-06-04;18.4;12:00;12.1;03:20;15.3;27;13:10;15;13:10;0;0;0;0;0
C656V;2013-06-05;18.3;13:10;11.9;22:20;15.1;28;11:50;15;15:30;0;0;0;0;0
C656V;2013-06-06;17.8;14:40;12.1;02:30;14.9;25;15:10;13;16:20;0;0;0;0;0
C656V;2013-06-07;18.8;15:30;12.1;05:10;15.4;21;15:30;11;15:30;0;0;0;0;0
C656V;2013-06-08;17.2;17:20;12.2;06:40;14.7;22;17:20;13;15:20;0;0;0;0;0
C656V;2013-06-09;18.6;13:50;10.6;03:50;14.6;27;15:00;14;14:00;0.2;0;0.2;0;0
C656V;2013-06-10;17.9;16:40;11.5;02:50;14.7;26;15:40;14;15:30;0;0;0;0;0
C656V;2013-06-11;19.3;15:40;12.6;04:20;15.9;24;00:30;11;12:50;0;0;0;0;0
C656V;2013-06-12;19.3;13:50;12.8;06:10;16;23;15:00;14;13:10;0;0;0;0;0
C656V;2013-06-13;16.1;14:40;13.7;05:30;14.9;26;08:00;13;08:00;3.6;0;2;0.4;1.2
C656V;2013-06-14;16.9;11:20;13.2;05:50;15;23;06:40;12;17:20;0.6;0.2;0.2;0;0.2
C656V;2013-06-15;23.4;16:00;10.8;07:10;17.1;31;12:30;18;12:40;0.2;0.2;0;0;0
C656V;2013-06-16;20.8;13:30;8.0;07:20;14.4;32;16:20;19;16:20;0;0;0;0;0
C656V;2013-06-17;19.1;15:10;9.9;01:10;14.5;29;02:10;17;02:30;0.2;0;0;0.2;0
C656V;2013-06-18;16.2;15:50;12.3;08:40;14.3;26;08:00;14;07:40;10.2;6;4.2;0;0
C656V;2013-06-19;17.3;17:00;11.9;03:00;14.6;25;13:00;13;12:50;0.4;0.2;0.2;0;0
C656V;2013-06-20;14.9;17:20;12.8;06:00;13.8;23;17:20;12;17:00;2.8;0.2;2.4;0.2;0
C656V;2013-06-21;18.8;13:20;12.3;06:10;15.5;27;08:00;15;13:50;0.8;0.2;0;0;0.6
C656V;2013-06-22;17.8;16:30;10.5;23:59;14.1;24;21:10;13;05:00;2.8;2.6;0.2;0;0
C656V;2013-06-23;24.9;14:00;8.6;02:50;16.8;26;20:40;17;15:30;0;0;0;0;0
C656V;2013-06-24;22.8;15:40;10.2;07:20;16.5;31;14:00;19;14:20;0;0;0;0;0
C656V;2013-06-25;24.8;14:30;8.6;04:00;16.7;28;16:20;19;16:20;0.2;0.2;0;0;0
C656V;2013-06-26;26.7;15:20;11.1;01:20;18.9;27;17:40;18;17:30;0.2;0;0.2;0;0
C656V;2013-06-27;25.5;19:30;12.5;05:00;19;18;16:30;11;16:30;0;0;0;0;0
C656V;2013-06-28;31.5;14:00;17.6;23:59;24.6;30;11:40;16;11:50;0;0;0;0;0
C656V;2013-06-29;28.5;11:40;14.5;06:10;21.5;36;12:40;17;12:20;0;0;0;0;0
C656V;2013-06-30;25.9;13:50;16.8;03:50;21.3;33;09:20;14;10:20;0;0;0;0;0
C656V;2013-07-01;25.7;11:30;13.7;22:30;19.7;27;18:40;13;05:00;0;0;0;0;0
C656V;2013-07-02;23.3;13:50;14.9;21:50;19.1;23;05:40;10;14:20;0;0;0;0;0
C656V;2013-07-03;23.4;15:40;14.3;22:10;18.8;18;13:40;12;13:40;0;0;0;0;0
C656V;2013-07-04;24.9;14:40;11.2;07:20;18;27;16:40;17;14:50;0;0;0;0;0
C656V;2013-07-05;22.4;15:20;9.9;03:30;16.1;36;16:10;23;16:10;0.2;0;0.2;0;0
C656V;2013-07-06;23.5;13:20;10.3;04:30;16.9;37;15:50;24;15:50;0;0;0;0;0
C656V;2013-07-07;25.0;12:30;12.1;23:59;18.6;45;21:20;24;12:50;0.2;0;0.2;0;0
C656V;2013-07-08;;;;;;;;;;;;;0;0
C656V;2013-07-09;28.9;17:00;14.1;00:00;21.5;31;04:40;13;04:50;0;0;0;0;0
C656V;2013-07-10;34.5;12:20;17.9;04:20;26.2;25;22:00;17;20:40;0;0;0;0;0
C656V;2013-07-11;31.0;14:40;19.6;23:50;25.3;37;19:50;21;20:20;0;0;0;0;0
C656V;2013-07-12;31.2;14:40;18.7;07:10;25;19;14:50;12;14:50;0;0;0;0;0
C656V;2013-07-13;33.4;12:20;17.1;23:59;25.3;20;10:00;11;10:00;0;0;0;0;0
C656V;2013-07-14;31.6;14:40;16.4;23:59;24;16;14:30;8;12:30;0;0;0;0;0
C656V;2013-07-15;26.6;14:40;14.4;23:10;20.5;17;15:50;9;15:50;0;0;0;0;0
C656V;2013-07-16;29.1;16:30;15.0;07:10;22.1;15;18:40;8;11:50;0;0;0;0;0
C656V;2013-07-17;30.1;12:10;16.6;03:20;23.4;15;14:00;9;14:00;0;0;0;0;0
C656V;2013-07-18;25.3;17:40;15.0;22:00;20.1;27;23:30;17;14:30;0;0;0;0;0
C656V;2013-07-19;21.6;15:50;14.6;07:10;18.1;32;23:59;16;17:40;0;0;0;0;0
C656V;2013-07-20;20.7;14:50;15.1;01:00;17.9;32;05:00;14;17:50;1.2;0;0;0.2;1
C656V;2013-07-21;21.1;15:50;15.1;05:10;18.1;22;17:10;11;05:00;1.6;0.6;1;0;0
C656V;2013-07-22;21.4;15:50;14.6;23:59;18;22;15:50;12;16:30;0;0;0;0;0
C656V;2013-07-23;22.2;14:20;14.0;00:30;18.1;24;15:40;12;16:40;0;0;0;0;0
C656V;2013-07-24;23.4;14:40;13.0;02:40;18.2;26;13:30;15;17:30;0;0;0;0;0
C656V;2013-07-25;23.3;15:00;15.5;22:20;19.4;25;15:50;14;15:50;0;0;0;0;0
C656V;2013-07-26;23.1;16:10;14.2;23:50;18.7;29;16:20;14;16:20;0;0;0;0;0
C656V;2013-07-27;24.4;14:50;12.1;06:50;18.3;22;17:40;11;13:40;0;0;0;0;0
C656V;2013-07-28;26.0;13:50;13.1;05:40;19.6;22;14:00;13;13:40;0;0;0;0;0
C656V;2013-07-29;26.3;15:10;15.8;04:10;21;22;16:30;12;16:50;0;0;0;0;0
C656V;2013-07-30;25.6;15:30;14.1;01:50;19.9;24;21:40;12;21:30;0;0;0;0;0
C656V;2013-07-31;28.2;13:40;14.0;06:30;21.1;24;15:50;15;15:50;0;0;0;0;0
C656V;2013-08-01;26.7;13:50;15.6;21:50;21.2;32;16:40;21;16:20;0;0;0;0;0
C656V;2013-08-02;23.5;14:20;14.4;07:40;18.9;28;21:00;15;08:10;0;0;0;0;0
C656V;2013-08-03;22.4;15:30;14.7;05:30;18.5;26;15:50;14;10:00;0;0;0;0;0
C656V;2013-08-04;24.3;11:30;15.6;21:20;19.9;23;17:30;14;17:10;0;0;0;0;0
C656V;2013-08-05;27.9;13:40;14.6;07:20;21.3;18;17:00;11;16:50;0;0;0;0;0
C656V;2013-08-06;27.3;16:00;15.1;03:30;21.2;20;06:20;12;13:10;0;0;0;0;0
C656V;2013-08-07;24.4;15:00;14.4;22:10;19.4;22;15:40;12;15:30;0;0;0;0;0
C656V;2013-08-08;24.5;13:00;12.9;22:00;18.7;20;14:40;9;14:00;0;0;0;0;0
C656V;2013-08-09;27.6;14:00;11.7;07:20;19.7;17;15:20;9;13:20;0;0;0;0;0
C656V;2013-08-10;33.1;10:40;15.1;05:10;24.1;16;12:10;10;08:00;0;0;0;0;0
C656V;2013-08-11;37.3;12:50;18.7;03:30;28;19;23:00;9;21:50;0;0;0;0;0
C656V;2013-08-12;36.6;11:20;21.5;04:50;29;16;10:10;10;02:20;0;0;0;0;0
C656V;2013-08-13;36.2;11:30;21.4;21:20;28.8;14;00:30;9;23:50;0;0;0;0;0
C656V;2013-08-14;;;;;;;;;;;0;0;0;
C656V;2013-08-15;;;;;;;;;;;;;;
C656V;2013-08-16;;;;;;;;;;;;;0;0
C656V;2013-08-17;33.1;12:50;20.5;22:40;26.8;37;12:40;16;11:30;0;0;0;0;0
C656V;2013-08-18;22.4;16:00;17.0;07:30;19.7;35;04:10;15;17:50;0;0;0;0;0
C656V;2013-08-19;25.7;15:00;17.2;01:20;21.5;25;14:10;13;14:10;0;0;0;0;0
C656V;2013-08-20;32.3;13:00;17.5;02:00;24.9;49;23:50;28;23:40;0;0;0;0;0
C656V;2013-08-21;30.1;17:50;20.1;07:50;25.1;37;00:10;20;04:50;0;0;0;0;0
C656V;2013-08-22;33.8;12:20;20.7;02:00;27.3;31;01:50;14;02:00;;;0;0;0
C656V;2013-08-23;32.5;15:40;18.7;07:40;25.6;22;13:00;10;00:10;0;0;0;0;0
C656V;2013-08-24;30.0;11:10;13.9;23:59;21.9;20;14:00;12;11:20;0;0;0;0;0
C656V;2013-08-25;21.4;15:30;13.9;00:00;17.6;27;21:50;14;16:30;1.8;0.2;1.6;0;0
C656V;2013-08-26;23.1;14:40;15.4;05:40;19.3;32;14:20;15;11:30;0;0;0;0;0
C656V;2013-08-27;22.2;14:10;15.7;20:40;19;34;21:40;16;22:50;1.4;0;0.4;0.4;0.6
C656V;2013-08-28;22.5;14:30;15.0;05:20;18.8;33;15:10;20;16:50;1.2;1;0.2;0;0
C656V;2013-08-29;23.6;14:00;16.0;21:40;19.8;31;14:10;15;14:10;0;0;0;0;0
C656V;2013-08-30;22.5;15:20;14.2;08:00;18.3;24;15:30;13;17:00;0;0;0;0;0
C656V;2013-08-31;22.7;15:40;16.2;06:10;19.5;20;13:50;13;11:40;0;0;0;0;0
C656V;2013-09-01;27.1;14:30;16.2;00:00;21.7;24;22:10;12;15:00;0;0;0;0;0
C656V;2013-09-02;26.3;13:20;14.8;23:59;20.5;31;14:30;14;13:30;0;0;0;0;0
C656V;2013-09-03;27.4;13:10;12.7;01:40;20;19;05:10;12;18:30;0;0;0;0;0
C656V;2013-09-04;24.2;11:30;14.6;03:20;19.4;26;14:20;13;16:20;0;0;0;0;0
C656V;2013-09-05;20.0;17:10;15.3;23:00;17.7;24;16:50;14;16:50;0;0;0;0;0
