Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
C916Q;2013-05-07;24.4;15:40;12.3;06:00;18.3;22;13:50;11;13:50;0;0;0;0;0
C916Q;2013-05-08;24.6;11:30;12.7;07:40;18.7;21;12:40;12;12:20;0;0;0;0;0
C916Q;2013-05-09;25.4;17:00;14.5;07:40;19.9;23;17:00;10;13:10;0;0;0;0;0
C916Q;2013-05-10;25.7;15:00;17.3;07:00;21.5;22;00:40;13;16:00;0;0;0;0;0
C916Q;2013-05-11;26.9;15:10;16.3;07:30;21.6;30;14:20;14;13:00;0;0;0;0;0
C916Q;2013-05-12;26.1;12:10;16.8;02:50;21.4;39;08:40;17;06:50;0;0;0;0;0
C916Q;2013-05-13;22.6;16:10;12.7;23:50;17.7;34;12:20;14;12:00;0;0;0;0;0
C916Q;2013-05-14;16.0;17:10;11.6;04:00;13.8;39;23:00;13;00:30;;0;0;0.4;
C916Q;2013-05-15;16.3;13:00;10.7;06:10;13.5;46;06:00;17;06:00;0.6;0;0;0;0.6
C916Q;2013-05-16;15.9;13:40;8.8;07:40;12.3;30;23:20;13;22:40;3.4;0.2;0;0.2;3
C916Q;2013-05-17;15.0;17:10;8.9;07:10;11.9;32;22:30;11;04:40;0.2;0.2;0;0;0
C916Q;2013-05-18;15.3;14:20;9.7;01:10;12.5;31;12:00;13;12:10;0.2;0;0;0;0.2
C916Q;2013-05-19;;;;;;;;;;;0;0.2;;
C916Q;2013-05-20;15.2;16:30;9.7;07:20;12.4;40;20:10;12;19:10;0;0;0;0;0
C916Q;2013-05-21;13.7;12:20;9.1;07:20;11.4;38;12:10;12;12:20;0;0;0;0;0
C916Q;2013-05-22;;;;;;;;;;;0;0.8;;
C916Q;2013-05-23;;;;;;;;;;;;;;
C916Q;2013-05-24;;;;;;;;;;;;;;
C916Q;2013-05-25;17.8;14:20;8.0;05:10;12.9;31;19:00;13;13:20;0;0;0;0;0
C916Q;2013-05-26;15.8;14:10;9.1;02:30;12.5;38;21:40;15;21:40;0;0;0;0;0
C916Q;2013-05-27;16.0;16:40;10.2;01:30;13.1;40;13:50;12;00:20;0;0;0;0;0
