Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
C917E;2013-05-07;25.6;17:10;17.1;01:30;21.4;20;14:20;14;08:10;0;0;0;0;0
C917E;2013-05-08;27.0;18:40;17.6;06:50;22.3;24;19:20;16;19:10;0;0;0;0;0
C917E;2013-05-09;28.7;18:30;18.3;08:00;23.5;32;23:40;24;23:40;0;0;0;0;0
C917E;2013-05-10;27.0;19:30;19.5;06:10;23.3;36;02:10;22;02:10;0;0;0;0;0
C917E;2013-05-11;27.1;18:20;18.3;07:40;22.7;29;05:40;17;06:00;0;0;0;0;0
C917E;2013-05-12;26.3;10:30;17.9;21:30;22.1;36;08:10;24;08:20;0;0;0;0;0
C917E;2013-05-13;24.3;16:00;13.8;23:20;19;52;23:50;32;23:59;0;0;0;0;0
C917E;2013-05-14;17.7;17:00;13.0;23:10;15.4;69;22:50;40;22:30;2;0;0.4;1.6;0
C917E;2013-05-15;19.0;18:10;11.8;23:50;15.4;70;01:10;39;10:10;5.6;0;0;0;5.6
C917E;2013-05-16;18.1;18:10;11.2;06:00;14.7;54;00:30;35;23:10;11.6;0;0;0;11.6
C917E;2013-05-17;17.3;16:00;11.4;06:50;14.3;44;01:00;29;03:10;0;0;0;0;0
C917E;2013-05-18;17.8;11:40;12.5;23:59;15.1;54;05:50;35;06:00;0;0;0;0;0
C917E;2013-05-19;15.9;15:40;11.0;05:50;13.4;76;19:10;41;19:10;0;0;0;0;0
C917E;2013-05-20;16.3;15:20;11.7;07:00;14;59;22:10;33;22:50;0;0;0;0;0
C917E;2013-05-21;16.6;12:50;12.0;04:40;14.3;53;00:10;28;00:20;0.2;0;0;0.2;0
C917E;2013-05-22;17.6;17:00;11.2;05:10;14.4;44;21:30;28;20:30;0;0;0;0;0
C917E;2013-05-23;17.8;14:50;11.5;06:30;14.6;50;10:50;27;06:00;0;0;0;0;0
C917E;2013-05-24;18.0;16:00;12.1;06:30;15.1;51;04:50;28;03:00;0;0;0;0;0
C917E;2013-05-25;18.2;15:30;12.5;03:50;15.4;59;22:30;37;19:10;0;0;0;0;0
C917E;2013-05-26;16.9;17:20;12.0;05:00;14.4;58;06:50;33;23:50;0;0;0;0;0
C917E;2013-05-27;18.4;17:40;11.8;03:50;15.1;58;00:40;38;00:30;0.6;0.4;0.2;0;0
C917E;2013-05-28;18.5;16:30;12.0;06:10;15.3;46;08:00;27;08:20;0;0;0;0;0
