Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
C939T;2013-05-07;24.0;15:40;15.9;07:40;19.9;12;05:50;9;22:10;0;0;0;0;0
C939T;2013-05-08;25.7;15:00;15.6;07:30;20.7;27;16:10;19;16:10;0;0;0;0;0
C939T;2013-05-09;24.9;14:50;17.0;06:20;20.9;14;14:00;10;14:00;0;0;0;0;0
C939T;2013-05-10;25.3;16:00;18.2;03:50;21.8;27;10:00;18;10:00;0;0;0;0;0
C939T;2013-05-11;24.2;14:50;20.0;04:50;22.1;26;09:30;17;12:20;0;0;0;0;0
C939T;2013-05-12;25.4;17:00;20.2;07:50;22.8;27;08:40;17;16:50;0;0;0;0;0
C939T;2013-05-13;24.4;11:40;19.8;07:50;22.1;33;13:50;20;13:50;0;0;0;0;0
C939T;2013-05-14;23.3;16:10;18.8;03:10;21;33;22:10;23;22:10;0.2;0;0;0.2;0
C939T;2013-05-15;23.0;13:50;18.2;22:00;20.6;33;21:40;21;00:50;0.2;0;0;0;0.2
C939T;2013-05-16;22.8;14:30;17.5;21:20;20.1;34;21:40;22;20:30;1.6;0;0;0;1.6
C939T;2013-05-17;22.6;14:40;17.4;06:40;20;31;00:50;21;00:50;0;0;0;0;0
C939T;2013-05-18;22.9;11:40;18.6;05:30;20.8;36;20:00;23;18:40;0;0;0;0;0
C939T;2013-05-19;;;;;;;;;;;0;0;;
C939T;2013-05-20;22.1;16:40;18.7;07:40;20.4;39;00:40;23;00:10;0;0;0;0;0
C939T;2013-05-21;21.6;12:40;17.2;06:00;19.4;33;01:20;24;18:50;0;0;0;0;0
C939T;2013-05-22;21.9;14:10;18.3;07:00;20.1;39;15:00;28;14:00;0;0;0;0;0
C939T;2013-05-23;22.8;17:20;17.8;08:00;20.3;31;15:30;19;10:10;0;0;0;0;0
C939T;2013-05-24;23.9;15:50;17.4;05:10;20.6;30;12:50;18;02:20;0;0;0;0;0
C939T;2013-05-25;22.9;14:20;18.0;05:20;20.4;32;23:30;21;21:40;0;0;0;0;0
C939T;2013-05-26;22.6;17:20;18.7;23:59;20.7;32;12:50;21;12:50;0;0;0;0;0
C939T;2013-05-27;23.0;16:30;18.0;04:50;20.5;35;13:30;23;06:20;0;0;0;0;0
C939T;2013-05-28;23.6;17:00;18.7;07:10;21.2;30;15:30;19;22:10;0;0;0;0;0
C939T;2013-05-29;22.1;10:50;17.9;02:00;20;33;12:50;21;13:20;0;0;0;0;0
C939T;2013-05-30;22.7;12:20;18.4;01:00;20.6;39;11:30;23;18:30;0;0;0;0;0
C939T;2013-05-31;22.2;14:10;18.4;03:40;20.3;38;00:20;23;18:20;0;0;0;0;0
C939T;2013-06-01;22.6;15:10;18.8;03:20;20.7;37;17:30;22;01:40;0;0;0;0;0
C939T;2013-06-02;22.4;09:40;17.1;06:40;19.8;33;16:50;21;16:50;0;0;0;0;0
C939T;2013-06-03;;;;;;;;;;;0;;;
C939T;2013-06-04;24.2;15:00;17.7;04:30;21;21;08:10;12;06:50;0;0;0;0;0
C939T;2013-06-05;23.1;12:00;18.3;06:10;20.7;27;05:00;19;05:00;0;0;0;0;0
C939T;2013-06-06;23.6;15:00;18.6;05:50;21.1;35;13:30;24;17:10;0;0;0;0;0
C939T;2013-06-07;25.2;15:40;18.5;05:50;21.9;36;03:30;21;02:10;0;0;0;0;0
C939T;2013-06-08;22.5;11:50;18.8;04:50;20.6;36;16:50;24;15:30;0;0;0;0;0
C939T;2013-06-09;22.8;17:30;18.0;04:30;20.4;39;01:20;23;12:10;0;0;0;0;0
C939T;2013-06-10;23.9;15:40;18.8;04:50;21.3;31;17:20;22;14:40;0;0;0;0;0
C939T;2013-06-11;22.9;16:00;19.2;01:30;21.1;41;16:30;25;15:00;0;0;0;0;0
C939T;2013-06-12;23.8;14:50;19.5;07:10;21.6;39;20:30;22;16:00;0;0;0;0;0
C939T;2013-06-13;25.6;16:10;20.3;05:40;22.9;44;07:40;27;07:10;0;0;0;0;0
C939T;2013-06-14;23.5;13:30;19.7;07:00;21.6;42;15:10;23;15:20;0;0;0;0;0
C939T;2013-06-15;24.0;16:40;19.4;04:50;21.7;35;20:10;20;03:10;0.2;0.2;0;0;0
C939T;2013-06-16;23.5;16:30;17.6;07:20;20.6;34;14:20;20;23:20;0;0;0;0;0
C939T;2013-06-17;23.9;19:30;20.0;02:30;21.9;46;21:00;24;21:00;0;0;0;0;0
C939T;2013-06-18;22.1;19:30;19.7;07:30;20.9;43;17:00;23;09:50;0;0;0;0;0
C939T;2013-06-19;23.1;13:50;19.4;05:00;21.3;37;13:40;25;22:40;0;0;0;0;0
C939T;2013-06-20;23.3;16:20;19.6;05:00;21.4;41;05:50;23;02:20;0;0;0;0;0
